area	name
lambeth-conservation-area:CA38	South Bank
lambeth-conservation-area:CA28	Leigham Court Road (South)
lambeth-conservation-area:CA5	Stockwell Park
lambeth-conservation-area:CA46	Ferndale Road (Jennings Estate)
lambeth-conservation-area:CA61	Herne Hill
lambeth-conservation-area:CA49	Rush Common & Brixton Hill
lambeth-conservation-area:CA62	Streatham Lodge
lambeth-conservation-area:CA6	Brixton Road
lambeth-conservation-area:CA19	Park Hall Road
lambeth-conservation-area:CA58	Sibella Road
lambeth-conservation-area:CA39	Brockwell Park
lambeth-conservation-area:CA22	Clapham High Street
lambeth-conservation-area:CA2	Rectory Grove
lambeth-conservation-area:CA24	West Norwood
lambeth-conservation-area:CA18	Trinity Gardens
lambeth-conservation-area:CA48	Hyde Farm
lambeth-conservation-area:CA33	Clapham Road
lambeth-conservation-area:CA26	Brixton
lambeth-conservation-area:CA59	Wandsworth Road
lambeth-conservation-area:CA8	Kennington
lambeth-conservation-area:CA29	Larkhall
lambeth-conservation-area:CA17	Clapham Park Road/Northbourne Road
lambeth-conservation-area:CA55	Oaklands Estate
lambeth-conservation-area:CA41	Renfrew Road
lambeth-conservation-area:CA23	Westow Hill (North Side)
lambeth-conservation-area:CA14	Gipsy Hill
lambeth-conservation-area:CA37	South Lambeth Road
lambeth-conservation-area:CA35	The Chase
lambeth-conservation-area:CA21	Roupell Street
lambeth-conservation-area:CA4	Albert Square
lambeth-conservation-area:CA30	Abbeville Road
lambeth-conservation-area:CA3	Lansdowne Gardens
lambeth-conservation-area:CA51	Mitre Road & Ufford Street
lambeth-conservation-area:CA36	La Retraite
lambeth-conservation-area:CA47	Rosendale Road
lambeth-conservation-area:CA34	Waterloo
lambeth-conservation-area:CA7	Vassall Road
lambeth-conservation-area:CA16	Hackford Road
lambeth-conservation-area:CA9	Walcot
lambeth-conservation-area:CA50	Lambeth Walk & China Walk
lambeth-conservation-area:CA11	St Marks
lambeth-conservation-area:CA12	Streatham Park & Garrads Road
lambeth-conservation-area:CA31	Leigham Court Estate
lambeth-conservation-area:CA15	Sunnyhill Road
lambeth-conservation-area:CA54	Streatham High Road & Streatham Hill
lambeth-conservation-area:CA44	Telford Park
lambeth-conservation-area:CA13	Brixton Water Lane
lambeth-conservation-area:CA52	Poet's Corner
lambeth-conservation-area:CA60	Leigham Court Road (North)
lambeth-conservation-area:CA10	Lambeth Palace
lambeth-conservation-area:CA40	Lower Marsh
lambeth-conservation-area:CA27	Loughborough Park
lambeth-conservation-area:CA1	Clapham
lambeth-conservation-area:CA20	Elderwood
lambeth-conservation-area:CA42	Stockwell Green
lambeth-conservation-area:CA45	Lancaster Avenue
lambeth-conservation-area:CA53	Peabody Estate - Rosendale Road
lambeth-conservation-area:CA56	Vauxhall Gardens
lambeth-conservation-area:CA43	Streatham Common
lambeth-conservation-area:CA25	Minet Estate
lambeth-conservation-area:CA57	Albert Embankment
lambeth-conservation-area:CA32	Vauxhall
