historic-landfill-site	name	licence-holder
historic-landfill-site:EAHLD33011	HambrookLandfillAndRecyclingPlant	JandWAggregatesLimited
historic-landfill-site:EAHLD33010	OrchardPetCemetery	OrchardPetCemeteryLimited
historic-landfill-site:EAHLD33009	SuttonCourtenayWasteRecyclingCentre	WasteRecyclingGroup(Central)Limited
historic-landfill-site:EAHLD33008	WathManversFormerCoalPreparationSite	RotherhamMetropolitanBoroughCouncil
historic-landfill-site:EAHLD33007	SuttonQuarry	DarringtonQuarriesLimited
historic-landfill-site:EAHLD33006	BelmontQuarryLandfill	SkanskaConstruction(Regions)Limited
historic-landfill-site:EAHLD33005	PetCemetery	HughCharlesFoss
historic-landfill-site:EAHLD18056	OldhamRUFC	JVMackrell
historic-landfill-site:EAHLD31979	ThornthwaiteTip
historic-landfill-site:EAHLD33004	CoombeFarmLandspreadingSite	PeninsularProteinsLimited
historic-landfill-site:EAHLD33003	ParkHouse	CumbriaCountyCouncil
historic-landfill-site:EAHLD33002	MFlemingandTCoulthard	MFlemingandTCoulthard
historic-landfill-site:EAHLD33000	LandToNorthOfRamshawfieldEstate	OliverWMartin
historic-landfill-site:EAHLD01468	GodmanchesterLandfill	MidlandLandReclamationLimited
historic-landfill-site:EAHLD01929	KilnFarm	AJCatchpole
historic-landfill-site:EAHLD01900	CulfordSchool	CulfordSchool
historic-landfill-site:EAHLD01088	EyeQuarry,NorthernExtension	BiffaWasteServicesLimited
historic-landfill-site:EAHLD01954	CreetingHills	BrehenyLimited
historic-landfill-site:EAHLD17975	OldhamRUFC	OldhamRugbyUnionFootballClub
historic-landfill-site:EAHLD03274	HoltonPit	AtlasAggregatesLimited
historic-landfill-site:EAHLD01936	WarrenHeath	HuntsRefuseDisplosalsLimited
historic-landfill-site:EAHLD00361	MansgateHillQuarry	JWHurdissLimited
historic-landfill-site:EAHLD06522	ChemicalandInsulatingCompanyTip	DarchemLimited
historic-landfill-site:EAHLD06266	TyneDockLandfill	PortOfTyneAuthority
historic-landfill-site:EAHLD03885	FieldAdjacentToBlackhill	MoneBrothersExcavationsLimited
historic-landfill-site:EAHLD17965	FerneyFieldFarm	FEBlakeman
historic-landfill-site:EAHLD31911	OultonTip
historic-landfill-site:EAHLD18006	LandoffDairyHouseLane	AMECCivilEngineeringLimited
historic-landfill-site:EAHLD16972	ADS	NThompson
historic-landfill-site:EAHLD07073	BisphamHallBrick	BisphamHallBrickandTerracottaCompany
historic-landfill-site:EAHLD31713	RoydTip
historic-landfill-site:EAHLD31672	BirkhouseLane	JCollins
historic-landfill-site:EAHLD31577	GikanSteelco
historic-landfill-site:EAHLD31573	LowTip
historic-landfill-site:EAHLD31588	MannDam
historic-landfill-site:EAHLD31584	SpenLane
historic-landfill-site:EAHLD31837	BrookfootDyeworksLimited
historic-landfill-site:EAHLD31851	CharlesKershaw
historic-landfill-site:EAHLD08393	TurfDowns
historic-landfill-site:EAHLD31703	NorthMiddlehowPit
historic-landfill-site:EAHLD31737	WykehamTip
historic-landfill-site:EAHLD32047	IncePowerStation
historic-landfill-site:EAHLD31976	Johnson'sLaneTip
historic-landfill-site:EAHLD31845	SlatenQuarry	JandJFeeLimited
historic-landfill-site:EAHLD31640	BroomHallTip
historic-landfill-site:EAHLD31587	NibshawLane
historic-landfill-site:EAHLD31818	DisusedRailwayCutting
historic-landfill-site:EAHLD31813	FlushdykeTip
historic-landfill-site:EAHLD31616	BridgeStreet
historic-landfill-site:EAHLD31571	HeadlandsRoad
historic-landfill-site:EAHLD31666	BeatwasteTip
historic-landfill-site:EAHLD31670	DisusedQuarry
historic-landfill-site:EAHLD31759	JermynCroft
historic-landfill-site:EAHLD31665	LowfieldsRoad
historic-landfill-site:EAHLD31830	SmithFeatherstoneSewageWorks
historic-landfill-site:EAHLD31724	QuarrySheepwalkLane
historic-landfill-site:EAHLD31636	LunnsfieldQuarry
historic-landfill-site:EAHLD31633	NrCopperingKilns
historic-landfill-site:EAHLD31787	WhitwoodRecreationGround	CastlefordMetropolitanBoroughCouncil
historic-landfill-site:EAHLD05411	MickletonNorthEnd,BarnardCastle	TEJParkin
historic-landfill-site:EAHLD33079	LongDrowPitsLandfillSite	BartonPlantLimited
historic-landfill-site:EAHLD31694	HolyIsland,ShellRoad
historic-landfill-site:EAHLD31916	TheDocks
historic-landfill-site:EAHLD32025	TheGillRefuseTip
historic-landfill-site:EAHLD31933	RedhillsQuarry
historic-landfill-site:EAHLD31896	EllonbyTip
historic-landfill-site:EAHLD32009	Ashfell
historic-landfill-site:EAHLD31676	HarperleyBank
historic-landfill-site:EAHLD31650	Skerneside
historic-landfill-site:EAHLD31649	Skermeside
historic-landfill-site:EAHLD31622	NeashamRoad
historic-landfill-site:EAHLD31728	HighSideTip
historic-landfill-site:EAHLD31761	NaturalStoneQuarriesLimited
historic-landfill-site:EAHLD31674	FarncessQuarry
historic-landfill-site:EAHLD31907	KirkbyRefuseTip
historic-landfill-site:EAHLD31794	Lynemouth
historic-landfill-site:EAHLD31877	MiddlefieldFarm
historic-landfill-site:EAHLD31878	WynyardRoad
historic-landfill-site:EAHLD31600	DunstonRoadTip
historic-landfill-site:EAHLD31628	RyhopeTip
historic-landfill-site:EAHLD32107	WhiteMossPeatCompanyLimited
historic-landfill-site:EAHLD32044	CEGB
historic-landfill-site:EAHLD31899	BulyandRochdaleOldRoad
historic-landfill-site:EAHLD31683	ParkCloseQuarries
