historic-landfill-site	name	licence-holder
historic-landfill-site:EAHLD09772	PitCopseWoodlands	MrPAJukes
historic-landfill-site:EAHLD09774	SouthardFarm	WTHaysom
historic-landfill-site:EAHLD19211	LandAtHaxtedRoad
historic-landfill-site:EAHLD09577	TunnelLane	SomersetCountyCouncil
historic-landfill-site:EAHLD19212	ParkFarm	WillmentHoldings
historic-landfill-site:EAHLD19213	StubpondLane
historic-landfill-site:EAHLD19214	WhitepostWood
historic-landfill-site:EAHLD19215	HourneFarmPumpingStation
historic-landfill-site:EAHLD19216	GolfCourse
historic-landfill-site:EAHLD19217	BrownsWood
historic-landfill-site:EAHLD19218	FoxholeLane
historic-landfill-site:EAHLD09571	GaitesFarmPetCemetery	NWSandy
historic-landfill-site:EAHLD09572	DunkertonRailwayCutting	BathWasteDisposalServicesLimited
historic-landfill-site:EAHLD09573	SplottFarm	DivisContractors
historic-landfill-site:EAHLD09574	LandAdjacentToWhitebrookLane	KenBiggsContractorsLimited
historic-landfill-site:EAHLD09575	PeasdownSt.JohnCricketClub	TheTrusteesofPeasdownStJohnCricketClub
historic-landfill-site:EAHLD09778	LandAtLodgeField	TarmacRoadstoneLimited
historic-landfill-site:EAHLD19219	HodoreFarm
historic-landfill-site:EAHLD19220	ParkFarm
historic-landfill-site:EAHLD09576	LandNearHamGardens	WessexWaterAuthority
historic-landfill-site:EAHLD09578	KillingsKnapp
historic-landfill-site:EAHLD09845	FieldNo0095,OppositeFairwoodHouse
historic-landfill-site:EAHLD09846	LandAdjoiningSevernRoad
historic-landfill-site:EAHLD09847	DisusedRailwayCutting	AvonCountyCouncil
historic-landfill-site:EAHLD09848	BuryHillQuarry	AvonCountyCouncil
historic-landfill-site:EAHLD09849	RoyalPortburyDock
historic-landfill-site:EAHLD09850	SouthStokePhase2Tip	AvonCountyCouncil
historic-landfill-site:EAHLD09851	HenleyQuarry
historic-landfill-site:EAHLD09852	FormerWCCTip	WiltshireCountyCouncil
historic-landfill-site:EAHLD09775	BaileyGateIndustrialEstate	BirchmereLimited
historic-landfill-site:EAHLD09776	WoodsideStudFarm	DWyattConstructionLimited
historic-landfill-site:EAHLD20527	CoxfordCopse
historic-landfill-site:EAHLD09780	BradfordBarrowChalkPit	MrDJSandever
historic-landfill-site:EAHLD09781	ForestLodge	MrRRoberts
historic-landfill-site:EAHLD09782	BinegarFarm	MrPGillett
historic-landfill-site:EAHLD09783	GorcombeFarmSSL	WessexWaterServices
historic-landfill-site:EAHLD09784	RingwoodRoadSSL	WessexWaterServices
historic-landfill-site:EAHLD09785	PikesFarmSSL	WessexWaterServices
historic-landfill-site:EAHLD09786	MiddleFarmSSL	WessexWaterServices
historic-landfill-site:EAHLD19221	StubpondLane
historic-landfill-site:EAHLD19222	LittleForestFarm
historic-landfill-site:EAHLD19223	FreemansFarm
historic-landfill-site:EAHLD19224	SpratsbrookFarm
historic-landfill-site:EAHLD19225	TurnersWood	MrHeskin
historic-landfill-site:EAHLD19226	AshurstBridge
historic-landfill-site:EAHLD19228	RowanLodge
historic-landfill-site:EAHLD19229	ForestRow	RWJack
historic-landfill-site:EAHLD19230	PaternosterWood	PeterBrown
historic-landfill-site:EAHLD19232	TowsersLodgeFarm	ShevingtonWasteDisposalLimited
historic-landfill-site:EAHLD19233	BeggarsRoost
historic-landfill-site:EAHLD19990	ArdinglyShowground	RFTester
historic-landfill-site:EAHLD19991	BaystoneFarm	WestSussexCountyCouncil
historic-landfill-site:EAHLD19992	BerrylandsFarm	JohnJonesLimited
historic-landfill-site:EAHLD19993	BolneyGrangeSalvage	GTEecles
historic-landfill-site:EAHLD19994	BridgehillFarm	TidyandWebbLimited
historic-landfill-site:EAHLD19995	BroadbridgeFarm
historic-landfill-site:EAHLD20524	LandAdjacenttoInternationalWayFlats
historic-landfill-site:EAHLD20525	LandAdjacenttoWarrenAvenue
historic-landfill-site:EAHLD20526	LandAdjacenttoCycleSpeedway
historic-landfill-site:EAHLD20528	PeartreeGreen	SouthamptonCorporation
historic-landfill-site:EAHLD20529	RiversideParkRecreationFields
historic-landfill-site:EAHLD20530	RiversideParkPitchandPutt
historic-landfill-site:EAHLD20531	CobdenMeadows
historic-landfill-site:EAHLD20726	MeadowBankMinkFarm	AEBatholomewandCompanyLimited
historic-landfill-site:EAHLD20729	UpperBarnesLane	GFarwellLimited
historic-landfill-site:EAHLD20730	SiteofLimmerTrinidadAsphaltWorks	GFarwellLimited
historic-landfill-site:EAHLD20731	SouthOfA337	NewMiltonSandandBallastCompany
historic-landfill-site:EAHLD20732	HCCPenningtonMarshesSiteA	CountySurveyor,HampshireCountyCuncil
historic-landfill-site:EAHLD20737	ManorFarm	NewMiltonSandandBallastCompany
historic-landfill-site:EAHLD20742	RefuseTipatBolderwoodWalk	NewForestDistrictCouncil
historic-landfill-site:EAHLD20743	LandAdjacenttoLimeKilnLane	NewForestRuralDistrictCouncil
historic-landfill-site:EAHLD20934	YewTreePit	TheCountySurveyor
historic-landfill-site:EAHLD20935	RailwayCutting,SouthofB3400	HampshireCountyCouncil
historic-landfill-site:EAHLD20936	EastOfMarshCourtRoad	ThomasKingandSonsBuildersLimited
historic-landfill-site:EAHLD20937	LandAdjtoCharltonSportsCentre
historic-landfill-site:EAHLD20938	CranfordFarm	MrBJBrooks
historic-landfill-site:EAHLD20939	LandBehindFormerIncinerator	HampshireCountyCouncil
historic-landfill-site:EAHLD20944	GangWarily	FawleyParishCouncil
historic-landfill-site:EAHLD20946	LandatBursledonBrickworks	CivilAviationAuthority
historic-landfill-site:EAHLD19997	BrookBarnFarm
historic-landfill-site:EAHLD20536	EuropaTennisSchool
historic-landfill-site:EAHLD19999	Brooklands
historic-landfill-site:EAHLD20000	BuryChalkQuarry	WestSussexCountyCouncil
historic-landfill-site:EAHLD20001	CanadaRoad
historic-landfill-site:EAHLD20002	CastleGoringTip	SussexTippingLimited
historic-landfill-site:EAHLD20003	ChesworthFarm&House
historic-landfill-site:EAHLD20532	MansbridgeRoad
historic-landfill-site:EAHLD20533	StonehamCemetery
historic-landfill-site:EAHLD20534	AldermoorRoad
historic-landfill-site:EAHLD20535	ButtermereClose
historic-landfill-site:EAHLD20541	ItchensideClose
historic-landfill-site:EAHLD20744	RefuseTipatCobblersCorner	NewForestDistrictCouncil
historic-landfill-site:EAHLD20745	RefuseTip,SetleyTipSiteB	NewForestRuralDistrictCouncil
historic-landfill-site:EAHLD20747	DowntonManorFarm	DowntonFarms
historic-landfill-site:EAHLD20748	DudleyAvenue
historic-landfill-site:EAHLD20751	OldGravelPit
historic-landfill-site:EAHLD20752	FawleyHeath	HallAggregates(SouthCoast)Limited
historic-landfill-site:EAHLD20753	LandBehindOldChurchHall
historic-landfill-site:EAHLD20754	AshleyArnewood	NewMiltonSandandBallastCompany
historic-landfill-site:EAHLD20758	GravelPitsNorthOfA31
historic-landfill-site:EAHLD20948	CharkFarm	HampshireCountyCouncil
historic-landfill-site:EAHLD20949	F.DykesPit	HallAggregates(SouthCoast)Limited
historic-landfill-site:EAHLD20570	VicarageRoad\/PophamCourtRoad
historic-landfill-site:EAHLD20951	SandhillsLane
historic-landfill-site:EAHLD20952	AreasInTheRegionOfSandhillsLane
historic-landfill-site:EAHLD20955	ReclaimedLandInPaulsgroveArea
historic-landfill-site:EAHLD20956	NorthHarbourAllotments
historic-landfill-site:EAHLD20004	CinderHill	BCI
historic-landfill-site:EAHLD20005	ClaphamBrickworks	WimpeyWasteManagementLimited
historic-landfill-site:EAHLD20006	CoombesRoad
historic-landfill-site:EAHLD20007	CopyholdLane
historic-landfill-site:EAHLD20008	CraggWoodHouse	ALAbrahams
historic-landfill-site:EAHLD20010	DannySandpit	HalesContainersLimited
historic-landfill-site:EAHLD20542	MansellPark
historic-landfill-site:EAHLD20543	LandBetweenWimpsonLaneandPaigntonRoad
historic-landfill-site:EAHLD20544	LandAdjacenttoTannersBrook
historic-landfill-site:EAHLD20545	JunctionOfBirchRoadandBirchClose
historic-landfill-site:EAHLD20546	LandEastOfCoxfordDrove
historic-landfill-site:EAHLD20547	LandNorthOfPalmRoad
historic-landfill-site:EAHLD20548	LandEastOfLakelandsDrive
historic-landfill-site:EAHLD20549	LandBetweenGranbyandBroadlandsGrove
historic-landfill-site:EAHLD20550	CornerOfBluebellandLobeliaRoad
historic-landfill-site:EAHLD20551	RecreationGroundNorthOfBluebellRoad
historic-landfill-site:EAHLD20552	CornerOfMidanburyLaneandCobdenAvenue
historic-landfill-site:EAHLD20759	LandWestOfDownsParkCrescent
historic-landfill-site:EAHLD20760	LandBetweenLymingtonRoadandAshleyRoad
historic-landfill-site:EAHLD20764	RiversideNursery	RegalSmallholdingsLimited
historic-landfill-site:EAHLD20765	Block101	PTSDivision
historic-landfill-site:EAHLD20768	NewlandsManor	NewlandsManorLimited
historic-landfill-site:EAHLD20770	GosportBoatyard	GosportBoatYardPlc
historic-landfill-site:EAHLD20772	FraterLane
historic-landfill-site:EAHLD20773	LandAdjacenttoFormerStokesBayPier
historic-landfill-site:EAHLD20775	EastOfRiverAlver	GosportBoroughCouncil
historic-landfill-site:EAHLD20961	LandSouthOfBurfieldsRoad
historic-landfill-site:EAHLD20963	LandEastOfBaffinsPond
historic-landfill-site:EAHLD20964	TwyfordWharf
historic-landfill-site:EAHLD20966	ScratchfaceLane	GleesonCivilEngineeringLimited
historic-landfill-site:EAHLD20555	SouthWestofDempseyClose
historic-landfill-site:EAHLD20967	DunsburyHillFarm	GleesonCivilEngineeringLimited
historic-landfill-site:EAHLD20968	CrowhurstKennels	ALPoupart
historic-landfill-site:EAHLD20969	FairleeGasHolderSumpLandfill	BritishGasSouthern
historic-landfill-site:EAHLD20011	DecoyFarm
historic-landfill-site:EAHLD20012	DialPost
historic-landfill-site:EAHLD20013	DisusedBrickworks	WolseyBuildingSuppliesLimited
historic-landfill-site:EAHLD20014	EastlandWood	DJNichols
historic-landfill-site:EAHLD20015	EastWolvesFarm
historic-landfill-site:EAHLD20016	EastWolvesFarm
historic-landfill-site:EAHLD20017	EastedsFarm	MFord
historic-landfill-site:EAHLD20553	BetweenSomertonAvenueandSelbourneAvenue
historic-landfill-site:EAHLD20572	AsheParkFarm	JohnStaceyandSonsLimited
historic-landfill-site:EAHLD20574	LandEastOfTuftonManorFarm	MrTCTozer
historic-landfill-site:EAHLD20575	DryDockNo.5	BathWasteDisposalServicesLimited
historic-landfill-site:EAHLD20579	DryDockNo.1
historic-landfill-site:EAHLD20580	DryDockNo.2
historic-landfill-site:EAHLD20776	EastOfRiverAlver
historic-landfill-site:EAHLD20777	NorthOfBrowndownRoad	GosportBoroughCouncil
historic-landfill-site:EAHLD20778	CreekWestOfPriddysHard
historic-landfill-site:EAHLD20780	RefuseTiptoWestofFortGomer
historic-landfill-site:EAHLD20782	LandAdjacenttoStokeShorelineSiteB
historic-landfill-site:EAHLD20784	MoatAlongSouthernGosportPeninsula
historic-landfill-site:EAHLD20785	SpoilHeapSouthofFoxburyPoint
historic-landfill-site:EAHLD20786	PondAtWychFarm
historic-landfill-site:EAHLD20787	PondSouthOfRownerRoad
historic-landfill-site:EAHLD20970	SheepwashLane
historic-landfill-site:EAHLD20971	BushfieldFarm	DepartmentofTransport
historic-landfill-site:EAHLD20972	LandAtDownsview
historic-landfill-site:EAHLD20973	LandAtMoresteadWasteWaterTreatmentWorks	DepartmentofTransport
historic-landfill-site:EAHLD20974	NunsRoad	RJBest
historic-landfill-site:EAHLD20975	ManorFarmEasternExtension	NewMiltonSandandBallast
historic-landfill-site:EAHLD20584	LandatBurcotFarm	WRAWellingAssociates
historic-landfill-site:EAHLD11620	ClockhouseBrickworks	SurreyCountyCouncil
historic-landfill-site:EAHLD20035	HambrookSouthWest	JandW(Aggregates)Limited
historic-landfill-site:EAHLD20036	Woodlands	JandWTipperHireLimited
historic-landfill-site:EAHLD07258	PrestonRunningTrack	PrestonBoroughCouncil
historic-landfill-site:EAHLD20037	EmsworthYachtHarbour	EmsworthYachtHarbourLimited
historic-landfill-site:EAHLD20038	CutMill	HGeallLimited
historic-landfill-site:EAHLD20039	ThornhamSludgeWorks	SouthernWaterServicedLimited
historic-landfill-site:EAHLD20040	LandatHatchamoorFarm
historic-landfill-site:EAHLD20043	TorberryFarm	RMChestermanLimited
historic-landfill-site:EAHLD20044	NewellsLane
historic-landfill-site:EAHLD20581	InnerDock
historic-landfill-site:EAHLD20585	LandatHeathhouseLane	MrNJones
historic-landfill-site:EAHLD20586	LandAtWoodlandsFarm	WallingtonHaulageandJBMDemolitionandDismantlingLimited
historic-landfill-site:EAHLD20587	WaterTreatementWorks	SouthernWaterServicesLimited
historic-landfill-site:EAHLD20588	TheOldChalkPit	CFFreemanCharltonLimited
historic-landfill-site:EAHLD20589	LandatthewestofWideLane	SirAlfredMcAlpineandSonLimited
historic-landfill-site:EAHLD20590	LandatLakeside	HTHughesandSons(Transport)Limited
historic-landfill-site:EAHLD20596	Vesonia	NHLangley
historic-landfill-site:EAHLD20597	HolywellEstate	RtHonLadyRhyl
historic-landfill-site:EAHLD20598	LandSouthOfA303
historic-landfill-site:EAHLD20788	LandatCherqueFarm	HallAggregates(SouthCoast)Limited
historic-landfill-site:EAHLD20789	MoatatFortGrange
historic-landfill-site:EAHLD20790	PumpingStation	PortsmouthWaterCompany
historic-landfill-site:EAHLD20793	LongmeadowAllotments	PortsmouthCityCouncil
historic-landfill-site:EAHLD20794	MoneyfieldAllotments	PortsmouthCityCouncil
historic-landfill-site:EAHLD20795	MoneyfieldandLongmeadowsAllotments	PortsmouthCityCouncil
historic-landfill-site:EAHLD20796	TheGloryHole
historic-landfill-site:EAHLD20802	EastneyLake
historic-landfill-site:EAHLD11778	RidgleyRoad	AHarms
historic-landfill-site:EAHLD11779	Hazlehurst	WeydonPlantHireLimited
historic-landfill-site:EAHLD12392	HallsHill	PetersfieldRuralDistrictCouncil
historic-landfill-site:EAHLD20460	ButserHillLimeworks	GeorgeEwenLimited
historic-landfill-site:EAHLD19871	ArundelParkEstate	EastSussexCountyCouncil
historic-landfill-site:EAHLD19872	RightSideofApproachBridgetoCookooTrailcomingfromHellingly
historic-landfill-site:EAHLD19873	BroadleyCopse
historic-landfill-site:EAHLD19874	ClaypitLane
historic-landfill-site:EAHLD19875	FarndellClose
historic-landfill-site:EAHLD20018	EasternRoad
historic-landfill-site:EAHLD20019	EasternRoad
historic-landfill-site:EAHLD20020	ElbourneHouse	SPMitchell
historic-landfill-site:EAHLD20021	FaginsDen
historic-landfill-site:EAHLD20023	FaygateLandfillSite	WestSussexCountyCouncil
historic-landfill-site:EAHLD20599	WarrenFarm	HughesContainerServicesLimited
historic-landfill-site:EAHLD20600	AlbanyFarm	TreloarWasteContainersLimited
historic-landfill-site:EAHLD20601	AlbanyFarm	TreloarWasteContainersLimited
historic-landfill-site:EAHLD20602	JunctionofPookLane-WickhamRoad	HTHughesandSonLimited
historic-landfill-site:EAHLD20603	HookTip	HampshireCountyCouncil
historic-landfill-site:EAHLD20604	HeytesburyFarm	WearnConstructionLimited
historic-landfill-site:EAHLD20803	HendersonRoadCaravanPark
historic-landfill-site:EAHLD20805	StamshawAreaSiteA
historic-landfill-site:EAHLD20812	Tipner-StamshawArea1
historic-landfill-site:EAHLD20813	Tipner-Stamshaw
historic-landfill-site:EAHLD20814	SalisburyRoadAllotments
historic-landfill-site:EAHLD20815	KingGeorgeVPlayingField	ArlingtonSecuritiesLimited
historic-landfill-site:EAHLD20816	StamshawPark
historic-landfill-site:EAHLD19876	FlorenceRoad
historic-landfill-site:EAHLD19877	BirdlessGrove
historic-landfill-site:EAHLD19878	Garrett'sCopse
historic-landfill-site:EAHLD19879	JunctionofNorthLane-HollistLane
historic-landfill-site:EAHLD19880	MillValeMeadow
historic-landfill-site:EAHLD19881	NewRoad
historic-landfill-site:EAHLD19882	OldWest'sWoodYard
historic-landfill-site:EAHLD19883	HolmbushIndustrialEstate
historic-landfill-site:EAHLD19884	HolmbushWay
historic-landfill-site:EAHLD19886	GolfLinksLane
historic-landfill-site:EAHLD19892	Mewsbrook	ArunDistrictCouncil
historic-landfill-site:EAHLD20029	GlazebyRoad	SussexTippingLimited
historic-landfill-site:EAHLD20030	GlenifferFarm
historic-landfill-site:EAHLD20031	GoldingBarnChalkPit	MrDGAlexandra
historic-landfill-site:EAHLD20032	LandAdjacenttoGolfCourse
historic-landfill-site:EAHLD20033	HambrookNorth	JandW(Aggregates)Limited
historic-landfill-site:EAHLD20034	HambrookSouthEast	AMEYRoadstoneCorporationLimited
historic-landfill-site:EAHLD20605	WhitedellFarm	WearnConstructionLimited
historic-landfill-site:EAHLD20606	JunctionofNorthHillandWickhamRoad	HTHughesandSonLimited
historic-landfill-site:EAHLD20607	DeviationLinebetweenHighlandsRoadandM27	FarehamBoroughCouncil
historic-landfill-site:EAHLD20608	HamblensPit	HughesContainerServiceLimited
historic-landfill-site:EAHLD20609	LandtotheRearof134KilnRoad	AJTreloar
historic-landfill-site:EAHLD20610	DownEndQuarry	HughesContainerServicesLimited
historic-landfill-site:EAHLD20611	HookGravelPit	HTHughesandSons(Transport)Limited
historic-landfill-site:EAHLD20817	WoodcroftFarm	FFFPlantHireCompanyLimited
historic-landfill-site:EAHLD20818	Yachthaven	Wal-LeisureLimited
historic-landfill-site:EAHLD20819	NorthSalterns	WarnerHolidaysLimited
historic-landfill-site:EAHLD20821	NorthofMenghamHouse	MrsJMSelby
historic-landfill-site:EAHLD20823	DisusedSandPitA
historic-landfill-site:EAHLD20824	DisusedSandPitB
historic-landfill-site:EAHLD20825	LandWestOfOldRailway
historic-landfill-site:EAHLD20827	OldCouncilDepot
historic-landfill-site:EAHLD20829	FieldersPark
historic-landfill-site:EAHLD20830	FleetFarmCaravanPark
historic-landfill-site:EAHLD20832	NodewellSandpit	GHMorgan
historic-landfill-site:EAHLD20835	TheVineyard
historic-landfill-site:EAHLD19894	SandgatePark
historic-landfill-site:EAHLD19896	LandSouthofLowerToteaseFarm
historic-landfill-site:EAHLD19897	WestdownSaltmarshLane
historic-landfill-site:EAHLD19899	HorseEyeLevel
historic-landfill-site:EAHLD19901	HailshamReclamation
historic-landfill-site:EAHLD19910	SoutherhamWharf
historic-landfill-site:EAHLD19912	PeacewaysAnimalCrematorium
historic-landfill-site:EAHLD19918	BexhillRoad
historic-landfill-site:EAHLD19921	HalewickLaneTip	WestSussexCountyCouncil
historic-landfill-site:EAHLD20045	ClayLane	JohnReed
historic-landfill-site:EAHLD20046	Maddoxwood
historic-landfill-site:EAHLD20047	TheDrive
historic-landfill-site:EAHLD20048	Goodwoodairfield	TheGoodwoodEstateCompanyLimited
historic-landfill-site:EAHLD20049	CoachRoad	SussexCountyCouncil
historic-landfill-site:EAHLD20613	BirdwoodGroveTip	FarehamBoroughCouncil
historic-landfill-site:EAHLD20614	LandatGravelHoleCopse	RookesburyEstate
historic-landfill-site:EAHLD20616	LandSouthofHarbourView
historic-landfill-site:EAHLD20618	LandAdjacenttoDiblesBottom
historic-landfill-site:EAHLD20619	LandAdjacenttoPrimatesWay
historic-landfill-site:EAHLD20621	BullingtonNorth	HampshireCountyCouncil
historic-landfill-site:EAHLD20622	AppleshawTip	AJDunningandSonsWeyhillLimited
historic-landfill-site:EAHLD20623	RailwayCutting	CleansingServiceSouthernCountiesLimited
historic-landfill-site:EAHLD20624	PoundFarmA	WHBerryandSonandPartners
historic-landfill-site:EAHLD20836	TapnellQuarry	JEReed
historic-landfill-site:EAHLD20837	TheCabin
historic-landfill-site:EAHLD20838	TheSolent
historic-landfill-site:EAHLD20839	ShalfleetManorFarm
historic-landfill-site:EAHLD20840	CorfCopse
historic-landfill-site:EAHLD20841	BrightstoneTip
historic-landfill-site:EAHLD20842	RefuseTipatAshengroveFarm	JamesBallandSonBandCLimited
historic-landfill-site:EAHLD20843	GurnardMarsh
historic-landfill-site:EAHLD20844	ForestSite
historic-landfill-site:EAHLD20845	LutonGravelPit	KMorrisLimited
historic-landfill-site:EAHLD20452	UpperMoorsRoad
historic-landfill-site:EAHLD19922	WykehurstPark
historic-landfill-site:EAHLD19923	OppositeHicksteadShowground
historic-landfill-site:EAHLD19924	HighHurstManorFarm	SussexTippingLimited
historic-landfill-site:EAHLD19925	HollandsLane
historic-landfill-site:EAHLD19926	HomeFarm
historic-landfill-site:EAHLD19927	HopOastRoundabout	WimpeyConstructionUKLimited
historic-landfill-site:EAHLD19929	HundredSteddles
historic-landfill-site:EAHLD20024	FerryRoadNorth
historic-landfill-site:EAHLD20632	BullingtonTip	AndoverRuralDistrictCouncil
historic-landfill-site:EAHLD16333	LandoffVicarageStreet
historic-landfill-site:EAHLD20025	FordPrison
historic-landfill-site:EAHLD20026	FoxhallFarm
historic-landfill-site:EAHLD20027	FreeksLane	JMPegler
historic-landfill-site:EAHLD20028	GillHouseFarm
historic-landfill-site:EAHLD20625	PoundFarmB	WHBerryandSonandPartners
historic-landfill-site:EAHLD20626	RomseyGolfCourse	RomseyGolfClubLimited
historic-landfill-site:EAHLD20627	SandPitSouthofHoeLane	BathWasteDisposalServicesLimited
historic-landfill-site:EAHLD20629	RamridgeFarm	ACottleandSonLimited
historic-landfill-site:EAHLD20630	BransburyChalkPit	HantsconLimited
historic-landfill-site:EAHLD20631	MillLane	SouthernLandandBallestLimited
historic-landfill-site:EAHLD20859	WorsleyRoad
historic-landfill-site:EAHLD20633	SandPitSouthofHoeLane	SHEnterpriseLimited
historic-landfill-site:EAHLD20634	TimsburyManorFarm	HallAggregates(SouthCoast)Limited
historic-landfill-site:EAHLD20846	ChawtonOldCamp	CheekPlantandTransportLimited
historic-landfill-site:EAHLD20847	MedhamDevelopment
historic-landfill-site:EAHLD20848	MedhamDevelopment
historic-landfill-site:EAHLD20850	NewportReliefRoad
historic-landfill-site:EAHLD20851	FairleeRailwayCutting
historic-landfill-site:EAHLD20852	SouthviewDairy	TRadcliffe
historic-landfill-site:EAHLD20853	BeatriceAvenue
historic-landfill-site:EAHLD20854	LittleFairleeFarm
historic-landfill-site:EAHLD20855	BagwichLanePit
historic-landfill-site:EAHLD20856	RacecourseLandfillSite	CountySurveyor,IsleofWightCountyCouncil
historic-landfill-site:EAHLD20857	StaplersFarm
historic-landfill-site:EAHLD20858	LongLanePlantation	WestbridgeConstructionCmpanyLimited
historic-landfill-site:EAHLD19930	Hurstlands	MrsMByfield
historic-landfill-site:EAHLD20860	EastSideofWoottonRailwayStation
historic-landfill-site:EAHLD19931	ItchingfieldDisusedRailwayCutting	DalesofCrawleyLimited
historic-landfill-site:EAHLD19932	WarnhamBrickworksLandfillSite
historic-landfill-site:EAHLD19933	LithersgateCommon
historic-landfill-site:EAHLD19934	LongFurlong
historic-landfill-site:EAHLD19935	LowerGrouse-PearTreeFarm	BMiles
historic-landfill-site:EAHLD19936	WestlandsCopseLandfillSite
historic-landfill-site:EAHLD19938	MicklepageFarm	EWPyzer
historic-landfill-site:EAHLD19939	MillLane	BMT(Containers)Limited
historic-landfill-site:EAHLD20440	LeylandFarm	TClay
historic-landfill-site:EAHLD20441	RailwayCutting	CityEngineer
historic-landfill-site:EAHLD20442	BiddenfieldLane	DroxfordRuralDistrictCouncil
historic-landfill-site:EAHLD20445	AlresfordDrove
historic-landfill-site:EAHLD16156	LandatHeyCrescent\/SunHillMills
historic-landfill-site:EAHLD20449	KnowleHospital	WessexRegionalHospitalBoard
historic-landfill-site:EAHLD20450	QuobCopse
historic-landfill-site:EAHLD20451	WestonColley	WinchesterRuralDistrictCouncil
historic-landfill-site:EAHLD20635	BramblesideSandpit	BathWasteDisposalServicesLimited
historic-landfill-site:EAHLD20636	LeePit	CityEngineerandSurveyor
historic-landfill-site:EAHLD20638	CupernhamLane	WEChiversandSonsLimited
historic-landfill-site:EAHLD20639	WarrenFarm	AandJBullSouthernLimited
historic-landfill-site:EAHLD20640	LandAdjacenttoThomasPattersonLimited	ThomasPattersonandSonLimited
historic-landfill-site:EAHLD20642	BirchwoodHouseFarm	BiffaLimited
historic-landfill-site:EAHLD20643	DisusedRailwayCutting	AndoverPlantHireCompanyLimited
historic-landfill-site:EAHLD20644	DunwoodHillFarm	MrAPLovell
historic-landfill-site:EAHLD20645	LeePit	AEGenetRomseyLimited
historic-landfill-site:EAHLD20646	RearofTheLimes	MrDRuddick
historic-landfill-site:EAHLD20869	NinhamWithybed
historic-landfill-site:EAHLD20870	ShanklinOldTip
historic-landfill-site:EAHLD20871	LandguardCaravanPark	DLModsellLimited
historic-landfill-site:EAHLD20872	BlackpanFarm
historic-landfill-site:EAHLD19940	Munnery'sCopse	JFSomerset
historic-landfill-site:EAHLD19941	NewbrookFarm	EdburtonContractorsLimited
historic-landfill-site:EAHLD19942	NewtimberChalkQuarry	AlfredMacAlpineConstructionLimited
historic-landfill-site:EAHLD19943	NorthdownFarm
historic-landfill-site:EAHLD19944	NorwayFarm
historic-landfill-site:EAHLD19945	OldMeadRoadTip	SussexTippingLimited
historic-landfill-site:EAHLD19946	OldlandsAvenue
historic-landfill-site:EAHLD20453	TipRearofParishChurch	TSTryLimited
historic-landfill-site:EAHLD20454	SewageFarm
historic-landfill-site:EAHLD20455	DisusedRailwayCuttingatEastonLane
historic-landfill-site:EAHLD20456	LandBetweenOldNewburyRailwayandA33
historic-landfill-site:EAHLD20457	PeghamCoppice	CleansingServiceSouthernCountiesLimited
historic-landfill-site:EAHLD20458	FormerDellWestOfFairfieldRoad
historic-landfill-site:EAHLD20647	NurseryFarm	SibleyMaterialMovementsLimited
historic-landfill-site:EAHLD20649	YewTreeCottage	HallAggregates(SouthCoast)Limited
historic-landfill-site:EAHLD20650	CastleLane	JBurns
historic-landfill-site:EAHLD20651	ChurchLane	DrinkwaterSabeyLimited
historic-landfill-site:EAHLD20652	Woodland	MrDRuddick
historic-landfill-site:EAHLD20653	WintersideFarm	DRuddick
historic-landfill-site:EAHLD20654	WoodingtonSandpit	HBTippingServicesLimited
historic-landfill-site:EAHLD20656	HatherdenFarm	MrDRuddick
historic-landfill-site:EAHLD20657	Sedbury	MrEStoodley
historic-landfill-site:EAHLD20658	LandatRailwayCutting	MrDGRoger
historic-landfill-site:EAHLD20873	Track
historic-landfill-site:EAHLD20874	AtkinsonDrive
historic-landfill-site:EAHLD20875	PerowneWay
historic-landfill-site:EAHLD20876	JealsPit
historic-landfill-site:EAHLD20877	SladeRoad
historic-landfill-site:EAHLD20878	OakfieldRecreationGround
historic-landfill-site:EAHLD20879	RefusetipoffMeadersRoad	WheelerBrothersBuildersLimited
historic-landfill-site:EAHLD20880	HighStreetTip
historic-landfill-site:EAHLD20881	WasteStorageAtSandownWasteWaterTreatmentWorks	SouthernWaterServices
historic-landfill-site:EAHLD20882	WallLaneCementMill	GAllenandSon
historic-landfill-site:EAHLD09277	NorthofVanesCopse	RLBrownConstructionLimited
historic-landfill-site:EAHLD20883	YaverlandOldTip
historic-landfill-site:EAHLD19947	PenfoldWorks
historic-landfill-site:EAHLD19948	PlummendenLane	PBlaker
historic-landfill-site:EAHLD19949	PondField
historic-landfill-site:EAHLD19950	RedhouseFarm
historic-landfill-site:EAHLD19951	ReedsLane
historic-landfill-site:EAHLD19952	RMCWorkshop	EngineeringandtransportLimited
historic-landfill-site:EAHLD19954	RomaFarm
historic-landfill-site:EAHLD19955	RoomBottomValley
historic-landfill-site:EAHLD20465	PyleFarmandFiveHeadsfarm
historic-landfill-site:EAHLD20466	FiveHeadsFarm	MrKTHeath
historic-landfill-site:EAHLD20665	TestRoadMaterials	TestRoadMaterials
historic-landfill-site:EAHLD20468	PadnellFarm	GleesonCivilEngineeringLimited
historic-landfill-site:EAHLD20469	Bridlepath
historic-landfill-site:EAHLD20471	SouthleighForest	LeighEnvironmentalSouthernLimited
historic-landfill-site:EAHLD20473	ClarkesDell	HTHughesandSons(Transport)Limited
