area	name
lambeth-site-of-borough-nature-conservation-importance:15	Borough SINC - Eardley Road Sidings - Acid Grassland
lambeth-site-of-borough-nature-conservation-importance:16	Borough SINC - Unigate Woods
lambeth-site-of-borough-nature-conservation-importance:11	Borough SINC - Rail way Lineside - Streatham Common to Norbury
lambeth-site-of-borough-nature-conservation-importance:5	Borough SINC - Railway Lineside - Streatham Cuttings
lambeth-site-of-borough-nature-conservation-importance:6	Borough SINC - Harleyford Road Community Garden
lambeth-site-of-borough-nature-conservation-importance:9	Borough SINC - Ruskin Park
lambeth-site-of-borough-nature-conservation-importance:20	Borough SINC - Lambeth Palace Gardens
lambeth-site-of-borough-nature-conservation-importance:14	Borough SINC - West Norwood Cemetery
lambeth-site-of-borough-nature-conservation-importance:17	Borough SINC - Streatham Common
lambeth-site-of-borough-nature-conservation-importance:7	Borough SINC - Roots and Shoots Nature Garden
lambeth-site-of-borough-nature-conservation-importance:13	Borough SINC - Railway Lineside - Streatham Hill
lambeth-site-of-borough-nature-conservation-importance:18	Borough SINC - Brockwell Park
lambeth-site-of-borough-nature-conservation-importance:2	Borough SINC - Railway Lineside - Tooting Bec to Eardley Road
lambeth-site-of-borough-nature-conservation-importance:4	Borough SINC - Railway Lineside - Peabody Hill inc. Acid Grassland
lambeth-site-of-borough-nature-conservation-importance:1	Borough SINC - Oasis Nature Garden
lambeth-site-of-borough-nature-conservation-importance:12	Borough SINC - Railway Lineside - Leigham Vale and Tulse Hill Junctions
lambeth-site-of-borough-nature-conservation-importance:8	Borough SINC - Bishop Thomas Grant School Playing Field
lambeth-site-of-borough-nature-conservation-importance:19	Borough SINC - Clapham Common
lambeth-site-of-borough-nature-conservation-importance:3	Borough SINC - Palace Road Nature Garden
lambeth-site-of-borough-nature-conservation-importance:10	Borough SINC - Railway Lineside - West Norwood
