area	name	parent-statistical-geography
civil-parish-boundary:E04000001	Blackrod	E08000001
civil-parish-boundary:E04000002	Horwich	E08000001
civil-parish-boundary:E04000003	Westhoughton	E08000001
civil-parish-boundary:E04000004	Ringway	E08000003
civil-parish-boundary:E04000005	Saddleworth	E08000004
civil-parish-boundary:E04000008	Mossley	E08000008
civil-parish-boundary:E04000009	Carrington	E08000009
civil-parish-boundary:E04000010	Dunham Massey	E08000009
civil-parish-boundary:E04000011	Partington	E08000009
civil-parish-boundary:E04000012	Warburton	E08000009
civil-parish-boundary:E04000013	Haigh	E08000010
civil-parish-boundary:E04000014	Shevington	E08000010
civil-parish-boundary:E04000015	Worthington	E08000010
civil-parish-boundary:E04000016	Cronton	E08000011
civil-parish-boundary:E04000017	Halewood	E08000011
civil-parish-boundary:E04000018	Knowsley	E08000011
civil-parish-boundary:E04000019	Prescot	E08000011
civil-parish-boundary:E04000021	Whiston	E08000011
civil-parish-boundary:E04000022	Billinge Chapel End	E08000013
civil-parish-boundary:E04000023	Bold	E08000013
civil-parish-boundary:E04000024	Eccleston	E08000013
civil-parish-boundary:E04000025	Rainford	E08000013
civil-parish-boundary:E04000026	Rainhill	E08000013
civil-parish-boundary:E04000027	Seneley Green	E08000013
civil-parish-boundary:E04000028	Windle	E08000013
civil-parish-boundary:E04000029	Aintree Village	E08000014
civil-parish-boundary:E04000030	Ince Blundell	E08000014
civil-parish-boundary:E04000031	Little Altcar	E08000014
civil-parish-boundary:E04000032	Lydiate	E08000014
civil-parish-boundary:E04000033	Maghull	E08000014
civil-parish-boundary:E04000034	Melling	E08000014
civil-parish-boundary:E04000035	Sefton	E08000014
civil-parish-boundary:E04000036	Thornton	E08000014
civil-parish-boundary:E04000037	Hightown	E08000014
civil-parish-boundary:E04000038	Formby	E08000014
civil-parish-boundary:E04000039	Billingley	E08000016
civil-parish-boundary:E04000041	Cawthorne	E08000016
civil-parish-boundary:E04000042	Dunford	E08000016
civil-parish-boundary:E04000043	Great Houghton	E08000016
civil-parish-boundary:E04000044	Gunthwaite and Ingbirchworth	E08000016
civil-parish-boundary:E04000045	High Hoyland	E08000016
civil-parish-boundary:E04000046	Hunshelf	E08000016
civil-parish-boundary:E04000047	Langsett	E08000016
civil-parish-boundary:E04000048	Little Houghton	E08000016
civil-parish-boundary:E04000049	Oxspring	E08000016
civil-parish-boundary:E04000050	Penistone	E08000016
civil-parish-boundary:E04000051	Shafton	E08000016
civil-parish-boundary:E04000052	Silkstone	E08000016
civil-parish-boundary:E04000053	Stainborough	E08000016
civil-parish-boundary:E04000054	Tankersley	E08000016
civil-parish-boundary:E04000055	Thurgoland	E08000016
civil-parish-boundary:E04000056	Wortley	E08000016
civil-parish-boundary:E04000057	Adwick upon Dearne	E08000017
civil-parish-boundary:E04000058	Armthorpe	E08000017
civil-parish-boundary:E04000059	Askern	E08000017
civil-parish-boundary:E04000060	Auckley	E08000017
civil-parish-boundary:E04000061	Austerfield	E08000017
civil-parish-boundary:E04000062	Barnburgh	E08000017
civil-parish-boundary:E04000063	Barnby Dun with Kirk Sandall	E08000017
civil-parish-boundary:E04000064	Bawtry	E08000017
civil-parish-boundary:E04000065	Blaxton	E08000017
civil-parish-boundary:E04000066	Braithwell	E08000017
civil-parish-boundary:E04000067	Brodsworth	E08000017
civil-parish-boundary:E04000068	Burghwallis	E08000017
civil-parish-boundary:E04000069	Cadeby	E08000017
civil-parish-boundary:E04000070	Cantley	E08000017
civil-parish-boundary:E04000071	Clayton with Frickley	E08000017
civil-parish-boundary:E04000072	Conisbrough Parks	E08000017
civil-parish-boundary:E04000073	Denaby	E08000017
civil-parish-boundary:E04000074	Edenthorpe	E08000017
civil-parish-boundary:E04000075	Edlington	E08000017
