OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W10,,"Former Swimming Baths, Croyland Road, Wellingborough, NN8 2JY",https://maphub.net/NNJPU/brownfield-sites,OSGB36,488794.33,267310.05,0.74,owned by a public authority,,not permissioned,,,WP/16/00017/OUT for residential development withdrawn in March 2016. No further applications received as of yet.,,30,,,,30,30,,"See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/  ",Previously assessed through SHLAA as site 873,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W12,,"Rear Of 3 Princess Way, Wellingborough, NN8 2HD",https://maphub.net/NNJPU/brownfield-sites,OSGB36,488274.32,266723.45,0.38,not owned by a public authority,,not permissioned,,,,,6,,,,6,6,,"See County Council map for additional details on features which may affect site:

http://maps.northamptonshire.gov.uk/  ",Previously assessed through SHLAA as site 881,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W15,,"George Cox Shoes, Westfield Road, Wellingborough, NN8 3JR",https://maphub.net/NNJPU/brownfield-sites,OSGB36,488406.05,267919.85,0.55,not owned by a public authority,,permissioned,full planning permission,,WP/16/00375/FUL permitted for 45 reirement apartments on 02/05/2017 and WP/16/00492/FUL also approved for 31 apartments in May 2017. Both of the developments are now under construction.,,14,,,,14,25,,"Would likely want to incorporate historic façade on Roberts Street into any future proposals.

If the whole site was to come forward for redevelopment (irrespective of the current undetermined application), a density of 35dph has been assumed which could yield 25 houses. However, if the whole site not available for development, then only area covered by the George Cox building (c. 60% of the whole site area) would be developed which would lend itself to apartments. On this basis, a density of 70dph is assumed which could yield 14 flats. ","Previously assessed through SHLAA as site 893. 

",30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W19,,"Reddens Scrap Yard, Leys Road / Highfield Road, Wellingborough, NN8 1PL",https://maphub.net/NNJPU/brownfield-sites,OSGB36,489738.89,268548.97,1.14,not owned by a public authority,,not permissioned,,,The site is included in the emerging plan for the Borough of Wellingborough under site specific policy site 7.  No new applications have been received.,,50,,,,50,50,,,Previously assessed through SHLAA as site 898.,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W28,,"Car Park And Others, High Street/Jackson Lane, Wellingborough, NN8 4JJ",https://maphub.net/NNJPU/brownfield-sites,OSGB36,488882.73,267926.53,3.12,owned by a public authority,,not permissioned,,,"Site is currently subject to a planning application for redevelopment of the existing car park for 113 houses, apartments and car parking (WP/14/00175/FUL). A decision on this is pending (revised plans were submitted in August 2017). Details are available here: 
http://pawebsrv.wellingborough.gov.uk/online-applications/",,220,,,,220,220,,"Development here would support Town centre regeneration. 

",Allocated as Site C in the 2009 Wellingborough Town Centre Area Action Plan,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W30,,"Former Post Office Sorting Office, Midland Road, Wellingborough, NN8 1DW",https://maphub.net/NNJPU/brownfield-sites,OSGB36,489353.2,267916.62,0.45,not owned by a public authority,,not permissioned,,,Site was  subject to application for 73 apartments in 2007 but this was subsequently withdrawn (WP/2007/0435). No further planning applications have been received. Allocated in the emerging Part 2 local plan for residential use.,,73,,,,73,73,,,Allocated as Site I in the 2009 Wellingborough Town Centre Area Action Plan,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W32,,"East Of Eastfield Road, Wellingborough, NN8 1RJ",https://maphub.net/NNJPU/brownfield-sites,OSGB36,490181.41,268930.89,10.88,not owned by a public authority,,permissioned,reserved matters approval,,Ladywell Park is still under construction with 97 units completed since 2014 under WP/14/00243/REM for phase 2B. An application approved in February 2017 under reference WP/16/00798/REM has added an additional five dwelling units to the site.The site is included in the emerging plan for the Borough of Wellingborough under site specific policy site  6.,,75,,,,75,75,,,,30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W36,,"Land Between Number 33 And 67, Milner Road, Finedon, NN9 5LW",https://maphub.net/NNJPU/brownfield-sites,OSGB36,491989.85,271644.52,1.39,not owned by a public authority,,permissioned,full planning permission,01/06/2017,A new residential development to provide 50 dwellings on the vacant site was permitted under reference WP/17/00118/FUL in June 2017.,,30,WP/17/00118/FUL - New residential development to provide 50 dwellings on vacant site,,,30,30,,Vacant site,"Saved Local Plan Allocation FN2 (Milner Road) from the 2007 Local Plan for Wellingborough (30 dwellings). 



",30/06/2016,31/12/2017
http://opendatacommunities.org/id/district-council/wellingborough,Borough Council of Wellingborough,BFR W42,,"Site G TCAAP - Alma St/Cambridge Street Backlands, Cambridge Street, Wellingborough, NN8 4DJ",https://maphub.net/NNJPU/brownfield-sites,OSGB36,489355.11,268063.18,0.83,not owned by a public authority,,permissioned,full planning permission,,"Within the allocated site boundary, WP/15/0092/FUL was permitted in April 2015 for five terraces. The five dwelling units were completed in June 2016 and are located at the rear of the working mens club. 

WP/15/00094/FUL, also permitted in April 2015, was for the conversion of the upper floor of the working mens club to 5 self-contained residential units and this was completed in September 2016. The application also included the change of use of ground floor from D2 use class to D1 use class (non-residential Community Centre). However this has been partially superseded by WP/16/00682 and the ground floor will now be four flats with works commencing in August 2017. ",,60,,,,60,60,,,Allocated as Site G in the 2009 Wellingborough Town Centre Area Action Plan,30/06/2016,31/12/2017
