OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0001,,"Tower Place, Waterworks Street, Immingham",,ETRS89,53.61819,-0.201117,0.8,not owned by a public authority,yes,permissioned,full planning permission,06/08/2010,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVJLJXB209,,32,Erect 31 houses and 1 apartment,,,32,32,,,'Developer/Owner of the site is currently pursuing the discharge of conditions for the sites planning consent. This application was validated on 2015-02-02 and is pending consideration.'',18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0002,,"71-85 Hamilton Street, Grimsby",,ETRS89,53.572859,-0.061584,0.27,not owned by a public authority,no,not permissioned,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV5LJXB137,,30,,,,24,30,,,'The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 but has since expired. An existing car wash forms part of the site.'',18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0003,,"Chapman's pond, Hawthorne Avenue, Cleethorpes",,ETRS89,53.56648,-0.03771,3.76,not owned by a public authority,no,not permissioned,,,,,110,,,,110,110,,,,18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0004,,"Land off Pelham Road, Cleethorpes",,ETRS89,53.56543,-0.03728,0.54,not owned by a public authority,yes,permissioned,full planning permission,24/12/2015,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVRLJXB013,,14,Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors),,,14,14,,,S106 approved,18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0005,,"Land off Pelham Road, Cleethorpes",,ETRS89,53.56542,-0.03516,3.96,owned by a public authority,no,not permissioned,other,,,,118,,,,118,118,,,"The site is within close proximity to the Humber estuary and close to a designated site of local nature conservation importance, and development may have an ecological impact which will need to be assessed.''",18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0006,,"Land west of Cartergate, Grimsby",,ETRS89,53.56426,-0.09154,0.18,not owned by a public authority,no,not permissioned,,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFLDHMLJM1000,,14,,,,14,14,,,The site is currently in temporary alternative use as a car park granted permission on 2016-12-21',18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0007,,"Former Clifton Bingo, Grant Street, Grimsby",,ETRS89,53.561917,-0.030088,0.21,not owned by a public authority,yes,permissioned,planning permission granted under an order,09/03/2016,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY47VLJ00700,,80,"Outline for LDO, erection of buildings and / or use of Land primarily for Class C3 with ancillary A1, A3, D2 and C1 use","A1, A3, C1 and D1 uses''",,35,80,,,,18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0008,,"Former Birds-eye factory site, Ladysmith Road, Grimsby",,ETRS89,53.56081,-0.06855,4.16,not owned by a public authority,yes,permissioned,outline planning permission,18/02/2013,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVKLJXB482,,176,"Redevelopment into a residential development for 177 mixed dwellings, amended",,,176,260,,,This site benefits from outline planning permission and reserved matters have been approved for part of the site (DC/630/12/HEN). For plots 11-23 13 dwellings in lieu of 14.,18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0009,,"Claremont House, 7 Welholme Avenue, Grimsby",,ETRS89,53.55974,-0.08965,0.58,not owned by a public authority,no,pending decision,full planning permission,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWH9KQLJK4B00,,13,Change of use of Former carehome to 2 semi-detached dwellings and erect 20 new dwellings (18 four bed and 2 three bed),,,13,22,,,"Planning permission has previously been granted on the site for the alteration of Claremont House to form 13 flats, including the part demolition of the building. This consent has since expired. Currently there is application pending",18/10/2017,18/10/2017
http://opendatacommunities.org/id/unitary-authority/north-east-lincolnshire,North East Lincolnshire Council,BS0010,,"The Cedars offices, Eastern Inway, Grimsby",,ETRS89,53.553458,-0.110803,0.43,not owned by a public authority,yes,permissioned,outline planning permission,28/09/2016,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJI410LJJSK00,,32,"Removal of existing buildings, erection of 1.5 and 2.5 storey buildings to provide maximum of 32 over 55s affordable accommodation",,,32,34,,,,18/10/2017,18/10/2017
