OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AST033,,"Land r/0 1-87 Weston Road, Aston Clinton",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.735945,51.798552,5.5,not owned by a public authority,yes,not permissioned,,,,,165,,,,165,165,,,,19/12/2017,19/12/2017,487263,211855
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL016,,Circus Fields,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.787563,51.820036,1.77,not owned by a public authority,yes,permissioned,full planning permission,10/09/2003,,,74,,,,74,74,,,,19/12/2017,19/12/2017,483664,214184
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL025,,"Elmhurst community centre, 36 Fairfax Crescent",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.806423,51.824499,0.15,not owned by a public authority,yes,permissioned,full planning permission,15/06/2016,,,6,,,,6,6,,,,19/12/2017,19/12/2017,482356,214659
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL028,,Griffin Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.827384,51.821383,4.43,not owned by a public authority,yes,permissioned,full planning permission,20/08/2013,,,98,,,,98,98,,,,19/12/2017,19/12/2017,480917,214289
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL029,,Civic Quarter,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.810238,51.852627,0.78,not owned by a public authority,yes,permissioned,full planning permission,06/02/2015,,,47,,,,47,47,,,,19/12/2017,19/12/2017,482042,217783
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL032,,Ardenham Lane,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.81638,51.819924,0.04,not owned by a public authority,yes,not permissioned,,,,,9,,,,9,9,,,,19/12/2017,19/12/2017,481678,214139
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL052,,"PO Sorting Office, Cambridge Street",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.809452,51.81856,0.92,not owned by a public authority,yes,not permissioned,,,,,23,,,,23,23,,,,19/12/2017,19/12/2017,482158,213995
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL059,,Land At Junction Of Buckingham Street And New Street,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.815393,51.819959,0.49,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,14,,,,19/12/2017,19/12/2017,481746,214144
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL068,,"Land North of Manor Hospital, Bierton Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.803464,51.821142,1.11,not owned by a public authority,yes,permissioned,full planning permission,01/04/2016,,,50,,,,44,44,,,,19/12/2017,19/12/2017,482566,214289
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL076,,"Land east of Gatehouse Road, Gatehouse Quarter",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.824955,51.821611,4.07,not owned by a public authority,yes,not permissioned,,,,,25,,,,25,25,,,,19/12/2017,19/12/2017,481084,214317
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL082,,"Gatehouse Quarter, Gatehouse Road",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.822393,51.820821,4.34,not owned by a public authority,yes,permissioned,full planning permission,22/12/2006,,,370,,,,370,370,,,,19/12/2017,19/12/2017,481262,214232
http://opendatacommunities.org/id/district-council/aylesbury-vale,Aylesbury Vale,AYL108,,"Kingsbury House, 2 George Street, Aylesbury",https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,ETRS89,-0.813969,51.817283,0.01,not owned by a public authority,yes,permissioned,full planning permission,04/04/2013,,,6,,,,6,6,,,,19/12/2017,19/12/2017,481849,213848
