OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS11,,Barn at Little Longs Chatham Green Little Waltham Chelmsford Essex,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,571489,215179,0.03,,yes,not permissioned,,,,,1,,,,1,1,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS197,,Former Industrial Site Rignals Lane Galleywood Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,571381,203001,1.64,not owned by a public authority,yes,not permissioned,,,,,20,,,,20,44,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS262,,Land North West of Lockside Marina Hill Road South Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,571575,206596,0.71,not owned by a public authority,yes,not permissioned,,,,,100,,,,100,130,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS263,,Baddow Road Car Park Baddow Road Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,571293,206313,0.03,owned by a public authority,yes,not permissioned,,,,,70,,,,70,100,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS266,,Waterhouse Lane Depot and Nursery Waterhouse Lane Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,569577,206572,0.84,owned by a public authority,yes,not permissioned,,,,,10,,,,10,23,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS267,,Essex Police HQ and Sports Ground New Court Road Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,572318,207362,4.63,owned by a public authority,yes,not permissioned,,,,,200,,,,200,451,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS274,,Bell Works Well Lane Danbury Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,577412,205078,0.58,not owned by a public authority,yes,not permissioned,,,,,10,,,,10,23,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS276,,Former St Peters College Fox Crescent Chelmsford,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,569454,208018,11.19,owned by a public authority,yes,not permissioned,,,,,100,,,,100,185,,,,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,CFS279,,Writtle Community Association 12-14 Redwood Drive Writtle,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,OSGB36,566930,206124,0.65,owned by a public authority,yes,not permissioned,,,,,13,,,,13,15,,,Planning application 17/00780/FUL submitted for 13 units due for determination Jan 2018.,2017-10-24,2017-10-24
http://opendatacommunities.org/id/district-council/chelmsford,Chelmsford City Council,13/00690/ETL,,Land north west of Essex County Cricket Ground New Writtle Street Chelmsford,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,OSGB36,570616,206486,1.12,not owned by a public authority,yes,permissioned,full planning permission,2013-09-17,,,357,"Extension of time limit to permission reference 08/01235/EIA (Demolition of existing buildings and redevelopment of the Essex County Cricket Club County Ground and adjoining New Writtle Street car park to provide: New cricket pavilion, cricket centre and stands (capacity 8000) with ancillary catering, retail and office functions, new media centre, floodlighting and groundsman's facilities; Multi storey car park (307 spaces); 1,754sqm Retail (A1) and catering (A3/A4) uses; 413 residential units in three blocks comprising, 302 no. flats on riverside to the west of the site with under-croft parking, 109 no. flats on Parkway and 2 no. town houses at the site entrance from New Writtle Street ","New cricket pavilion, cricket centre and stands (capacity 8000) with ancillary catering, retail and office functions, new media centre, floodlighting and groundsman's facilities; Multi storey car park (307 spaces); 1,754sqm Retail (A1) and catering (A3/A4) uses; ",,,,,,,2017-10-30,
