OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,10a,,"""Dunsfold Aerodrome, Stovolds Hill, Cranleigh""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,502592.56,136241.21,214,not owned by a public authority,yes,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20152395?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20080788?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20022046?OpenDocument,,2600,,,,2600,2600,,,"Site forms part of a larger promoted  site which includes elements of greenfield, only the brownfield element has been included. ",2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,130,,"""Cranleigh C of E Primary School (Infant), Church Lane, Cranleigh""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,506068.23,139232.46,0.61,owned by a public authority,,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20171389?OpenDocument,,20,,,,20,20,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,132a,,"""Coal Yard, 6 The Street, Wrecclesham, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,482626.59,145146.78,0.27,not owned by a public authority,yes,permissioned,full planning permission,2016-10-27,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20161264?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20151979?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20142448?OpenDocument,,9,Erection of 9 dwellings and associated works following demolition of unlisted buildings in a Conservation Area,,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,133a,,"""Colemans Yard, Wrecclesham Road, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,482779.27,145184.72,0.24,not owned by a public authority,yes,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20072192?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20062551?OpenDocument,,10,,,,10,10,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,144,,"""Central Hindhead, London Road, Hindhead""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,488908.52,135783.26,1.64,not owned by a public authority,yes,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20080761?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20021162?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19931703?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19880851?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19870358?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19840131?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19780825?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19770596?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19771218?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19751797?OpenDocument,,30,,,,30,30,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,16a,,"""Former Weyburn Bartel Works, Shackleford Road, Elstead""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,492020.29,143731.53,3.60,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-20,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20161261?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20150789?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19981239?OpenDocument,,69,"Demolition of existing industrial/commercial units and the construction of 69 residential units, of which 21 are to be provided as affordable homes.",Erection of a 60 bedroom Class C2 (residential institutions) use care home.  Provision of a Suitable Alternative Natural Greenspace (SANG).,,,,,,"Site forms part of a larger promoted  site which includes elements of greenfield, only the brownfield element has been included. The built development, made up of the housing and care home, would be wholly within the 3.6 hectares of previously developed land.",2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,245,,"""Site of 5 to 21 Wey Hill, Haslemere""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,489481.53,132841.14,0.31,not owned by a public authority,yes,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20170920?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20160879?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20101568?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20082217?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19810331?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19760997?OpenDocument,,39,,,,39,39,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,264,,"""Victoria House, South Street Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484192.46,146785.80,0.06,not owned by a public authority,yes,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20101035?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19862097?OpenDocument,,8,,,,8,8,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,368,,"""Wheeler Street Nurseries, Wheeler Lane, Witley, Godalming""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,494514.79,140663.33,0.71,not owned by a public authority,,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20161067?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19811577?OpenDocument,,10,,,,10,15,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,383a,,"""Cranleigh C of E Primary School (Junior), Parsonage Road, Cranleigh""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,505850.12,139214.85,1.98,mixed ownership,,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20171389?OpenDocument,,70,,,,70,70,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,472a,,"""Alfold Garden Centre, Horsham Road, Alfold, Cranleigh""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,504330.39,135016.96,1.19,not owned by a public authority,yes,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20170198?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20160114?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19890409?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19781699?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19761040?OpenDocument,,10,,,,10,10,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,478a,,"""Part of SSE Farnham Depot, Lower Weybourne Lane, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,485904.46,148795.46,1.79,not owned by a public authority,,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19950970?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20152207?OpenDocument,,52,,,,52,52,,,"Site forms part of a larger promoted  site which includes elements of greenfield, only the brownfield element has been included. The 'MinNetDwellings' has been calculated on a percentage basis using the figures specified in the Waverley LAA.",2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,495,,"""Former Haslemere Police Station, 46 West Street, Haslemere""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,490384.44,133024.37,0.21,mixed ownership,yes,permissioned,full planning permission,2015-10-01,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20151470?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20142346?OpenDocument,,8,Change of Use of former police station together with the erection of an extension to provide 8 dwellings following relevant demolition of an unlisted garage and cell block.,188sq.m. of B1 office space.,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,556a,,"""Guildford Road Service Station, 13 Guildford Road, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484839.37,147353.25,0.19,not owned by a public authority,yes,pending decision,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20171485?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20020527?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19850135?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19750126?OpenDocument,,5,,,,5,10,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,619a,,"""Land At Farnham College, Morley Road, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484299.81,146099.59,0.47,owned by a public authority,yes,permissioned,full planning permission,2016-11-17,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20142119?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20140341?OpenDocument,,14,"Erection of 14 dwellings together with associated garaging, car parking and landscaping following removal of tennis courts and demolition of storage building; formation of new vehicular access off Firgrove Hill",,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,648a,,"""Woodside Park, Catteshall Lane, Godalming""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,497926.00,143896.00,1.67,not owned by a public authority,yes,permissioned,outline planning permission,2017-05-26,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20161418?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20160101?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20151120?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20130388?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20120957?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20101068?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20072284?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19990051?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19980942?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19980408?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19901453?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19891418?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19820963?OpenDocument,,100,"Outline application for the erection of up to 100 dwellings, including 17 affordable, together with associated amenity/play space; following demolition of existing buildings except the ambulance station together with associated works.",Erection of a 574sq.m. building to provide a community use (Class D1) at ground floor level with office use (Class B1) above and the retention of a 372 sq.m. building of sui generis use (Ambulance station).,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,670,,"""The Woolmead, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,484096.04,147107.19,0.66,not owned by a public authority,yes,permissioned,outline planning permission,2016-10-05,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20152387?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/CR20150017?OpenDocument,,96,Demolition of the existing building and the erection of up to 96 dwellings with associated car parking.,Erection of up to 4200sq.m. of commercial floor area for purpose of Class A1(retail) or Class A2 (professional and financial services) or Class A3 (food and drink) or Class A4 (drinking establishments).,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,676,,"""Land south of Franklin Court, Brook Road, Wormley, Witley""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,494699.05,138248.19,0.34,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,6,,,"Site has been promoted for 6-10 dwellings, this would result in a net increase of 4-6 dwellings. ",2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,687,,"""Alfold Farm, Loxwood Road, Alfold""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,504052.45,13418.59,0.52,not owned by a public authority,yes,permissioned,full planning permission,2016-12-30,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20160683?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20152246?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20141132?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19870385?OpenDocument,,7,Change of use of existing equestrian building containing 1 dwelling to provide 7 additional dwellings and alterations to elevations.,,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,697,,"""Land at Wey Hill, Haslemere""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,489457.80,132940.57,0.98,owned by a public authority,yes,not permissioned,,,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19930213?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19921156?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19792123?OpenDocument,,31,,,,31,31,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,699a,,"""Ockford Ridge, Godalming""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,495911.91,143085.61,3.11,owned by a public authority,yes,permissioned,reserved matters approval,2017-11-30,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20170120?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20171609?OpenDocument|http://planning.waverley.gov.uk/live/wbc/PWL.nsf/44A0529C4301D88D80257B6C00540907?SearchView&Query=ockford%20ridge%20&count=20&start=21,,26,Erection of 37 dwellings at Site A following the demolition of 22 existing houses. Erection 17 dwellings at site B following the demolition of 14 existing houses. Erection of 32 dwellings at Site C following the demolition of 21 existing houses. In total this represents a net gain of 26 dwellings. ,,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,770,,"""19 Knowle Farm, Old Park Lane, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483121.19,147974.21,0.91,not owned by a public authority,yes,permissioned,full planning permission,2017-09-26,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20170137?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20151694?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20131885?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20131180?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20110147?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA19850004?OpenDocument,,9,"Erection of 9 dwellings with associated access, parking, amenity space and landscaping following demolition of existing buildings, structures, and hardstanding",,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,862,,"""Land at Harts Yard, 114-115 West Street, Farnham""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,483861.65,146876.59,0.19,not owned by a public authority,yes,permissioned,full planning permission,2015-06-08,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20150545?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20150546?OpenDocument,,13,Erection of buildings to provide 13 residential units and associated parking following partial demolition of existing buildings ,Erection of buildings to provide a mixed use of newspaper offices and associated parking following partial demolition of existing buildings ,,,,,,,2017-12-15,2017-12-15
http://opendatacommunities.org/id/district-council/waverley,Waverley Borough Council,878a,,"""White Lion Public House, Portsmouth Road, Milford""",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,OSGB36,194319.61,142099.81,0.23,not owned by a public authority,yes,permissioned,full planning permission,2017-03-10,http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20172151?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20170300?OpenDocument|http://planning.waverley.gov.uk/live/wbc/pwl.nsf/(RefNoLU)/WA20162329?OpenDocument,,5,"Erection of 5 dwellings; and change of use of first floor of existing building from Public House (Use Class A4) to independent residential unit (Class C3), together with alterations, landscaping and associated works following demolition of an extension and detached outbuildings.",Change of use of ground floor of existing building from Public House (Use Class A4) to flexible office use (Use Class B1a) ,,,,,,Grade II listed building. ,2017-12-15,2017-12-15
