OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,Development Description,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,BNG_Easting,BNG_Northing
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,14/00426/FUL,,"""Site of Former Whaley Thorns Social Club, Portland Road, Nether Langwith""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/14-00426-FUL.pdf,ETRS89,-1.20393,53.23114,0.15,not owned by a public authority,yes,permissioned,full planning permission,2014-11-06,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBQV69DDIEN00,,7,"The application is for the erection of seven, two storey, detached dwelling. Three of the proposed dwellings front Portland Road to the east of the site and four dwellings front onto French Terrace to the west of the site. ",,,,,,,,2017-10-31,2017-10-31,453237,370749
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,14/00581/OUT,,"""4 High Street, Whitwell, Worksop, S80 4QU""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/14-00581-OUT.pdf,ETRS89,-1.20695,53.28492,0.1,not owned by a public authority,yes,permissioned,outline planning permission,2015-04-30,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=NGD10WDD06X00&activeTab=summary,,6,Application for residential development including conversion of public house with all matters reserved.,,,,,,,,2017-10-31,2017-10-31,452969,376730
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,15/00218/FUL,,"""The Sportsman, New Bolsover, Bolsover, Chesterfield, S44 6QD""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/15-00218-FUL.pdf,ETRS89,-1.30583,53.22861,0.05,not owned by a public authority,yes,permissioned,full planning permission,2015-06-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=NNXLE4DD06X00&activeTab=summary,,6,"The application is for the conversion of the building to 5, one bedroom flats and 1, two bedroom flat. The proposal includes internal alterations, external repairs and installation of new windows. ",,,,,,,,2017-10-31,2017-10-31,446438,370397
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00010/OUT,,"""Land to the West of Sun Inn Public House, Town Street, Pinxton""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00010-OUT.pdf,ETRS89,-1.31685,53.09585,0.18,not owned by a public authority,yes,permissioned,outline planning permission,2016-04-15,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O0TVGPDDMH800&activeTab=summary,,6,"Outline application for residential development with all matters reserved for future approval. The schematic layout shows 6 houses, two facing Town Street the remainder located within the site accessed off a new vehicular access. ",,,,,,,,2017-10-31,2017-10-31,445843,355621
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00288/FUL,,"""Garage block at Derwent Drive, Tibshelf""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00288-FUL.pdf,ETRS89,-1.35013,53.1421,0.63,owned by a public authority,yes,permissioned,full planning permission,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O9HDG0DDG5W00&activeTab=summary,,12,"12 two-bedroom two storey dwellings with associated access road, parking and external works. ",,,,,,,,2017-10-31,2017-10-31,443573,360739
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00294/FUL,,"""Former Creswell Miners Welfare Institute, 321 Model Village, Creswell""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00294-FUL.pdf,ETRS89,-1.2195,53.25891,0.26,not owned by a public authority,yes,permissioned,full planning permission,2016-09-29,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=O9L2PTDDG6H00&activeTab=summary,,11,Proposed residential conversion to provide eleven apartments including external and internal alterations with associated landscaping and car parking and the provision of parking for the adjacent sport's pitch.,,,,,,,,2017-10-31,2017-10-31,452164,373827
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00473/FUL,,"""16 High Street, Clowne, Chesterfield, S43 4JU""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00473-FUL.pdf,ETRS89,-1.26585,53.27402,0.61,not owned by a public authority,yes,permissioned,full planning permission,2017-02-08,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OE5LGUDD09P00&activeTab=summary,,26,"The demolition of existing buildings and the erection of a 10no. 1 bedroomed Complex Care & Autism Unit (Class C2) and the erection of a supported living block comprising 16no. 1 bedroomed apartments (Class C3) with associated access, car parking and landscaping",,,,,,,,2017-10-31,2017-10-31,449055,375475
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00504/FUL,,"""Shirebrook Miners Welfare Institute, Central Drive, Shirebrook, Mansfield, NG20 8BA""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00504-FUL.pdf ,ETRS89,-1.21846,53.20153,0.2,not owned by a public authority,yes,permissioned,full planning permission,2017-01-23,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OEXZ81DDIY400&activeTab=summary,,7,First floor extension to side/rear to create 7 apartments at first and second floor and refurbishment of miners welfare club ,Refurbishment of miners welfare club ,,,,,,,2017-10-31,2017-10-31,452303,367445
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,16/00510/FUL,,"""Jacques Brickyard, Water Lane, South Normanton, Alfreton, DE55 2EE""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/16-00510-FUL.pdf,ETRS89,-1.33239,53.10664,0.93,not owned by a public authority,yes,pending decision,full planning permission,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OF1IZCDDJ1V00&activeTab=summary,,32,"Erection of residential development comprising 32 two-bedroom dwellings (a mix of single storey and two storey) and associated access, car parking and landscaping",,,,,,,,2017-10-31,2017-10-31,444791,356811
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00082/OUT,,"""The White Swan, Market Place, Bolsover, Chesterfield, S44 6PH""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00082-OUT.pdf,ETRS89,-1.29166,53.23012,0.2,not owned by a public authority,yes,permissioned,outline planning permission,2017-04-04,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OLS1IKDDMPW00&activeTab=summary,,14,Residential development on land to the rear of the White Swan and the conversion of the pub to create retail use at ground floor with 3 or 4 apartments to the first floor. ,Conversion of the pub to create retail use at ground floor.,,,,,,,2017-10-31,2017-10-31,447382,370574
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00104/FUL,,"""Land along Railway, North East of Southfield Lane, Whitwell""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00104-FUL.pdf,ETRS89,-1.20208,53.2793,0.83,not owned by a public authority,,pending decision,full planning permission,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OME71SDD04100&activeTab=summary,,19,Erection of 19 dwellings. ,,,,,,,,2017-10-31,2017-10-31,453301,376108
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00114/FUL,,"""Site of Bolsover District Council Depot, Meadow Lane, South Normanton""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00114-FUL.pdf,ETRS89,-1.34248,53.11025,0.28,owned by a public authority,yes,permissioned,full planning permission,2017-11-22,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OMI9YDDDFGV00&activeTab=summary,,10,Residential development for 10 two storey dwellings with associated parking spaces and landscaping,,,,,,,,2017-10-31,2017-10-31,444112,357207
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00191/FUL,,"""Land East of 63 to 69 Thickley Close, Shirebrook""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00191-FUL.pdf,ETRS89,-1.20903,53.20505,0.14,not owned by a public authority,yes,permissioned,full planning permission,2017-06-26,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OOCNORDD06X00&activeTab=summary,,15,Residential development for erection of 15 no apartments (Revised scheme) (former Empire Bingo),,,,,,,,2017-10-31,2017-10-31,452929,367843
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,17/00192/REM,,"""Land East of 63 To 69 Thickley Close, Shirebrook""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/17-00192-REM.pdf,ETRS89,-1.2091,53.20535,0.07,not owned by a public authority,yes,permissioned,reserved matters approval,2017-06-06,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?keyVal=OOCPBBDD06X00&activeTab=summary,,9,Approval of all reserved matters in relation to the residential development (Revised scheme) (former Old Bakery),,,,,,,,2017-10-31,2017-10-31,452924,367876
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,Bolsover-01,,"""Former Courtaulds PLC, Oxcroft Lane, Bolsover""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Bolsover-01.pdf,ETRS89,-1.28893,53.23772,1.4,not owned by a public authority,,pending decision,full planning permission,,http://planning.bolsover.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=ORYCA4DDIJ700,,35,This former factory site could accommodate 35 dwelling.,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Bolsover_1710.pdf,,2017-10-31,2017-10-31,447556,371422
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,Bolsover-35,,"""Fourways Garage, Rotherham Road, Bolsover""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Bolsover-35.pdf ,ETRS89,-1.27021,53.22368,0.42,not owned by a public authority,,not permissioned,,,http://planning.bolsover.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,12,The site is curently in use as a car sales depot and does not have planning permission.  The site could accommodate 12 dwellings. ,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Bolsover_1710.pdf,,2017-10-31,2017-10-31,448821,369872
http://opendatacommunities.org/id/district-council/bolsover,Bolsover District Council,Clowne-17,,"""Land East of Station Road, Clowne""",www.bolsover.gov.uk/images/LIVE/Brownfield_Land_Register/Clowne-17.pdf,ETRS89,-1.2589,53.27633,1.75,not owned by a public authority,,not permissioned,,,http://planning.bolsover.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JXKM4RDD06X00,,52,The site is currently in use as a waste management depot and does not have planning permission.  The site could accommodate 52 dwellings.    ,,,,,,http://www.bolsover.gov.uk/images/LIVE/P/Plan_EB_HLAA_Summaries_Clowne_1710.pdf,,2017-10-31,2017-10-31,449516,375737
