OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Site plan (url),CoordinateReferenceSystem,GeoX,GeoY,"
Hectares",OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,NonHousingDevelopment,HazardousSubstances
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Land Rear Church And Dwight, 
Caesars Way, Folkestone, Kent",,OSGB36,620287,137503,,"Owned by a 
public authority",,"Permitted
Planning ref Y16/0403/SH",,,,,77,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,," Land Adjoining Fairlight Terrace, 
Lydd Road, New Romney, Kent, TN28 8HE",,OSGB36,605876,124771,0.425 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/1428/SH",,,,,21,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"11 Littlestone Road, 
Littlestone, 
Kent, TN28 8LN ",,OSGB36,,,,"Not owned by a 
public authority",,"Permitted
Planning ref Y11/0121/SH",,,,,11,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Two Bells Inn , 58 Canterbury Road, 
Folkestone, Kent, CT19 5NJ",,OSGB36,623125,136868,0.05 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0220/SH",,,,,12,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Charlier House, 8 - 12 Stade Street, 
Hythe, Kent, CT21 6BE",,OSGB36,615998,134549,0.13 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0987/SH",,,,,6,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"12-14 Princess Street, 
Folkestone, Kent, CT19 6EB",,OSGB36,,,0.03 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y05/1391/SH",,,,,8,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"The Leas Club, The Leas, 
Folkestone, Kent, CT19 2DP",,OSGB36,622622,135710,0.25 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y08/1212/SH",,,,,68,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"72 Cheriton High Street,
 Folkestone,
 Kent,
 CT19 4HF",,OSGB36,,,0.158 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/1000/SH",,,,,12,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"52 - 54 Guildhall Street, 
Folkestone, Kent, CT20 1EE",,OSGB36,,,0.035 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y13/0166/SH",,,,,14,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Folkestone Constitutional Club, 
43-45 Guildhall Street, Folkestone, Kent CT20 1EF",,OSGB36,622715,136132,0.034 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0411/SH ",,,,,8,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"116 Cheriton Road, Folkestone,
Kent, CT19 5HQ",,OSGB36,621847,136377,0.08 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0834/SH",,,,,9,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Squirrels, Cannongate Road, Hythe, 
Kent, CT21 5PT",,OSGB36,616830,135137,0.125 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y10/0717/SH",,,,,8,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Shakespeare Centre, 145-147 Sandgate Road, 
Folkestone, Kent, CT20 2DA",,OSGB36,,,0.05 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y14/0703/SH",,,,,6,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"The Paddocks, 13 Prospect Road, Hythe, Kent, CT21 5NN
(Land Adjoining The Paddocks Car Park, Prospect Road, Hythe, Kent)",,OSGB36,616240,134686,0.08 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref 
Y15/0467/SH",,,,,10,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"124 Sandgate High Street, Sandgate, 
Folkestone, Kent, CT20 3BZ",,OSGB36,,,0.016 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref
Y05/0237/SH",,,,,5,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"58 - 60 & 62 Shorncliffe Road, Folkestone, 
Kent, CT20 2NQ",,OSGB36,620957,135937,0.24 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref 
Y14/1149/SH ",,,,,42,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"12 Jointon Road, Folkestone, Kent, 
CT20 2RG",,OSGB36,621825,135910,0.26 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y15/0178/SH",,,,,8,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"5 Trinity Crescent,
 Folkestone,
 Kent,
 CT20 2ES
",,OSGB36,621952,135513,0.147 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/0650/SH",,,,,5,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA1,,"East Station Goods Yard, Southern Way, 
Folkestone, Kent",,OSGB36,623411,136694,1.25 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0928/SH",,,,,41,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Harbour Community Church, Harvey Street, 
Folkestone, Kent, CT20 1LH",,OSGB36,,,0.043 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y15/0533/SH",,,,,5,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Coach Depot
, King Street
, Brenzett, 
Kent, TN29 9UD",,OSGB36,,,0.2 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y14/0578/SH",,,,,11,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,UA2,,"Former Rotunda Amusement Park, Marine Parade, Folkestone, Kent ",,OSGB36,623209,135663,23 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y12/0897/SH",,,,,1000,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Shepway Resource Centre, Military Road, 
Folkestone, Kent, CT20 3SP",,OSGB36,620051,135846,0.69 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y16/0463/SH",,,,,41,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Stoneleigh House, Tram Road, 
Folkestone, Kent, CT20 1QS",,OSGB36,,,0.1 hectares,"Not owned by a 
public authority",,"Permitted
Planning ref Y13/0858/SH",,,,,14,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,ND1,,"Former Officers Mess, Aerodrome Road, Hawkinge",,OSGB36,620510,139543,3.75 hectares,"Not owned by a 
public authority",,"Resolution to grant
Y15/0030/SH",,,,,70,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"11 Tontine Street, Folkestone, Kent, CT20 1JT",,OSGB36,623146,136065,0.0291 hectares,"Not owned by a 
public authority",,Y15/0072/SH,,,,,8,,,,,,,N/A,N/A,N/A,N/A,N/A
http://opendatacommunities.org/id/district-council/shepway,Shepway District Council,,,"Land Adjoining Sir John Moore 
Barracks, Military Road, Sandgate, Kent",,OSGB36,620327,135489,1.44 hectares,"Not owned by a 
public authority",,Y11/0137/SH,,,,,6,,,,,,,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
