OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0001,To be completed,"Land at Beacon Farm, Eamont Bridge ",http://eforms.eden.gov.uk/fastweb_upload/2009%20Planning%20Applications/09-0098/0098-Site-Plan.pdf,,352068.00,528849.00,1.91,not owned by a public authority,Y,permission,outline planning permission,2009-07-24,To be completed,,24,Erection of 24 affordable dwellings,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/EAM/0002,To be completed,"Park Holme, Eamont Bridge",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0151/0151-Site-Location-Plan.pdf,,352356.00,528540.00,0.35,not owned by a public authority,Y,permission,full planning permission,2014-07-15,To be completed,,24,Proposed extra care apartments (over 55),,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/LSA/0003,To be completed,"Former Thompsons Board Mill, Little Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0354/0354-Location%20Plan%20-%20fmr%20Thompsons%20Board%20Paper%20Mill%20Little%20Salkeld.pdf,,356639.00,535406.00,1.83,not owned by a public authority,Y,permission,outline planning permission,2004-07-23,To be completed,,18,Outline application for redevelopment of former factory site for residential purposes with all matters reserved.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0004,To be completed,"Former site of BBC Club, West Lane, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0836/0836-Location-Plan.pdf,,351427.00,529940.00,0.09,owned by a public authority,Y,permission,full planning permission,2014-12-11,To be completed,,28,Erection of extra care facility comprising 28 flats.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0005,To be completed,"14a Carleton Road, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0922/0922-Site-Plan.pdf,,352094.00,529835.00,0.05,not owned by a public authority,Y,permission,full planning permission,2015-03-05,To be completed,,9,Conversion of 3 storey building into 9 flats including change of use.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0006,To be completed,"White Horse, Great Dockray, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0682/14-32-PL-100A%20Location%20Plan%201-1250%20A4.pdf,,351549.00,529982.00,0.02,not owned by a public authority,Y,permission,full planning permission,2016-01-28,To be completed,,5,"Conversion of former public house to two retail units, three one bed flats and two 2 bed flats. ",,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0007,To be completed,"4 Corney Square, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0870/0870-Location-Plan.pdf,,351462.00,530408.00,0.01,not owned by a public authority,Y,permission,full planning permission,2016-06-22,To be completed,,5,Proposed demolition and replacement of 5 flats.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0008,To be completed,"Brent Road, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-1168/1168-SiteLocationPlan.pdf,,352318.00,530610.00,0.2,owned by a public authority,Y,permission,full planning permission,2016-08-04,To be completed,,7,Erection of 5 two bedroom bungalows and 2 two storey houses.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GSA/0009,To be completed,"Townhead Farm, Great Salkeld",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1079/1079-Site-Plan.pdf,,355104.00,536902.00,0.4,owned by a public authority,Y,permission,outline planning permission,2016-10-12,To be completed,,9,Outline for residential development.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/BOL/0010,To be completed,"Croft House, South End, Bolton",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0562/0562-Location_Plan.pdf,,363815.00,523179.00,0.16,not owned by a public authority,Y,permission,full planning permission,2016-06-09,To be completed,,5,"Change of use to 5 dwellings including minor external alterations, and parking provision.",,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0011,To be completed,"William Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0933/16-0933-Location%20Plan.pdf,,351522.00,530385.00,0.12,not owned by a public authority,Y,permission,full planning permission,2017-02-17,To be completed,,7,Demolition of existing buildings and erection of 4 dwellings and 3 apartments,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0012,To be completed,"Former car park, Brentfield Way, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-0950/16-0950-Location%20Plan.pdf,,351842.00,530343.00,0.14,not owned by a public authority,Y,permission,full planning permission,2017-02-22,To be completed,,7,Erection of 7 dwellings,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0013,To be completed,"Garage Roper Street, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2016%20Planning%20Applications/16-1071/16-1071-LocationPlan.pdf,,351873.00,529895.00,0.1,not owned by a public authority,Y,permission,full planning permission,2017-03-16,To be completed,,6,Demolition of car showroom and construction of 6 dwellings,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GAS/0014,To be completed,"Barn End, Great Asby",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0083/0083-Site-Plan.pdf,,367896.00,512981.00,0.01,not owned by a public authority,Y,permission,full planning permission,2015-03-30,To be completed,,1,Change of use of domestic storage building to dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0015,To be completed,"33/34 Sandgate, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0547/0547-Location-Plan.pdf,,351681.00,530250.00,0.01,not owned by a public authority,Y,permission,other,2014-08-13,To be completed,,2,Prior notification for the change of use of office to form 2 no. residential dwellings.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0016,To be completed,"Cerebus Printing Ltd, Fairview, Nateby Road, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0687/0687-Location-Plan.pdf,,377553.00,508502.00,0.00,not owned by a public authority,Y,permission,full planning permission,2014-09-29,To be completed,,1,Change of use from office space into a residential dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0017,To be completed,"Methodist Church, Victoria Sq, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2011%20Planning%20Applications/11-0971/0971-site-location-plan1.pdf,,377512.00,508461.00,0.12,not owned by a public authority,Y,permission,full planning permission,2014-11-05,To be completed,,2,Change of use to create two dwellings.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/KST/0018,To be completed,"30 Market Street, Kirkby Stephen",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1055/1055-Site-Location-Plan.pdf,,377478.00,508675.00,0.04,not owned by a public authority,Y,permission,full planning permission,2015-02-16,To be completed,,3,Change of use from one retail unit to two retail units with two associated one bedroom apartments above. Change of use of former cottage from workshop to two bedroomed dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GAS/0019,To be completed,"Former Methodist Chapel, Catherine Holme, Great Asby",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0769/0769-location-plan.pdf,,368606.00,515140.00,0.00,not owned by a public authority,Y,permission,full planning permission,2015-03-19,To be completed,,1,Conversion of methodist chapel to dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ALS/0020,To be completed,"School Hall, The Butts, Alston",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0011/0011-Site-Plan.pdf,,371812.00,546614.00,0.03,not owned by a public authority,Y,permission,full planning permission,2015-03-05,To be completed,,1,Conversion of former Church School to 3 bedrrom dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ORT/0021,To be completed,"Orton Liberal Club, Front Street, Orton",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-0399/0399-Existing-Plans-and-Elevations.pdf,,362244.00,208096.00,0.03,not owned by a public authority,Y,permission,full planning permission,2014-07-04,To be completed,,1,Conversion to one dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/ORT/0022,To be completed,"Combe Leigh, Orton",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1085/1085-Location-Plan.pdf,,362442.00,508339.00,0.01,not owned by a public authority,Y,permission,full planning permission,2015-02-16,To be completed,,2,Proposed sub division of dwelling to provide two dwellings with shared parking.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/SHA/0023,To be completed,"1st and 2nd Floors, Central Buildings, Main Street, Shap",http://eforms.eden.gov.uk/fastweb_upload/2014%20Planning%20Applications/14-1083/1083-Plans.pdf,,356291.00,515123.00,0.01,not owned by a public authority,Y,permission,other,2015-02-11,14/1084,,1,Change of use from office to dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/AIN/0024,To be completed,"Whinney House, Ainstable",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0245/0245-Site-Location-Plan.pdf,,352931.00,546333.00,0.02,not owned by a public authority,Y,permission,full planning permission,2015-05-07,To be completed,,1,Proposed change of use of residential education centre to dwelling.,,,,,,,housing land,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0025,To be completed,"Land at Elm Bank, Elm Terrace, Penrith",http://eforms.eden.gov.uk/fastweb_upload/2015%20Planning%20Applications/15-0402/0402-Site-Plan.pdf,,351369.00,530158.00,0.07,not owned by a public authority,Y,permission,full planning permission,2015-07-06,To be completed,,3,Proposed residential development of 3 dwellings.,,,,,,,housing land,,
