Organisation URL,Organisation Label,"Site Reference
",Previously Part Of,Site Name Address,Site Plan URL,Coordinate Reference System,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PIP,Min Net Dwellings,Development Description,Non Housing Development,Part 2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-01,,"“Thomas St phases 3 & 4, Thomas St, Woolwich New Rd & Wellington St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,"543575, 543397","178738, 178601",1.82,Unknown ownership,Yes,Permissioned,Outline planning permission,27/07/2007,,,701,"“06/1751/O. Comprehensive mixed use development comprising up to 960 residential dwellings, civic offices, retail, food/drink use, office/community use, including police neighbourhood office, associated access, landscaping, and highway works.""","“Retail, food/drink use, office/community use, including Police Neighbourhood Office.""",,,,,,"""Of the 960 total dwellings permitted, 259 dwellings completed 14/03/2014 in Phase 1 (10/2440/R).""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-02,,"“64 & rear of, Plumstead High St Plumstead“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,545095,178671,0.09,Unknown ownership,Yes,Permissioned,Full planning permission,29/10/2007,,,9,“07/2002/F. Demolition of existing building (Retention of Facade) and erection of a part 2 part 4 storey building providing two commercial units and 7 x 2-brm flats and 2 x 3-brm dwellings with associated landscaping.”,“Two commercial units“,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-03,,"“Former Greenwich District Hospital site, Vanbrugh Hill Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539598,178181,2.2,Unknown ownership,Yes,Permissioned,Full planning permission,31/03/2009,,,645,"“08/0688/F. Redevelopment for mixed use purposes comprising 645 residential units, a community building (D1/D2) retail (A1/A2/A3), a flexible retail/microbrewery (A1/A2/A3/SG) and creative industry uses (B1) creation of new open spaces alteration and addition to existing highways arrangements and new pedestrain routes together with assoicated works including landscaping and the provision of parking serciving and plant areas.”","“Community building (D1/D2), retail (A1/A2/A3), a flexible retail/microbrewery (A1/A2/A3/SG) and creative industry uses (B1).“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-04,,"“The Academy (former Royal Military Academy), Academy Rd Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543066,177231,4.41,Unknown ownership,Yes,Permissioned,Full planning permission,10/07/2009,,,328,"“08/1972/F. Revisions to development under construction (Ref .07/0304 & 07/2629) namely alterations to the previously approved mix and number of dwellings to provide a total of 328 dwellings (comprising 5 x studio, 165 x 1-brm, 95 x 2-brm, 39 x 3-brm, 18 x 4-brm, 5 x-5-brm and 1 x 6-brm units).“",,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-05,,"“Kidbrooke Village Phase 2, Kidbrooke Park Rd Kidbrooke“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540685,175438,5.04,Unknown ownership,Yes,Permissioned,Reserved matters approval,24/03/2010,,,595,"“09/2269/R. Submission of Reserved Matters (Access, Appearance, Landscaping, Layout and Scale) pursuant to Condition 1 of Outline planning permission dated 24th June 2009 (Ref. 08/2782/O) for the erection of 595 residential units, including 170 extra care units, and 90.9 m² of community floorspace (Use Class D1),  associated car parking, cycle parking and servicing,  a children’s' play area, and creation of public open space to be provided as part of the approved Kidbrooke Masterplan.""","“170 extra care units, and 90.9 m² of community floorspace (Use Class D1)“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-06,,“92-94 Shooters Hill Rd Charlton“,www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,540786,177026,0.07,Unknown ownership,Yes,Permissioned,Full planning permission,02/08/2010,,,3,“10/0032/F. Demolition of existing building and construction of a new four storey block of 9 flats comprising ( 6 x 2- & 3 x 3-brm) flats.”,,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-07,,"“Former Millers PH & newsagent, 83-87 Greenwich High Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537735,177131,0.03,Unknown ownership,Yes,Permissioned,Full planning permission,11/07/2011,,,9,"“11/0848/F. Demolition of existing buildings and construction of a part 4/part 5 storey building providing retail or commercial at ground floor level (A1/2/3/4 & B1) and 5 x 1-,5 x 2- &  1 x 3-brm flats on upper floors with balconies & terraces.”",“Retail or commercial at ground floor level (A1/2/3/4 & B1) “,,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-08,,"“Alcatel-Lucent, Christchurch Way Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,539402,178712,3.6,Unknown ownership,Yes,Permissioned,Full planning permission,03/03/2012,,,770,"“10/3063/F. Redevelopment of the site comprising the provision of a new jetty in the River Thames to provide docking for cruise liners and the Thames Clipper, a Cruise Liner Terminal, a 251 room hotel with conference, restaurant ancillary facilities (Use Class C1); skills academy (Use Class D1); 770 residential units (Use Class C3); commercial (Use Class B1); a crèche (Use Class D1) a gymnasium (Use Class D2); conversion and extension of Enderby House to provide tourist, community and retail facilities (Use Classes A1, A3, A4, B1, D1 and D2); the provision of vehicular access with associated servicing facilities; car, motorcycle and bicycle parking, provision of landscaping and public realm (including improvements to the Thames Walk); improvements to the river wall and other works within the river, including dredging, the provision of tidal gardens, piling, the provision of a pontoon and brow, and associated works.""","""New jetty in the River Thames to provide docking for cruise liners and the Thames Clipper, a Cruise Liner Terminal, a 251 room hotel with conference, restaurant ancillary facilities (Use Class C1); skills academy (Use Class D1); commercial (Use Class B1); a crèche (Use Class D1) a gymnasium (Use Class D2); conversion and extension of Enderby House to provide tourist, community and retail facilities (Use Classes A1, A3, A4, B1, D1 and D2).“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-09,,"“Hilton's Wharf, 30-52 Norman Rd Greenwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,537790,177505,0.13,Unknown ownership,Yes,Permissioned,Full planning permission,27/03/2012,,,85,"“10/2354/F. Demolition of existing buildings and construction of 85 residential units, 1250 m² of commercial (B1) floorspace and 2 live/work units in a part 7-/part 8-/part 9-storey building, underground car parking and associated access, landscaping and open space.”","“1,250 m² of commercial (B1) floorspace and 2 live/work units.“",,,,,,"“Started""",22/12/2017,22/12/2017
http://opendatacommunities.org/id/london-borough-council/greenwich,Royal Borough Of Greenwich,RBG-10,,"“Mast Quay Phase 2, Woolwich Church St Woolwich“",www.royalgreenwich.gov.uk/brownfieldregister,OSGB36,543051,179240,0.76,Unknown ownership,Yes,Permissioned,Full planning permission,29/03/2012,,,218,“10/0161/F. Mixed use development comprising of 218 residential units and 738 m² commercial floor space with associated car parking and landscaping and podium deck. (phase 2). (This site is adjacent to two Listed Buildings).“,“738 m² commercial floor space“,,,,,,"“Not started.""",22/12/2017,22/12/2017
