"OrganisationURI","OrganisationLabel","SiteReference","AlternativeReferences","PreviouslyPartOf","SiteNameAddress","SiteplanURL","CoordinateReferenceSystem","GeoX","GeoY","Hectares","OwnershipStatus","Deliverable","PlanningStatus","PermissionType","PermissionDate","PlanningHistory","ProposedForPIP","MinNetDwellings","DevelopmentDescription","NonHousingDevelopment","Part2","NetDwellingsRangeFrom","NetDwellingsRangeTo","HazardousSubstances","SiteInformation","Notes","FirstAddedDate","LastUpdatedDate"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR02","18-DK-015","","""St Martin's Walk Centre (Upper Floors), Dorking RH4 1UX""","https://maps.molevalley.gov.uk/","ETRS89",-0.329811,51.232473,"0.5","owned by a public authority","yes","not permissioned","","","","","25","Conversion and/or extension of existing office space in upper floors to provide additional residential units.","Retention of A1, A3 and library uses on ground floor.","","","","","http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR06","18-LH-006","","""Claire House and James House, Bridge St, Leatherhead KT22 8BZ""","https://maps.molevalley.gov.uk/","ETRS89",-0.331253,51.293989,"0.21","owned by a public authority","yes","not permissioned","","","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2014/1918","","25","Residential development as part of a mixed use scheme as set out in the Transform Leatherhead Masterplan.","Mixed use as set out in the Transform Leatherhead Masterplan, incorporating quality riverside public realm.","","","","","http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR04","18-LH-002","","""Bull Hill Site, Leatherhead, KT22 7AH""","https://maps.molevalley.gov.uk/","ETRS89",-0.330567,51.297151,"1.85","owned by a public authority","","not permissioned","","","","","120","Residential development as part of a mixed use scheme as set out in the Transform Leatherhead Masterplan.","Mixed use as set out in the Transform Leatherhead Masterplan, potentially including A1, A3 uses at ground floor, leisure, commercial, public car parking, pedestrian links and public open space.","","","","","http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR01","18-BK-001","","""Grove Corner, Lower Shott/Guildford Road, Bookham KT23 4LP""","https://maps.molevalley.gov.uk/","ETRS89",-0.37199,51.276444,"0.33","owned by a public authority","yes","not permissioned","","","","","5","Residential development as part of a well-designed mixed use building and/or development on garage court to rear, incorporating up to around 10 residential units (gross).","Some or all of retail, social, healthcare, community/cultural or residential uses as part of a mixed use scheme (see Bookham Neighbourhood Development Plan policy BKEC2).","","","","","http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR05","18-LH-015","","""Sorting Office, Station Rd, Leatherhead KT22 7AE and Telephone Exchange, Station Rd, Leatherhead KT22 7AF""","https://maps.molevalley.gov.uk/","ETRS89",-0.332044,51.295224,"0.77","not owned by a public authority","","not permissioned","","","","","95","Residential redevelopment of existing sorting office and telephone exchange, subject to satisfactory relocation of existing uses.","","","","","","http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR03","DT5","","""Vine Court, Chalkpit Lane, Dorking RH4 1XG""","https://maps.molevalley.gov.uk/","ETRS89",-0.333982,51.234295,"0.33","not owned by a public authority","yes","permissioned","full planning permission","2017-10-05","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0177","","30","Extension and conversion of Vine Court to provide 30 No. flats with associated landscaping.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR09","","","""Devonshire House, 66 Church St, Leatherhead KT22 8DP""","https://maps.molevalley.gov.uk/","ETRS89",-0.32739,51.293447,"0.07","not owned by a public authority","yes","permissioned","full planning permission","2016-03-03","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0555","","9","Change of use from office (Use Class B1) to residential (Use Class C3). Creation of 7 No. flats via reconfiguration of existing building and the creation of 2 No. new flats in an extension to the rear wing.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR12","","","""Land to the rear of 272-294 High St, Dorking RH4 1QT""","https://maps.molevalley.gov.uk/","ETRS89",-0.325781,51.23337,"0.11","not owned by a public authority","yes","permissioned","full planning permission","2016-10-10","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0659","","8","Demolish existing building and erect 8 No. apartments including 8 No. undercroft car parking for residents and 15 No. leased and licensed car parking spaces, together with associated refuse stores, cycle parking, amenity space, and landscaping.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR13","","","""207-213 High St, Dorking RH4 1RU""","https://maps.molevalley.gov.uk/","ETRS89",-0.327615,51.232904,"0.08","not owned by a public authority","yes","permissioned","full planning permission","2017-06-07","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0677|http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0905","","14","Change of use of 1st floor from commercial to residential to create 8 No. units. Construction of an additional floor at 2nd floor level to create 6 No. residential units including alterations to the fenestration.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR14","","","""145-153 High St, Dorking RH4 1AG""","https://maps.molevalley.gov.uk/","ETRS89",-0.329025,51.232398,"0.10","not owned by a public authority","yes","permissioned","full planning permission","2016-12-12","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/1108","","9","Erection of 2nd floor and rear extension for the creation of 9 No. flats with associated cycle and refuse storage. Alteration to shop front to create access from High Street.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR15","","","""Magistrates Court, London Road, Dorking RH4 1SX""","https://maps.molevalley.gov.uk/","ETRS89",-0.32354,51.236557,"0.25","owned by a public authority","yes","permissioned","full planning permission","2017-03-24","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0340","","21","Redevelopment of existing Magistrate's Court to provide 21 No. retirement apartments, associated parking.","Ancillary cafe and a members lounge intended for community use.","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR16","","","""46-48 Lincoln Rd, Dorking RH4 1TD""","https://maps.molevalley.gov.uk/","ETRS89",-0.321137,51.239156,"0.04","not owned by a public authority","yes","permissioned","full planning permission","2015-01-19","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2014/1220","","9","Change of Use to residential, and erection of one building comprising 9 No. flats with external staircase and ground floor off-street parking, following removal of existing garage and external staircase.","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR10","","","""Fortyfoot Hall, Fortyfoot Rd, Leatherhead KT22 8RY""","https://maps.molevalley.gov.uk/","ETRS89",-0.315605,51.293765,"0.11","not owned by a public authority","yes","permissioned","full planning permission","2016-11-03","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/1061","","8","Demolition of Fortyfoot Hall and erection of 8 No. apartments above with associated landscaping, parking and access.","Erection of ground floor facility for Mid Surrey Mencap","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR17","DT5","","""Institute Of Further Education, Dene St, Dorking RH4 3EB""","https://maps.molevalley.gov.uk/","ETRS89",-0.326652,51.230391,"0.21","owned by a public authority","yes","permissioned","full planning permission","2016-12-23","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0610","","12","Conversion of existing building to create 8 No. flats and erection of 2 pairs of semi-detached dwellings (12 units in total) with associated landscaping, parking and access","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR08","","","""37 & 39 Kingston Rd, Leatherhead KT22 7SL""","https://maps.molevalley.gov.uk/","ETRS89",-0.329087,51.299528,"0.06","not owned by a public authority","yes","permissioned","full planning permission","2015-01-26","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2013/0381","","7","Demolition of existing building and erection of a 4-storey building of 7 No. two bedroom flats with associated parking and access. (Renewal of MO/2010/0111).","","","","","","","","2017-11-28","2017-11-28"
"http://opendatacommunities.org/id/district-council/molevalley","Mole Valley District Council","BLR19","","","""Queen Elizabeth Foundation, Woodlands Rd, Leatherhead KT22 0BN""","https://maps.molevalley.gov.uk/","ETRS89",-0.352017,51.314723,"9.25","not owned by a public authority","yes","permissioned","outline planning permission","2015-03-25","http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2014/0322","","64","Outline phased re-development: comprising demolition of all the buildings and erection of new buildings, hard standing, pedestrian, cycle and vehicular access, circulation and parking, landscaping, infrastructure and ground remodelling","Outline consent up to 4,570 sqm Class C2 residential institution. Detailed consent for demolition of existing buildings & erection of No.2 buildings, totalling 4,055 sqm for Class C2 residential institution.","","","","","","","2017-11-28","2017-11-28"
