OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,SHELAARef
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council, 26CH,,"""Kings Head Pub, East Grinstead Road, Chailey""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4024499.39,-1336.85,0.29,not owned by a public authority,Yes,permissioned,full planning permission,2017-05-02,,,15,,,,,,,,,2017-12-21,2017-12-21, 26CH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,10HY,,"""Covers Yard, Cooksbridge Road, Cooksbridge, BN8 4TJ, Hamsey""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4030279.22,-678.12,1.7,not owned by a public authority,Yes,permissioned,,,,,25,,,,,,,,,2017-12-21,2017-12-21,10HY
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,05HY,,"""Former Hamsey Brickworks, South Road, South Common, Chailey Parish""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4028419.06,-759.28,9.14,not owned by a public authority,,permissioned,,,,,49,"""Redevelopment of industrial estate with 8 x B1 (business) units""
enabling residential development of 37 open market houses and 12 affordable dwellings",,,,,,,,2017-12-21,2017-12-21,05HY
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,"60NH        
",,"""Harbourside Inn, Fort Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040418.69,3608.16,0.2,not owned by a public authority,Yes,permissioned,full planning permission,2015-10-01,,,5,"""Site has planning approval (LW/13/0769) for 11 residential units and A1 use. Site is under construction with first phase (6 units) complete""",,,,,,,,2017-12-21,2017-12-21,"60NH        
"
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,52NH,,"""Newhaven fire station, Fort Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4040150.13,3628.54,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2015-06-05,,,7,"""Construction of seven x three storey houses with associated garden and parking""",,,,,,,,2017-12-21,2017-12-21,52NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR01,,"""The Bridge Inn, High Street, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4156459.22,-550921.07,0.35,not owned by a public authority,Yes,permissioned,full planning permission,2015-08-06,,,6,"""Conversion of the upper floors to create six self-contained residential flats, internal alterations including new ground floor lobby area and associated works""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,46NH,,"""Former Parker Pen Site,52 Railway Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039869.23,4029.53,2.8,not owned by a public authority,Yes,permissioned,full planning permission,2015-11-30,,,145,"""145 dwellings and associated access, car parking, servicing, and open space""",,,,,,,,2017-12-21,2017-12-21,46NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,16NH,,"""Old Shipyard, Robinson Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039558.02,3261.04,0.64,not owned by a public authority,Yes,permissioned,outline planning permission,2015-11-30,,,66,"""Demolition of existing boatyard including commercial buildings and construction of new mixed residential development of 66 dwellings including 4 houses and 62 flats""",,,,,,,,2017-12-21,2017-12-21,16NH
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,BLR02,,"""Unit 6 Kendal Court, Railway Road, Newhaven""",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039946.68,3950.79,0.01,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-05,,,9,"""Change of Use (including minor external alteration) from office to residential C3""",,,,,,,,2017-12-21,2017-12-21,
http://opendatacommunities.org/id/district-council/lewes,Lewes District Council,02NH,,"""Seahaven Caravans, Railway Road, Newhaven""
",http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/ ,ETRS89,4039763.52,3903.16,0.22,not owned by a public authority,Yes,not permissioned,,,,,22,,,,,,,,,2017-12-21,2017-12-21,02NH
