OrganisationURL,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR1,,DSDC Ashchurch,https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,51.94,2.06,81,not owned by a public authority,,not permissioned,,,,,1850,,,,,,,,Suitable Brownfield Site taken from the SHLAA (ASHC005),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR2,,Land to the north of Bishop's Cleeve,https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,51.95,2.06,3.38,not owned by a public authority,Yes,permissioned,Full Planning Permission,17/08/2016,,,71,"15/01177/FUL  - Erection of 71 dwellings (access from Evesham Road), with public open space and other associated infrastructure.",,,,,,,Suitable Brownfield Site taken from the SHLAA (BIS006),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR3,,"Green Street Invista Site, Brockworth",https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.36,4.76,23.9,not owned by a public authority,Yes,permissioned,Other,27/02/2014,http://publicaccess.tewkesbury.gov.uk/online-applications/applicationDetails.do?keyVal=MSX0MKQDD2000&activeTab=summary,,199,"Reserved matters application 13/00939/APP pursuant to application ref: 11/00091/OUT for the erection of 199 dwellings, including provision of cricket pitch and pavilion, other associated public open space and associated highway works.  Approved.",,,,,,,Suitable Brownfield Site taken from the SHLAA (BRO001),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR4,,"Whittle Square Š Gloucester Business Park, Brockworth",https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.36,4.75,4.3,not owned by a public authority,Yes,permissioned,Other,01/02/2008,http://publicaccess.tewkesbury.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,60,"07/01146/APP - Development of 2,375 sqm of A1-A5 Class uses and 60 one and two bed residential units above, together with associated highway works, public open space and hard/soft landscaping. Permitted.",,,,,,,Suitable Brownfield Site taken from the SHLAA (BRO002),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR5,,"Plots 1420, 2000, 2100, 3000, 3200, 4000, 4100, 4200, 4300, 6110, 6200, 7400 and 7520 Gloucester Business Park",https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.35,4.76,23.5,not owned by a public authority,Yes,permissioned,Full Planning Permission,09/10/2012,http://publicaccess.tewkesbury.gov.uk/online-applications/applicationDetails.do?keyVal=LTZCBCQD0DW00&activeTab=summary,,592,"11/01155/FUL - Proposed Class B1, B2 and B8 Business/industrial use (Extension to time limit for the submission of reserved matters applications for planning permission ref: 01/7689/0095/FUL as originally permitted by application ref: 88T/7689/01/01)",,,,,,,Suitable Brownfield Site taken from the SHLAA (BRO008),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR6,,"Land south of Lobleys Drive, Brockworth",https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.35,4.76,3.77,not owned by a public authority,Yes,not permissioned,,,,,106,,,,,,,,"Suitable Brownfield Site taken from the SHLAA (BRO010) 15/01378/OUT - Development of up to 106 dwellings with associated access, public open space, landscaping and other infrastructure. Awaiting decision.",21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR7,,"Highcross House, Pound Lane",https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.27,4.74,0.19,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,Suitable Brownfield Site taken from the SHLAA (MIN005),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR8,,Land to the rear of Norton Fruit Farm and Brooklands,https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.33,4.65,8,not owned by a public authority,,permissioned,Full Planning Permission,17/08/2017,,,9,"17/00235/FUL - Demolition of existing garden centre buildings and erection of 9 new dwellings. New access road and foot paths, garages and landscaping. ",,,,,,,Suitable Brownfield Site taken from the SHLAA (NORT002),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR9,,Land to the rear of Norton Fruit Farm,https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.33,4.65,4.57,not owned by a public authority,,not permissioned,,,,,103,,,,,,,,Suitable Brownfield Site taken from the SHLAA (NORT003),21/12/2017,21/12/2017
http://opendatacommunities.org/id/district-council/tewkesbury,Tewkesbury,TBC-BR10,,Land at Norton Fruit Farm,https://drive.google.com/open?id=16CcH-Bblhvxm1BH_6YCk-oSZRW5XPREH,ETRS89,53.33,4.65,0.87,not owned by a public authority,Yes,permissioned,Full Planning Permission,18/08/2017,,,9,"17/00235/FUL - Demolition of existing garden centre buildings and erection of 9 new dwellings. New access road and foot paths, garages and landscaping ",,,,,,,Suitable Brownfield Site taken from the SHLAA (NORT004),21/12/2017,21/12/2017
