OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0001/17,,"Land To The Rear Of 105
Oxney Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N3VCML0CW00,OSGB36,521402,300612,2.8,Unknown,Yes,Permissioned,Full,30/11/2010,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N3VCML0CW00,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0002/17,,"16 - 18 Manor House Street
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N4EVML0CW00,OSGB36,519169,299175,0.7,Unknown,Yes,Permissioned,Full,16/11/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N4EVML0CW00,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0003/17,,"3 - 7 Oxford Road
Millfield
Peterborough
PE1 3BL
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N5U4ML0CW00,OSGB36,518905,300384,1.3,Unknown,Yes,Permissioned,Full,08/07/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N5U4ML0CW00,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0004/17,,"38 Elm Street
Woodston
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N6A0ML0CW00,OSGB36,518948,297388,0.9,Unknown,Yes,Permissioned,Full,30/06/2011,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N6A0ML0CW00,,10,,,,10,10,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0005/17,,"659 Lincoln Road
Peterborough
PE1 3HA
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N7BTML0CW00,OSGB36,518226,300987,1.9,Unknown,Yes,Permissioned,Full,28/06/2007,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N7BTML0CW00,,23,,,,23,23,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0006/17,,"78 High Street
Eye
Peterborough
PE6 7UY
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N7JDML0CW00,OSGB36,522402,302732,1.9,Unknown,Yes,Permissioned,Full,25/11/2009,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N7JDML0CW00,,5,,,,5,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0007/17,,"83 Oxney Road
Peterborough
PE1 5NG
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N7O9ML0CW00,OSGB36,521239,300514,1.6,Unknown,Yes,Permissioned,Outline,19/10/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N7O9ML0CW00,,5,,,,5,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0008/17,,"85 Park Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N8E2ML0CW00,OSGB36,519269,299251,0.3,Unknown,Yes,Permissioned,Prior Approval,23/11/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N8E2ML0CW00,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0009/17,,"Land Adjacent To 39-41 Station Road
Thorney
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N8LYML0CW00,OSGB36,528208,304642,4.7,Unknown,Yes,Permissioned,Reserved Matters,30/01/2017,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N8LYML0CW00,,9,,,,9,9,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0010/17,,"British Sugar
Oundle Road
Woodston
Peterborough
PE2 9AY
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N92GML0CW00,OSGB36,518097,297571,24.6,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N92GML0CW00,,70,,,,70,70,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0011/17,,"Car Park
Hampton Court
Westwood
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N9FVML0CW00,OSGB36,517398,300627,10,Unknown,Yes,Permissioned,Full,22/02/2017,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N9FVML0CW00,,16,,,,16,16,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0012/17,,"Coneygree Lodge
Coneygree Road
Stanground
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0N9N0ML0CW00,OSGB36,520515,297024,3.5,Unknown,Yes,Permissioned,Full,29/08/2013,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0N9N0ML0CW00,,14,,,,14,14,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0014/17,,"Land At
East Station Road
Fletton Quays
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0NEXAML0CW00,OSGB36,519498,298029,67.9,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0NEXAML0CW00,,100,,,,100,100,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0015/17,,"1 Grove Street
Woodston
Peterborough
PE2 9AG
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CN74ML0CW00,OSGB36,518890,297648,0.7,Unknown,Yes,Permissioned,Outline,31/07/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CN74ML0CW00,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0016/17,,"Former John Mansfield School Remote Playing Field
Poplar Avenue
Dogsthorpe
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0NFZ2ML0CW00,OSGB36,520201,301911,40.6,Unknown,Yes,Permissioned,Full,03/11/2017,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0NFZ2ML0CW00,,116,,,,116,116,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0017/17,,"Land To The West Of
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O851BHML0CW00,OSGB36,517869,293987,745.3,Unknown,Yes,Permissioned,Outline,09/03/1993,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O851BHML0CW00,,2349,,,,2349,2349,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0018/17,,"Johnston Publishing
Oundle Road
Woodston
Peterborough
PE2 9QR
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O879GOML0CW00,OSGB36,518061,297289,30.5,Unknown,Yes,Permissioned,Full,02/04/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O879GOML0CW00,,86,,,,86,86,,,,19/12/2017,19/12/2017
