OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR1,,"""Land at Three Acres, Toms Lane, Kings Langley""",http://www.threerivers.gov.uk/download?id=41339,OSGB36,507905,203001,0.42,not owned by a public authority,yes,permissioned,full planning permission,17/11/2017,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVLA5PQFHRT00,,12,Demolition of existing dwelling and builders yard buildings and redevelopment of the site with four detached dwellings and associated gardens and car parking with access to the dwellings via existing entrance to the site from Toms Lane,,,12,17,,,"Has planning permission for four dwellings, however has also been put forward as a potential development site for the Brownfield Land Register",12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR2,,"""Land at Chorleywood Station, Chorleywood""",http://www.threerivers.gov.uk/download?id=41340,OSGB36,502616,196029,1.68,owned by a public authority,yes,not permissioned,,,,,21,,,,21,30,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR3,,"""Knoll Oak, Sandy Lane, Northwood""",http://www.threerivers.gov.uk/download?id=41341,OSGB36,510365,192410,0.07,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,7,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR4,,"""Land at Maple Cross, Maple Lodge""",http://www.threerivers.gov.uk/download?id=41342,OSGB36,503755,193012,3.18,not owned by a public authority,yes,not permissioned,,,,,21,,,,21,28,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR5,,"""Land at Park Road, High Street, Rickmansworth""",http://www.threerivers.gov.uk/download?id=41343,OSGB36,506158,194719,0.61,owned by a public authority,yes,not permissioned,,,,,18,,,,18,24,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR6A,,"""Rickmansworth Station Car Park, Rickmansworth""",http://www.threerivers.gov.uk/download?id=41344,OSGB36,505722,194615,0.11,owned by a public authority,yes,not permissioned,,,,,5,,,,5,7,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR6B,,"""Land at Rickmansworth Station, Rickmansworth""",http://www.threerivers.gov.uk/download?id=41344,OSGB36,505734,194577,0.31,owned by a public authority,yes,not permissioned,,,,,9,,,,9,12,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR7,,"""Former Sir James Altham School, South Oxhey""",http://www.threerivers.gov.uk/download?id=41345,OSGB36,512014,192327,0.72,owned by a public authority,yes,not permissioned,,,,,25,,,,22,29,,,,12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR8, ,"""Kings Langley Employment Area, Kings Langley""",http://www.threerivers.gov.uk/download?id=41346,OSGB36,507701,202742,30.93,not owned by a public authority,yes,permissioned,full planning permission,,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900|http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OALWI7QF03N00e|http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAAXA7QF6W000,,100,,"Allocated housing site, parts of which are also identified as a mixed use allocation for employment.",,100,130,,,"Planning permission has been granted for parts of the site, however there are still sections of the site suitable for brownfield housing development",12/12/2017,12/12/2017
http://opendatacommunities.org/id/district-council/three-rivers,Three Rivers District Council,BR9,,"""Mansion House Farm Equastrian Centre, Bedmond Road, Abbots Langley""",http://www.threerivers.gov.uk/download?id=41347,OSGB36,509665,202596,0.41,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,20,,,,12/12/2017,12/12/2017
