OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,BNG_Easting,BNG_Northing
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,CX/501,,"""County Council depot, off Stretton road, Clay Cross""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1928-cx-501/file,ETRS89,-1.4132,53.16105,1.6,unknown ownership,yes,not permissioned,,,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPQ11YLIL7F00,,44,"""Former Depot buildings have been demolished already; however, the site is still in process of being sold.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""Consent for demolition of industrial and storage building (15/00599/DEM)""",31/10/2017,31/10/2017,439332,362817
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,CX/1607,,"""Former Biwaters site, land off Derby Road, Clay Cross""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1929-cx-1607/file,ETRS89,-1.40741,53.17411,39.2,not owned by a public authority,yes,permissioned,outline planning permission,10/08/2010,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=K9YNXCLI01800,,825,"""Extent outline application for mixed use redevelopment of the former Biwater Works site off Derby Road to include housing (max 980 units)""","""Employment (B1 B2 B8 max 29,500sqm), hotel (60 rooms), a local centre (A1 A2 A3 A4 A5 max 750sqm), new vehicular access off Market Street (A6175), Derby Road (A61) and Furnace Hill Road, public open space together with associated infrastructure and landscaping""",,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""Currently outline application (17/00666/OL) is sought for a mixed-use development, comprising: residential use (C3), employment-generating uses with employment (B1, B2, B8), local centre (A1, A2, A3, A4 and/or A5), hotel (C1) and/or care home (C2); and public open space, landscaping, highway works and associated infrastructure (status: pending). Also planning permission 17/00247/RM conditionally approved for 166 dwellings on the west side of the site pursuant to outline planning permission 08/01085/OL""",31/10/2017,31/10/2017,439707,364273
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,CX/2403,,"""117, Pilsley Road, Danesmoor, Clay Cross, Chesterfield, S45 9BU""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1930-cx-2403/file,ETRS89,-1.39657,53.16417,0.29,mixed ownership,yes,permissioned,reserved matters approval,31/03/2017,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?keyVal=OFG9I5LII2500&activeTab=summary,,10,"""Public house has been demolished and redevelopment with 10 dwellings granted.""","""The site includes a very small area (0.09ha) of an existing employment allocation.""",,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,440441,363173
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,ECK/2410,,"""Bradley Lomas Electrolok Ltd, Church Street, Eckington""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1933-eck-2410/file,ETRS89,-1.35461,53.31178,1.3,not owned by a public authority,yes,permissioned,outline planning permission,20/04/2015,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MIXUAHLI2Z000,,28,"""Planning permission for 28 dwellings, s106 completed""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,443098,379619
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,KIL/1603,,"""65 / 67 Mansfield Road, Highmoor, Killamarsh""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1904-kil-1603/file,ETRS89,-1.29717,53.31831,1.04,not owned by a public authority,yes,permissioned,outline planning permission,21/10/2014,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OPDTQ7LIJSS00,,34,"""Outline application for residential development has been granted; proposed demolition of warehousing and erection of 22 dwellings pending""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""The application process considered that whilst a proportion of the scheme  would constitute  inappropriate development in the Green Belt, very special circumstances do exist in the form of the benefits brought by a comprehensive redevelopment of a vacant site which would not have a significantly greater impact on the Green Belt than the existing built form.""",31/10/2017,31/10/2017,446918,380381
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,ECK/1503,,"""Garages to the rear of 34 - 46 Emmett Carr Lane, Renishaw""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1932-eck-1503/file,ETRS89,-1.32522,53.29261,0.2,owned by a public authority,yes,not permissioned,,,,,6,"""Any housing development would be limited due to the narrow layout and shape of the site.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,445076,377504
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,WW/1610(2),,"""Former Avenue Coking Works site, Derby Road, Wingerworth""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1912-ww-1610-2/file,ETRS89,-1.41407,53.20444,30.97,owned by a public authority,yes,permissioned,reserved matters approval,19/09/2017,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O75NHFLIGL200,,469,"""The reserved matters approval is the first phase of re-development for 261 dwellings.""","""The first phase of the site comprises a central village green.""",,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""This brownfield site is the central part of the larger Avenue Strategic Site which is a mixed-use redevelopment to comprise 13.4 ha of residential use providing 469 dwellings, 2.8 ha of commercial land for employment use, 1.8 ha of land for provision of a primary school, 0.4 ha of land for other community use and formal and informal play and recreation space.""",31/10/2017,31/10/2017,439234,367643
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,ScD/2103,,"""Land at Former Coalite Works, Buttermilk Lane, Bolsover""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1911-scd-2103/file,ETRS89,-1.32009,53.23709,14.5,not owned by a public authority,,permissioned,outline planning permission,31/10/2016,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N0ZIXZLI03L00,,304,"""660 dwelling scheme for the whole re-development area with associated ancillary uses."" ","""Those ancillary uses include a Local Centre, children's play areas, a Riverside Park and a Local Habitat Area.""",,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,"""This brownfield site represents only the north western part of the whole scheme; there are also concerns regarding the deliverability of the scheme due to the HS2 announcement.""",31/10/2017,31/10/2017,445477,371331
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,ECK/602,,"""Garages at Castle Hill, Eckington""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1931-eck-602/file,ETRS89,-1.36034,53.31228,0.21,owned by a public authority,,not permissioned,,,,,7,"""This is a garage site for the re-development of 7 houses.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,442716,379671
http://opendatacommunities.org/id/district-council/north-east-derbyshire,North East Derbyshire District Council,NW/1702,,"""Land to the rear of 183 Chesterfield Road, Holmewood""",http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/brownfield-sites-register/1908-nw-1702/file,ETRS89,-1.36816,53.19172,1.16,not owned by a public authority,,permissioned,full planning permission,22/06/2017,http://planapps-online.ne-derbyshire.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O3Q9UBLIFZA00,,25,"""The dormer bungalow on site would remain and all proposed dwellings would be erected as two-storey buildings with 3 bedrooms; s106 completed.""",,,,,,http://www.ne-derbyshire.gov.uk/index.php/your-council/document-library/local-plan-2001-2011-supplementary-documents/local-plan-documents-february-2017/1586-housing-sites-appendix-c-1,,31/10/2017,31/10/2017,442313,366254
