OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OSGB36Easting,OSGB36Northing
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/132,,"""Littlejohns Coalyard, Northam Road, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18220,ETRS89,-4.211446907,51.02088609,0.2,not owned by a public authority,,not permissioned,,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9500800OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9100605LA,,10,,,,10,10,,,"Allocated for housing development through saved policy BID7 of the Torridge District Local Plan 1997-2011
Residential potential of site considered through SHLAA SHA/BID/32 (now archived) and SHLAA SHA/BID/132",2017-12-22,2017-12-22,244995,126941
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/NOR/158,,"""Bywater House, Silford Cross, Westward Ho!, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18229,ETRS89,-4.23218858,51.03174287,0.45,not owned by a public authority,yes,permissioned,reserved matters approval,2017-05-05,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBXSPSQKLVS00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLGGVDQKGHN00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O4HL6JQKK2W00,,2,Subdivision of existing dwelling in to two houses and 1 new dwelling.,,,,,,,"Residential potential of site considered through SHLAA SHA/NOR/158.
Site covered by planning permission 1/0154/2017/REM for 3 dwellings (net 2).",2017-12-22,2017-12-22,243577,128192
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/72,,"""Former Jet Garage, New Road, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18218,ETRS89,-4.205965054,51.01264383,0.06,not owned by a public authority,,not permissioned,,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I5KM3XQKS1000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KZJ1UDQK02X00,,8,,,,8,8,,,"Permission for 8 apartments now lapsed. 1/0242/2010/FUL - Eight apartments and associated site works with small extension to the northern elevation - PER - 3.12.10
Residential potential of site considered through SHLAA SHA/BID/72",2017-12-22,2017-12-22,245352,126013
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/18,,"""Land at Nuttaberry Works, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18211,ETRS89,-4.201261901,51.00966577,3.64,not owned by a public authority,yes,pending decision,outline planning permission,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KDINVEQK2M000,,96,Residential redevelopment of former commercial brownfield site comprising up to 96 residential units including affordable homes,"Improved off site access road and footways, traffic lights and calming measures, drainage arrangements and flood protection measures, lagoons, raising and lowering of ground levels, landscaping, local equipped area of play, youth shelter, car park and site for tarka trail centre.",,,,,,"Residential capacity of site considered through SHLAA SHA/BID/18.
Application 1/0041/2009/OUTM for 96 dwellings currently pending.
Allocated for housing development through Saved Policy HSC1 of the Torridge District Local Plan 1997-2011.
Non allocated strategic site in emerging North Devon and Torridge Local Plan 2011-2031",2017-12-22,2017-12-22,245672,125672
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/108,,"""8 - 11 Market Place, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18219,ETRS89,-4.207930341,51.0174002,0.16,not owned by a public authority,yes,permissioned,full planning permission,2017-01-10,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T56QK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T5DQK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR68BRQK06T00,,9,Residential development comprising 9 dwellings,"Associated access, parking and sewers",,,,,,"Site subject to planning permission 1/0700/2015/FUL Residential development comprising 9 dwellings with associated access, parking and sewers. PER 10/1/2017
Ressidential potential of site considered through SHLAA - SHA/BID/108",2017-12-22,2017-12-22,245230,126546
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/PAR/4,,"""Penhaven and Rectory Farm, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18230,ETRS89,-4.294482541,50.96775942,1.63,not owned by a public authority,yes,permissioned,outline planning permission,2016-12-23,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYGX50QKINU00,,10,Previously developed part of wider site that has planning permission for conversion of former hotel site and erection of dwellings to create up to 21no. dwellings (including affordable housing),Associated works,,,,,,"Residential potential of site considered through SHLAA SHA/PAR/4
Site covered by planning permission 1/1216/2015/OUTM for 21 dwellings PER 23/12/2016
Only PDL element of site has been included in calculation of yield",2017-12-22,2017-12-22,238932,121209
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/NOR/72,,"""Roslyn Gardens Caravan Park, Merley Road, Westward Ho!, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18226,ETRS89,-4.244254201,51.03880577,0.54,not owned by a public authority,yes,permissioned,reserved matters approval,2016-01-08,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0201326OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JQB62MQK01P00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LA84SEQK03B00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNTA2LQKGIE00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8T811QKL3U00,,14,14 dwellings.,Associated highway and landscaping,,,,,,"Residential capacity of site considered through SHLAA SHA/NOR/72
Site has planning permission 1/0586/2016/FULM for 14 dwellings, covering the entirety of the site.",2017-12-22,2017-12-22,242755,129003
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/29,,"""Land adjacent to Blights Garage, Clovelly Road, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18212,ETRS89,-4.224623956,51.01139011,1.96,not owned by a public authority,yes,permissioned,outline planning permission,2017-03-10,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0101190OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQ2MJLQK07L00,,100,Residential Development (Minimum density of 35 units per hectare),New estate entrance and associated alterations to Clovelly Road,,,,,,"Site subject to outline permission for provision of 100 dwellings (1/1437/2001/OUT) - granted 02.09.2010 (resolution to permit at April 2010). Extension of time application (with resolution to permit subject to s106 - 1/0617/2013/EXT). 
Site allocated within the adopted development plan (TDLP - HSC1) for comprehensive residential development.
Residential potential of site considered through SHLAA SHA/BID/29",2017-12-22,2017-12-22,244039,125913
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/SHB/8,,"""Works, Haycross Hill, Shebbear, Beaworthy""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18231,ETRS89,-4.219181237,50.85988535,1.27,not owned by a public authority,yes,pending decision,outline planning permission,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCXXSQKFO600,,33,30 dwellings,3 live work units with associated landscaping and play space,,,,,,"Site is proposed allocation SHB02 (Land West of Haycross Hill) for about 20 dwellings and 3 live-work units in the draft North Devon and Torridge Local Plan 2011-2031.
1/0125/2015/OUTM. Outline application (all matters reserved) for 30 dwellings, 3 live work units with associated landscaping and play space (amended plans). Pending S106
Residential capacity of site considered through SHLAA SHA/SHB/8",2017-12-22,2017-12-22,243914,109056
http://opendatacommunities.org/id/district-council/torridge,Torridge District Council,BLR/BID/38,,"""Brunswick, Queens and Clarance Wharves, Barnstaple Street, Bideford""",http://www.torridge.gov.uk/CHttpHandler.ashx?id=18213,ETRS89,-4.201280762,51.01698611,0.89,owned by a public authority,yes,permissioned,full planning permission,2015-07-02,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N6LA9RQK07L00,,52,Mixed use development comprising of 52 residential units,"Approximately 763 sq metres of retail / commercial development, open space, car parking, marina (including managers accommodation) and associated development.",,,,,,"Residential potential of site considered through SHLAA SHA/BID/38.
The site is listed as a Non Strategic Housing Site in the emerging North Devon and Torridge Local Plan 2011-2031.
Site covered by planning permission 1/0578/2014/FULM for mixed use development comprising of 52 residential units, approximately 763 sq metres of retail / commercial development, open space, car parking, marina (including managers accommodation) and associated development.
Site is subject to proposal (BID16) within the adopted development plan (TDLP) which allocates the site for tourism, leisure or commercial uses (or a mix) including provision of a cycle route / walkway and a high standard of design. Site subject to an endorsed Site Development Brief. 
The draft North Devon and Torridge Local Plan identifies this site as a Bideford Regeneration Site (BID07) for a mix of housing, leisure and retail uses.",2017-12-22,2017-12-22,245695,126486
