OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,ABIG07,,"Land at Oxford Abingdon Hotel, Abingdon-on-Thames",http://www.whitehorsedc.gov.uk/sites/default/files/ABIG07.png,OSGB36,448162,196842,0.87,not owned by a public authority,,not permissioned,,,,,35,,,,35,35,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,WANT11,,"Land to the rear of Waitrose Car Park, Wantage",http://www.whitehorsedc.gov.uk/sites/default/files/WANT11.png ,OSGB36,439966,187988,0.13,owned by a public authority,,not permissioned,,,,,5,,,,5,5,,,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P11/V1960/EX,,"Challow Country Club, Woodhill Ln ",http://www.whitehorsedc.gov.uk/sites/default/files/P11V1960EX.png,OSGB36,438088,189034,0.63,not owned by a public authority,,permissioned,full planning permission,13/12/2011,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P11/V1960/EX,,14,Demolition of existing buildings and erection of 14 dwellings,,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P11/V1960/EX,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P12/V0204,,"Radcliffe Publishing Co Ltd, 18 Marcham Road, Abingdon, OX14 1AA",http://www.whitehorsedc.gov.uk/sites/default/files/P12V0204.png,OSGB36,448782,197036,0.15,not owned by a public authority,,permissioned,full planning permission,01/03/2012,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P12/V0204,,12,Re-submission for conversion of existing office building into residential apartments and erection of 5 mews houses.,,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P12/V0204,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P12/V0308,,"29-30 Market Place, Wantage, Oxfordshire",http://www.whitehorsedc.gov.uk/sites/default/files/P12V0308.png,OSGB36,439732,187921,0.04,not owned by a public authority,,permissioned,full planning permission,26/10/2012,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P12/V0308,,8,"Proposed 8 flats comprising, 6x1 and 2x2 bed flats at first and second floor levels. ",Retention of existing 3 no. commercial units at ground floor level.,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P12/V0308,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P13/V0033/FUL,,"Faringdon Tennis Club, Southampton St",http://www.whitehorsedc.gov.uk/sites/default/files/P13V0033FUL.png,OSGB36,428925,195283,0.18,not owned by a public authority,,permissioned,full planning permission,09/04/2013,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0033/FUL,,11," Change of use from tennis courts to residential, including demolition of existing changing rooms and erection of 11no new dwellings",,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0033/FUL,Site is under construction (Nov 2017),08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P13/V0446/O,,Land West of Faringdon Road Cumnor OX2 9RE,http://www.whitehorsedc.gov.uk/sites/default/files/P13V0446O.png,OSGB36,446190,202383,1.54,not owned by a public authority,,permissioned,outline planning permission,07/04/2016,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0446/O,,22,Erection of up to 22 dwellings,,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0446/O,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P13/V0679/FUL,,"Berkeley House, 20 Marcham Rd, Abingdon",http://www.whitehorsedc.gov.uk/sites/default/files/P13V0679FUL.png,OSGB36,448752,197036,0.17,not owned by a public authority,,permissioned,full planning permission,16/01/2014,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0679/FUL,,14,Refurbishment of the existing building into 8no. 1 bedroom apartments and the erection of 6no. mews terrace houses,,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0679/FUL,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P13/V0821/FUL,,"57-59 Stert Street, Abingdon",http://www.whitehorsedc.gov.uk/sites/default/files/P13V0821FUL.png,OSGB36,449808,197220,0.12,not owned by a public authority,,permissioned,full planning permission,09/02/2015,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0821/FUL,,14,"Demolition of 55-59 Stert Street & Abbey Court and the erection of a new three storey building fronting Stert Street, comprising 9 flats, and erection of three storey terrace building comprising 4 dwelling houses and 1 maisonette",,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V0821/FUL,,08/12/2017,08/12/2017
http://opendatacommunities.org/id/district-council/vale-of-white-horse ,Vale of White Horse District Council,P13/V2301/O,,"5B Lechlade Road, Faringdon",http://www.whitehorsedc.gov.uk/sites/default/files/P13V2301O.png,OSGB36,428476,195522,0.36,not owned by a public authority,,permissioned,outline planning permission,27/08/2014,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V2301/O,,14,Erection of 14 dwellings with associated access,,,,,,http://maps.whitehorsedc.gov.uk/gis/?cat=PA&ref=P13/V2301/O,Site is under construction (Nov 2017),08/12/2017,08/12/2017
