OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,IN1-18,,"Land east of Beck Lane, Barrow Upon Humber ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=507485.029164299&StartNorthing=421480.830485244&StartZoom=1000&Layers=brownfield,27700,507485.0292,421480.8305,2.23,not owned by a public authority,,not permissioned,,,,,71,,,,,,,,The site is located within the development limit of Barrow upon Humber.,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,SCUH-12,,"Former Carpark, Collum Avenue, Scunthorpe ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489885.39706548&StartNorthing=408752.20508063&StartZoom=1000&Layers=brownfield,27700,489885.3971,408752.2051,0.16,owned by a public authority,,not permissioned,,,,,14,,,,,,,,The site is allocated for residential development within North Lincolnshire Housing and Employment Land Allocation Development Plan Document.,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,OI177,,"Land to rear of 48 to 57 Bridge Street, Brigg ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=499774.472835261&StartNorthing=407226.311871983&StartZoom=1000&Layers=brownfield,27700,499774.4728,407226.3119,0.8,not owned by a public authority,,not permissioned,,,,,23,,,,,,,,The site is located within  the development limit of Brigg.,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,PA/2017/113,,"32-34 Newland Avenue, Scunthorpe ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=488130.033784832&StartNorthing=410933.745093097&StartZoom=1000&Layers=brownfield,27700,488130.0338,410933.7451,0.05,not owned by a public authority,,not permissioned,,,,,8,,,,,,,,The site is located within  the development limit of Scunthorpe.,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,BARH-3,,"Former St Marys CycleWorks, Barton Upon Humber ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=503383.294028402&StartNorthing=422164.505355223&StartZoom=1000&Layers=brownfield,27700,503383.294,422164.5054,1.95,not owned by a public authority,,not permissioned,,,,,73,,,,,,,,The site is allocated for residential development within North Lincolnshire Housing and Employment Land Allocation Development Plan Document.,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,CROH-2,,"Land of Godnow Road, Crowle ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=477277.22790944&StartNorthing=412594.569243751&StartZoom=1000&Layers=brownfield,27700,477277.2279,412594.5692,1.32,not owned by a public authority,,not permissioned,,,,,51,,,,,,,,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document. ,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,SCUH-C4,,"Hartwell Ford, Scunthorpe ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489316.258427903&StartNorthing=410871.102701337&StartZoom=1000&Layers=brownfield,27700,489316.2584,410871.1027,0.74,not owned by a public authority,,not permissioned,,,,,33,,,,,,,,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document. ,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,SCUH-C6,,"Former Scunthorpe Telegraph Office Site, Scunthorpe ",http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=488982.730215676&StartNorthing=411333.617116233&StartZoom=1000&Layers=brownfield,27700,488982.7302,411333.6171,0.24,not owned by a public authority,,not permissioned,,,,,67,,,,,,,,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document. ,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,SCUH-7,,Advance Crosby Scheme Phase 2 Scunthorpe ,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489464.455739415&StartNorthing=411530.788193024&StartZoom=1000&Layers=brownfield,27700,489464.4557,411530.7882,0.36,owned by a public authority,yes,not permissioned,,,,,14,,,,,,,,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document. ,2017-12-19,
http://opendatacommunities.org/doc/unitary-authority/north-lincolnshire,North Lincolnshire Council ,SCUH-15,,Former Kingsway House Scunthorpe ,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489129.630847458&StartNorthing=409929.248773277&StartZoom=1000&Layers=brownfield,27700,489129.6308,409929.2488,0.4,not owned by a public authority,,not permissioned,,,,,16,,,,,,,,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document. ,2017-12-19,
