1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/geography/administration/npark/E26000001 ,Dartmoor National Park Authority,DNP08/011,,Edwin Tucker & Sons Site,https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,275598,69510,0.76,not owned by a public authority,yes,not permissioned,,,,,18,,,,18,30,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,DNP08/014,,"Outdoor Experience, Chuley Road",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,275728,69644,0.59,not owned by a public authority,yes,pending decision,,,,,10,,,,10,18,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,DNP08/017,,"Land on the north and south of Station Rd, Moretonhampstead",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,275729,85679,2.88,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,23,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,DNP14/076,,"Former Axminster Carpets Site, Buckfast Mill, Buckfast",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,274136,67103,4.19,not owned by a public authority,yes,not permissioned,,,,,32,,"LAA Panel agreed 20% employment and 80% residential floorspace should be achievable. Net developable area excluding Flood Zone 3 is 1.94ha. 20% of this would be 0.39ha and the remaining 80%, 1.55ha would be suitable for residential use at a mid point yield of 40 units.",,32,48,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,DNP14/112,,"Kenwyn, Western Road",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,275344,69560,1.27,owned by a public authority,yes,not permissioned,,,,,15,,,,15,20,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,0354/12,,"Land at Manor Mills, South Brent",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,269748,59673,0.56,not owned by a public authority,yes,permissioned,full planning permission,12/09/2012,http://www.dartmoor.gov.uk/living-and-working/planning/search-for-an-application/db-links/detailed-application-result?AppNo=0354%2F12,,Elderly Care Home,Erection of residential care home on existing brownfield site,,,,,,,,07/08/2017,07/08/2017
http://opendatacommunities.org/id/geography/administration/npark/E26000001,Dartmoor National Park Authority,0853/07,,"Blackdown Garage, Mary Tavy",https://maps.dartmoor.gov.uk/brownfield_register/,OSGB36,250297,79388,0.64,not owned by a public authority,yes,permissioned,full planning permission,14/05/2015,http://www.dartmoor.gov.uk/living-and-working/planning/search-for-an-application/db-links/detailed-application-result?AppNo=0853%2F07,,19,Residential development of 19 dwellings and associated works,,,19,19,,,,07/08/2017,07/08/2017
