OrganisationURI,OrganisationLabel,SIteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/003,,"""Beaufort Walk, Gorwell   Barnstaple EX32 7JD""",https://www.northdevon.gov.uk/media/378044/bfl-bar-003-beaufort-walk-1-1250.pdf,ETRS89,-4.047098236,51.08375279,256715,133598,0.41,Not owned by a Public Authority,Yes,Pending Decision,Permission in principle,,,,32,"""DEMOLITION OF EXISTING DWELLINGS & CAR PARKING AREAS & ERECTION OF 32 DWELLINGS, COMMUNITY CENTRE & ASSOCIATED AMENITY SPACE, LANDSCAPING & PARKING""",,,32,,,,"""Gross 32 residential units net 16.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/012,,"""Bay View Farm, Croyde Road Croyde  Braunton EX33 1PN""",https://www.northdevon.gov.uk/media/378081/bfl-geo-012-bay-view-caravan-park-croyde-1-1250.pdf,ETRS89,-4.226618722,51.12698494,244288,138770,0.25,Not owned by a Public Authority,,Not permissioned,,,,,3,,,,3,6,,,"""Car parking / reception area and traditional stone barn attached to existing camping and caravan site.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/GEO/017,,"""Fairleigh, Crowborough Road Georgeham  Braunton EX33 1JZ""",https://www.northdevon.gov.uk/media/378082/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,ETRS89,-5.932885022,51.08749512,124688,139380,0.37,Not owned by a Public Authority,,Permissioned,Full planning permission,19/04/2017,,,8,"""DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS""",,,8,10,,,"""Gross 8 residential units net 6.

63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Pending Decision.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/018,,"""The Tile Centre, 113 Boutport Street   Barnstaple EX31 1TD""",https://www.northdevon.gov.uk/media/378046/bfl-bar-018-113-boutport-street-1-750.pdf,ETRS89,-4.058973784,51.08172744,255877,133396,0.03,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,13/10/2014,,,6,"""ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS (AMENDED RED OUTLINE WHICH REMOVES CAR PARKING FROM THE PROPOSAL)""",,,6,,,,,02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/019,,"""Land adjacent Woolacombe Station Road, Mortehoe   Ilfracombe EX34 7HN""",https://www.northdevon.gov.uk/media/378062/bfl-mor-019-land-adj-woolacombe-station-road-1-1250.pdf,ETRS89,-4.170114944,51.17378914,248395,143856,0.21,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,21/06/2017,,,4,"""APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 7 (CONSTRUCTION MANAGEMENT PLAN) ATTACHED TO PLANNING PERMISSION 59371)""",,,4,,,,"""59371 : ERECTION OF FOUR NEW DWELLINGS (AMENDED PLANS & CONTAMINATION REPORT) (ADDITIONAL INFORMATION). Approved 24/01/17.

Part of site for 6 dwellings has been built. The remaining 4 dwellings have stalled.

55668 : THE PROVISION OF TWO INTERMEDIATE RENT HOUSES (AFFORDABLE) & THE PROVISION OF FOUR OPEN MARKET HOUSES TOGETHER WITH FORMATION OF ACCESS AND CAR PARKING (AMENDED DESCRIPTION & PLANS). Approved 17/09/15""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/021,,"""The Rocks Hotel, Beach Road Woolacombe  Ilfracombe EX34 7BT""",https://www.northdevon.gov.uk/media/378094/bfl-mor-021-the-rocks-hotel-woolacombe-1-750.pdf,ETRS89,-4.204628021,51.17269365,245979,143806,0.06,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,14/04/2015,,,5,"""RETENTION OF TWO RESIDENTIAL FLATS & EXTENSION / CONVERSION OF HOTEL TO FORM FIVE RESIDENTIAL FLATS""",,,5,,,,"""Gross 7 residential units net 5.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/022,,"""John Fowler Holidays, Ilfracombe Holiday Park Marlborough Road  Ilfracombe EX34 8PF""",https://www.northdevon.gov.uk/media/378083/bfl-ilf-022-former-john-fowler-holiday-park-ilfracombe-1-2500.pdf,ETRS89,-4.112173796,51.20010382,252529,146664,3.14,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,10/06/2016,,,60,"""OUTLINE PLANNING APPLICATION FOR DEMOLITION OF HOLIDAY CHALETS, ERECTION OF UP TO 80 DWELLINGS, FORMATION OF PUBLIC OPEN SPACE, RECONFIGURATION OF EXISTING ACCESSES ONTO WORTH ROAD & OLD BARNSTAPLE ROAD""",,,60,80,,,,02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/LAN/027,,"""Westacott Heights, Whiddon Valley   BARNSTAPLE EX32 7NF""",https://www.northdevon.gov.uk/media/378093/bfl-lan-027-westacott-heights-whiddon-valley-1-2500.pdf,ETRS89,-4.020850269,51.07875067,258538,132991,0.6,Not owned by a Public Authority,,Not permissioned,,,,,18,,,,18,21,,,"""This site forms part of the strategic urban extension at Westacott in the emerging Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/FRE/028,,"""Land at Yelland Quay, Yelland   BARNSTAPLE EX31 3EZ""",https://www.northdevon.gov.uk/media/378052/bfl-fre-028-land-at-yelland-quay-1-3500.pdf,ETRS89,-4.162246657,51.06977088,248605,132274,11.9,Not owned by a Public Authority,,Pending Decision,,,,,250,"""OUTLINE APPLICATION FOR 280 DWELLINGS (USE CLASS C3)""","EMPLOYMENT (USE CLASS B1) SPACE OF UP TO 6000 SQM GROSS FLOORSPACE; EMPLOYMENT (USE CLASS B2) SPACE OF UP TO 5,500 SQM; STORAGE OR DISTRIBUTION (CLASS USE B8) SPACE OF UP TO 7000 SQM GROSS FLOORSPACE; COMMUNITY FACILITIES (USE CLASS D1) OF UP TO 300 SQM; RESTAURANT & CAFE (USE CLASS A3) OF UP TO 300 SQM; (C) ALL THE ASSOCIATED INFRASTRUCTURE INCLUDING REMOVAL OF ANY CONTAMINATION, ROADS, FOOTPATHS, CYCLEWAYS, DRAINAGE (INCLUDING ATTENUATION WORKS), FLOOD DEFENCE WORKS, LANDSCAPING, PUBLIC OPEN SPACE, UTILITIES & VEHICLE PARKING ALSO INCLUDING DEMOLITION OF BUILDINGS",,250,280,,,"""Site is allocated for approximately 250 dwellings in the emerging Local Plan (FRE02).""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/MOR/029,,"""Panorama, Rockfield Road Woolacombe  Ilfracombe EX34 7DH""",https://www.northdevon.gov.uk/media/378095/bfl-mor-029-panorama-rockfield-road-woolacombe-1-750.pdf,ETRS89,-4.211274697,51.17585974,245525,144172,0.54,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,11/08/2016,,,5,"""VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 56934 DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS TO ALLOW AMENDED DESIGN""",,,5,,,,"""Gross 5 residential units net 4.

56934 : DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER  WITH ASSOCIATED WORKS. Approved 02/06/14

54876 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 50819 DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA. Approved 21/12/12

50819 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 45947 FOR DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS WITH PARKING AREA. Approved 22/09/10

45947 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION  41949). Approved 31/03/08

41949 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH  FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 40183) (AMENDED PLANS). Approved 08/09/06

40183 : DEMOLITION OF BUNGALOW & ERECTION OF 4 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDED PLANS & DESCRIPTION). Approved 03/01/06""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/030,,"""Transco Site (BAR1i), Barbican Road   Barnstaple EX32 9HE""",https://www.northdevon.gov.uk/media/378041/bfl-bar-030-transco-site-1-1250.pdf,ETRS89,-4.052053848,51.07635415,256345,132785,0.6,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,22/03/2012,,,21,"""APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITIONS 11(iv) (REMEDIATION VERIFICATION REPORT) & 13 (HIGHWAY CONDITION) ATTACHED TO PLANNING PERMISSION 50833 (AMENDED DESCRIPTION).""",,,21,,,,"""50833 : DEMOLITION OF EXISTING BUILDINGS & ENVIRONMENTAL IMPROVEMENT WORKS (PHASE 2) (AMENDED INFORMATION). Approved 03/03/11

50834 : OUTLINE APPLICATION FOR ERECTION OF 21 RESIDENTIAL UNITS, INCLUDING REVISED ACCESS ARRANGEMENTS. Approved 09/01/12

51965 : APPROVAL OF DETAIL IN RESPECT OF DISCHARGE OF CONDITIONS 3 (GROUND LEVELS);  5 (ASBESTOS REMOVAL); 8 (NOISE/VIBRATION MITIGATION); 9 (DUST/GAS MITIGATION); 10 (CONTACT DETAILS); 11(i,ii,iii) (CONTAMINATION RISK); 14 (ACCESS TREATMENT); 15 (VEHICLE CLEANSING); 17 (BOUNDARY SCREENING); & 18 (ECOLOGICAL MANAGEMENT) ATTACHED TO PLANNING PERMISSION 50833 (AMENDED DESCRIPTION). Approved 06/05/11

53137 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 4 (WALL DETAILS) ATTACHED TO PLANNING PERMISSION 50833. Approved 28/02/12

53487 :  Approved 22/03/12""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/031,,"""St Johns Garden Centre, St Johns Lane Newport  Barnstaple EX32 9DD""",https://www.northdevon.gov.uk/media/378042/bfl-bar-031-st-johns-garden-centre-1-2000.pdf,ETRS89,-4.037960322,51.07206811,257319,132281,1.6,Not owned by a Public Authority,Yes,Permissioned,Reserved matters approval,03/07/2017,,,44,"""APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 12 (LIGHTING
SCHEME) 18 (LIGHTING PLAN INCLUDING ECOLOGICAL ASSESSMENT), 20 (AMS) & 22 
(ECOLOGICAL SURVEY) ATTACHED TO PLANNING PERMISSION 57304""",,,44,,,,"""62838 : APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 3 (WATER COURSE, BUFFER ZONE, LANDSCAPING) 4 (SURFACE WATER DRAINAGE) 5 (LAND CONTAMINATION) 6 (UNSUSPECTED CONTAMINATION) 8 (REFUSE STORAGE), 10 (CONSTRUCTION TRAFFIC MANAGEMENT PLAN) 12 (ROADS, CYCLEWAYS, FOOTWAYS, FOOTPATHS ETC) 16 (SURFACE WATER DISPOSAL) ATTACHED TO PLANNING PERMISSION 57304. Approved 09/06/17

57304 : DEMOLITION OF EXISTING GARDEN CENTRE & REDEVELOPMENT OF SITE TO ACCOMMODATE 44 RESIDENTIAL DWELLINGS TOGETHER WITH NEW ADOPTABLE HIGHWAY & ASSOCIATED WORKS (AMENDED DRAWINGS). Approved 21/10/14""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/ILF/032,,"""Robins and Putts Garage, Northfield Road   ILFRACOMBE EX34 9QB""",https://www.northdevon.gov.uk/media/378084/bfl-ilf-032-former-robins-and-putts-garage-ilfracombe-1-750.pdf,ETRS89,-4.125441345,51.20813731,251628,147584,0.1,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,28/06/2016,,,12,"""ERECTION OF 12 DWELLINGS""",,,12,,,,"""Planning permission was granted in October 2017 to allow alluminium windows within the development as opposed to wooden windows.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/BAR/033,,"""Land Adjacent Holland Street and Paiges Lane,    Barnstaple EX31 1DP""",https://www.northdevon.gov.uk/media/378045/bfl-bar-033-holland-street-paiges-lane-1-750.pdf,ETRS89,-4.061824552,51.08001337,255672,133211,0.04,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,18/08/2016,,,6,"""DEMOLITION OF EXISTING STORE AND COTTAGE AND ERECTION OF SIX RESIDENTIAL APARTMENTS (AMENDED DESCRIPTION & PLANS)""",,,6,,,,"""Gross 6 residential units net 5.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/034,,"""Lamaton Park,    South Molton EX36 4BE""",https://www.northdevon.gov.uk/media/378096/bfl-smo-034-lamaton-park-south-molton-1-1250.pdf,ETRS89,-3.82990122,51.0140784,271734,125450,0.41,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,28/04/2017,,,33,"""DEMOLITION OF LAMATON PARK AND REPLACE WITH 33 SELF CONTAINED FLATS & COMMUNAL FACILITIES (AMENDED PLANS) (FURTHER AMENDED PLANS, AMENDED NUMBERS & AMENDED DESIGN BLOCK D)""",,,33,,,,"""Gross 33 residential units net 12.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/035,,"""Old Coaching Inn, Queen Street   South Molton EX363BJ""",https://www.northdevon.gov.uk/media/378097/bfl-smo-035-old-coaching-inn-queen-street-south-molton-1-1250.pdf,ETRS89,-3.836084014,51.01756972,271310,125849,0.28,Not owned by a Public Authority,Yes,Permissioned,Full planning permission,30/09/2016,,,7,"""ERECTION OF 7 DWELLINGS (AMENDED PLANS).""",,,7,,,,"""55952 - EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 48212 FOR THE ERECTION OF EIGHT DWELLINGS & REVISED DESIGN (AMENDED PLANS). Finally Disposed Of.

55500 - DISCHARGE OF CONDITIONS 9 (ARCHAEOLOGICAL WORK) & 11 (PHASING OF WORKS) ATTACHED TO PLANNING PERMISSION 48212. Finally Disposed Of.

48212 - ERECTION OF 8 DWELLINGS (AMENDED PLANS). Approved 08/07/10.""",02/08/2017,02/08/2017
http://opendatacommunities.org/id/district-council/north-devon,North Devon Council,BFL/SMO/036,,"""Quince Honey Farm, North Road   South Molton EX36 3 AZ""",https://www.northdevon.gov.uk/media/378098/bfl-smo-036-quince-honey-farm-north-road-south-molton-1-1250.pdf,ETRS89,-3.838484339,51.02094048,271151,126228,1.51,Not owned by a Public Authority,Yes,Permissioned,Outline planning permission,28/02/2017,,,14,"""OUTLINE APPLICATION WITH SOME MATTERS RESERVED FOR ERECTION OF 14 DWELLING (ACCESS, LAYOUT & SCALE).""",,,14,31,,,"""Outline planning permission for 14 dwellings with a further proposal (no application) to convert existing listed building with a further element of new build to deliver an additional 17 dwellings (Phase II).

The site is allocated within the adopted Local Plan for approximately 30 dwellings (SM01a).""",02/08/2017,02/08/2017
