OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing,gid,shlaareference
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR011,,"Coton's van Hire / Millfields House, Lichfield Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR011.pdf,ETRS89,-1.711400169,52.63499679,0.66,not owned by a public authority,,not permissioned,,,,,12,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,419529.0805,304216.6392,1,399
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR039,,Co-op filling station,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR039.pdf,ETRS89,-1.69802109,52.62920288,0.32,not owned by a public authority,,not permissioned,,,,,12,,,,,,,,Site allocation in LP 2006-2031,08/12/2017,08/12/2017,420437.1182,303575.9215,2,591
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR007,,Station Car Park off B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR007.pdf,ETRS89,-1.67879146,52.61113732,0.23,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,08/12/2017,08/12/2017,421747.4755,301572.2151,3,370
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR010,,"Jewsons, Saxon Drive",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR010.pdf,ETRS89,-1.686309903,52.6353242,0.51,not owned by a public authority,,not permissioned,,,,,32,,,,,,,,,08/12/2017,08/12/2017,421226.7352,304260.1482,4,380
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR005,,"Arriva Bus Depot, Aldergate",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR005.pdf,ETRS89,-1.693513899,52.63502406,0.39,not owned by a public authority,,not permissioned,,,,,40,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,420739.3994,304224.6679,5,349
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR001,,"Phoenix Special Purpose Machines, Hospital Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR001.pdf,ETRS89,-1.695544473,52.63539143,0.31,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,420601.8216,304264.9466,6,347
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR008,,"Hyundai Garage, Lichfield Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR008.pdf,ETRS89,-1.70078461,52.63402704,0.24,not owned by a public authority,,not permissioned,,,,,12,,,,,,,,,08/12/2017,08/12/2017,420247.8641,304111.7081,7,376
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR004,,"Norris Bros, Lichfield Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR004.pdf,ETRS89,-1.697746009,52.63389558,0.2,not owned by a public authority,,not permissioned,,,,,20,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,420453.5466,304097.9445,8,348
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR002,,Land off Cottage Farm Road,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR002.pdf,ETRS89,-1.679685725,52.61042012,1.5,not owned by a public authority,,not permissioned,,,,,48,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,421687.2836,301492.1761,9,343
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR009,,Factory north of B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR009.pdf,ETRS89,-1.673704438,52.60993075,0.17,not owned by a public authority,,not permissioned,,,,,7,,,,,,,,,08/12/2017,08/12/2017,422092.4994,301439.5611,10,378
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR003,,Derelict buildings south of B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR003.pdf,ETRS89,-1.680520406,52.61090429,0.17,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,Site allocation in TBC LP 2006-2031.  Lapsed planning permission 0551/2007,08/12/2017,08/12/2017,421630.5321,301545.7765,11,344
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR006,,Northern Part of Beauchamp Employment Area,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR006.pdf,ETRS89,-1.675469959,52.61077836,1.04,not owned by a public authority,,not permissioned,,,,,34,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,421972.5374,301533.2967,12,357
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR012,,Amington Pub,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR012.pdf,ETRS89,-1.676138026,52.63210314,0.39,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,,08/12/2017,08/12/2017,421916.6518,303904.9306,13,448
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR013,,Car Park off Park Farm Road,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR013.pdf,ETRS89,-1.685090739,52.61860155,0.42,owned by a public authority,,not permissioned,,,,,34,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,421317.3573,302400.5379,14,462
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR014,,Fazeley Autocentre and Units behind,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR014.pdf,ETRS89,-1.697078588,52.62261767,0.52,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,,08/12/2017,08/12/2017,420503.9814,302843.7518,15,467
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR015,,"Sandyback Pub, Overwoods Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR015.pdf,ETRS89,-1.661144748,52.60095298,0.24,not owned by a public authority,,not permissioned,,,,,8,,,,,,,,,08/12/2017,08/12/2017,422947.5678,300444.9386,16,481
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR016,,"Staffs County Council Care Home, New Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR016.pdf,ETRS89,-1.664927479,52.60649977,0.5,owned by a public authority,,not permissioned,,,,,16,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,422688.5325,301060.6783,17,488
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR018,,"Seaton Hire Ltd and land to south, Wilnecote Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR018.pdf,ETRS89,-1.675854012,52.6152831,0.36,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,421944.2826,302034.2163,18,496
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR019,,"Royal Mail sorting office, Blythe Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR019.pdf,ETRS89,-1.683602762,52.62790017,0.39,mixed ownership,,not permissioned,,,,,14,,,,,,,,,08/12/2017,08/12/2017,421413.5451,303435.2128,19,497
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR020,,"Briers Scrapyard, Glascote",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR020.pdf,ETRS89,-1.677449135,52.62918242,0.31,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,,08/12/2017,08/12/2017,421829.3791,303579.6761,20,498
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR021,,"JE Harrison Depot, Moor Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR021.pdf,ETRS89,-1.680834164,52.63383254,0.15,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,,08/12/2017,08/12/2017,421598.0002,304095.8644,21,499
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR022,,Units North of Campion Drive,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR022.pdf,ETRS89,-1.687757717,52.62471382,0.16,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,,08/12/2017,08/12/2017,421133.8762,303079.5875,22,502
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR023,,"Treetops Garage, Dosthill",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR023.pdf,ETRS89,-1.682335339,52.60031796,0.38,not owned by a public authority,,not permissioned,,,,,6,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,421512.838,300367.7777,23,504
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR024,,"Club, Spinning School Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR024.pdf,ETRS89,-1.691699355,52.63546357,0.15,owned by a public authority,,not permissioned,,,,,12,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,420861.9772,304274.0756,24,507
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR025,,"Youth Centre, Albert Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR025.pdf,ETRS89,-1.691250829,52.63584027,0.21,owned by a public authority,,not permissioned,,,,,16,,,,,,,,Site allocation in TBC LP 2006-2031,08/12/2017,08/12/2017,420892.1484,304316.1039,25,509
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR026,,"Job Centre, Saxon Mill Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR026.pdf,ETRS89,-1.688422666,52.63231084,0.19,unknown ownership,,not permissioned,,,,,15,,,,,,,,,08/12/2017,08/12/2017,421085.218,303924.3682,26,511
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR027,,"Former railway goods yard, Wilnecote",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR027.pdf,ETRS89,-1.679277373,52.61263132,0.86,not owned by a public authority,,not permissioned,,,,,30,,,,,,,,site allocation in TBC LP 2006-2031.  Wilnecote regeneration corridor,08/12/2017,08/12/2017,421713.8378,301738.2377,27,521
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR028,,Beauchamp Employment Area,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR028.pdf,ETRS89,-1.677472043,52.61088868,0.63,not owned by a public authority,,not permissioned,,,,,18,,,,,,,,,08/12/2017,08/12/2017,421836.9303,301544.9596,28,535
http://opendatacommunities.org/doc/district-council/tamworth,Tamworth Borough Council,BR017,,"Profile Wrappers, Marlborough Way",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR017.pdf,ETRS89,-1.666040409,52.62547577,0.48,not owned by a public authority,,not permissioned,,,,,12,,,,,,,,Now Wake engineering.  Lapsed pp 0289/2008,08/12/2017,08/12/2017,422603.3986,303170.9218,29,489
