OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR001,,"""Land Bounded By Somerleyton Road, Coldharbour Lane And Railway""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.109462,51.460578,1.61,mixed ownership,yes,permissioned,full planning permission,2017-03-23,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTFJUBO0I800|https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRAVLBOJME00,,304,"“Demolition of existing buildings (with the exception of Carlton Mansions) and redevelopment to provide a residential-led, mixed use development comprising 304 new dwellings and non-residential uses including a theatre (Sui Generis) and employment, retail and community uses (Use class B1/D1/A1/A2).”","""Flexible retail/business/community use, including Children’s Centre and Nursery; Office space (Use Class B1a); Gym changing facilities (Use Class D2, 52 sqm) and Theatre (Use class Sui Generis, 3197 sqm).""",,,,,,Lambeth Local Plan allocated site (Site 14),2017-12-15,2017-12-15,531434,175206
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR002,,Higgs Industrial Estate,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.101398,51.465493,0.5,not owned by a public authority,yes,permissioned,full planning permission,2015-06-26,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NK2VQDBO0GI00,,124,Demolition of existing buildings. Mixed-use redevelopment providing five new build blocks (between 5 and 8 storeys in height) comprising class B1 and B2 floorspace and 124 residential units.,"""Use Classes B1 (office/light industry, 3257 sqm) and B2 (general industry, 376 sqm).""",,,,,,,2017-12-15,2017-12-16,531980,175767
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR003,,Fenwick Estate South,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.127122,51.463812,0.47,owned by a public authority,yes,permissioned,full planning permission,2017-02-10,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUTTNKBO0IB00,,55,"""Demolition of existing buildings and site clearance works to provide 55 social rented units (Use Class C3), a replacement community hall (Use Class D1), associated landscaping and parking.""","""Replacement community centre (Use Class D1), 294 sqm.""",,,,,,,2017-12-15,2017-12-17,530198,175534
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR004,,"""The Livity School, Mandrell Road""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.126124,51.455846,0.47,owned by a public authority,yes,permissioned,full planning permission,2014-03-24,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MAWRH6BO05N00,,43,Re-development of the site comprising the demolition of existing buildings and the erection of a 3 storey development to provide 43 residential units, ,,,,,,,2017-12-15,2017-12-18,530290,174650
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR005,,12-20 Wyvil Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.126494,51.481985,0.38,not owned by a public authority,yes,permissioned,full planning permission,2017-09-06,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCIUJFBO0GI00,,278,"“Demolition of existing buildings and redevelopment of the site to provide a residential-led mixed-use development in a part 1/part 5/part 35/36 storey building to the North/North East and an 8 storey building to the South (fronting onto Wyvil Road) comprising 278 residential units, office and retail floorspace.”","""Use Classes B1a (office, 1917 sqm) and A1/A2/A3 (flexible retail, 334 sqm).""",,,,,,Part of Lambeth Local Plan allocated site (Site 11),2017-12-15,2017-12-19,530190,177556
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR006,,93 King's Avenue,https://maps.london.gov.uk/brownfield-site-register,ETRS89,0.129232,51.452703,0.29,not owned by a public authority,yes,permissioned,full planning permission,2017-06-27,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONMVRYBOGKM00,,5,"""Redevelopment of the land to the rear of Peter's Court involving relocation of the sub-station, the demolition of the existing disused garages and erection  of five three-storey, 3 bedroom mews-style houses.""", ,,,,,,,2017-12-15,2017-12-20,530083,174295
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR007,,"""Olive Morris House, 18 Brixton Hill""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.118156,51.457805,0.28,owned by a public authority,yes,permissioned,full planning permission,2015-10-15,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NMX66CBOJX200,,74,"“Demolition of the existing council offices and the erection of a part 6, part 7 storey building comprising 74 residential units (Use Class C3) along with commercial floorspace (flexible A1/B1/D1/D2 use classes) at ground and basement levels plus an energy centre, car and cycle parking and a service bay at basement level, roof level installations and associated works.“","""Flexible commerical floorspace (Use classes A1/B1/D1/D2), 1280 sqm.""",,,,,,,2017-12-15,2017-12-21,530838,174882
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR008,,363-365 Clapham Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.127594,51.467074,0.23,not owned by a public authority,yes,permissioned,full planning permission,2016-08-19,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O347R3BOHZ300,,28,"“Demolition of 365 Clapham Road, and warehouse structure and northern wing of 363 Clapham Road. Refurbishment of Listed Building at 363 Clapham Road including mansard roof extension to create 1 x 1 bed, 1 x 2 bed and 1 x 3 bed flats. Erection of replacement buildings to either side of 363 Clapham Road to provide a further 2 x 1 bed, 3 x 2 bed, 2 x 3 bed residential units. Erection of new building to the rear of 363-365 Clapham Road providing B1 office space at ground and lower ground floor level. Upper floors to comprise 6 x 1 bed, 10 x 2 bed, and 2 x 3 bed flats.”","""Use Class B1a (office), 1478 sqm.""",,,,,,,2017-12-15,2017-12-22,530156,175896
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR009,,"""Texaco Garage, 36-46 Albert Embankment""",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.122679,51.489298,0.19,not owned by a public authority,yes,permissioned,full planning permission,2017-10-13,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2AEV2BO0GI00,,166,"""Demolition of all structures associated with the petrol filling station and redevelopment of the site to provide a residential-led, mixed use development, comprising the retention and refurbishment of Vintage house and development of ground plus 24 storeys in the form of two towers, linked at ground to fifth floor, and consisting of retail/restaurant use (Use Class A1/A3), office (Use Class B1) and 166 residential units.""","""Flexible retail/restaurant (Use Class A1/A3), 156sqm; offices (Use Class B1a), 2536 sqm.""",,,,,,,2017-12-15,2017-12-23,530434,178376
http://opendatacommunities.org/id/london-borough-council/lambeth,London Borough of Lambeth,BLR010,,340A Clapham Road,https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.126674,51.469497,0.19,not owned by a public authority,yes,permissioned,full planning permission,2017-06-21,https://planning.lambeth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OH7S7DBOFLE00,,62,"“Redevelopment of the site involving demolition of existing building and erection of a building up to 9 storeys in height plus basement level to provide offices (Use Class B1) at lower ground and ground floor, a cafe (Use Class A1) at ground floor and 62 residential units (Use Class C3) at upper floor levels.”","""Use Class A3 (Café, 390 sqm) and B1a (office, 1500 sqm).""",,,,,,,2017-12-15,2017-12-24,530213,176167
