OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NewDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR011,,"""Site of High Level Works, Pellon Lane, Pellon, Halifax""",,ETRS89,-1.883150477,53.72948753,0.38,not owned by a public authority,Yes,permissioned,outline planning permission,17/06/2016,,,34,Demolition of vacant industrial units and construction of 34 dwellings,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR012,,"""Vale School House, Burnley Road, Cornholme, Todmorden""",,ETRS89,-2.137512809,53.73280117,0.15,not owned by a public authority,Yes,permissioned,full planning permission,03/03/2011,,,6,Retention of the existing house and change of use of the former school to form six houses including external alterations,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR013,,"""Ryburn Polythene Limited, Oldham Road, Ripponden, Sowerby Bridge""",,ETRS89,-1.94801846,53.66806498,0.08,not owned by a public authority,Yes,permissioned,full planning permission,08/12/2015,,,13,Conversion of existing mill to form 13 apartments (amended plan),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR014,,"""Site of Scar Bottom Mill, Scar Bottom Lane, Greetland, Elland""",,ETRS89,-1.886231929,53.68790313,0.17,not owned by a public authority,Yes,permissioned,full planning permission,20/07/2011,,,6,Residential development of six dwellings (Amended part scheme relating to 00/00916/FUL),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR015,,"""Victoria Works, Dean Street, West Vale, Elland""",,ETRS89,-1.857352126,53.68565838,0.07,not owned by a public authority,Yes,permissioned,full planning permission,18/11/2015,,,7,Residential development of seven dwellings,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR017,,"""Baxter Lane Works, Baxter Lane, Northowram, Halifax""",,ETRS89,-1.833542739,53.74043603,0.05,not owned by a public authority,Yes,permissioned,full planning permission,04/03/2014,,,5,Conversion of disused Engineering Works to form 5 dwellings and extension to South elevation,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR018,,"""Wheatley Wells Inn, 106-112 Wheatley Road, Wheatley, Halifax""",,ETRS89,-1.885726591,53.73585046,0.02,not owned by a public authority,Yes,permissioned,full planning permission,28/06/2013,,,5,Conversion of former public house to form 5 dwellings,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR019,,"""8-12 Cross Hills, Halifax""",,ETRS89,-1.860334686,53.7268851,0.02,not owned by a public authority,Yes,permissioned,full planning permission,28/01/2014,,,27,Conversion of former restaurant to 27 bedsits and construction of stairway,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR020,,"""Garage site adjacent to Dodge Holme Court, Dodge Holme Close, Mixenden, Halifax""",,ETRS89,-1.901283762,53.74703407,0.07,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR021,,"""Exley Park PH, Park Lane, Siddal, Halifax""",,ETRS89,-1.850941481,53.6998191,0.1,not owned by a public authority,Yes,permissioned,full planning permission,15/04/2016,,,7,Demolition of former public house to facilitate residential development of seven townhouses,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR022,,"""Land at Abbey Park, Illingworth, Halifax""",,ETRS89,-1.897335226,53.75640567,2.25,not owned by a public authority,,not permissioned,,,,,77,,,,,,,,,30/11/2017,30/11/2017
