OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,OSReferenceSystem,Easting,Northing
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,15/00578/FUL,,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ
",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,ETRS89,1.156828,51.789301,0.16,Not owned by a public authority,,pending decision,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001GB1QBLI000,,23,"Demolition of all existing buildings (use classes C1 Hotels, A3 Restaurants, A4 Drinking Establishments and Sui Generis Nightclub). Construction of building fronting Rosemary Road containing three A1 retail/A3 restaurant units at ground floor with 17 holiday flats above; Construction of 34 holiday flats in an up to six storey building to the rear; and construction of basement cycle and car parking access from rear service road (off Beach Road), and egress onto Rosemary Road.",,,,,,,,2018-01-15,2018-01-15,OSGB36,617687.21,214835.84
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,15/00615/FUL,,"20 - 20B Market Street, Harwich CO12 3DX",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,ETRS89,1.289262,51.9462,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,2015-06-16,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001EL0QBLI000,,3,"Demolition of existing building (retail ground floor & residential 1st, 2nd, 3rd floors) and replacement with new residential 4 storey building providing  8 proposed apartments.",,,,,,,,2018-01-15,2018-01-15,OSGB36,626028.76,232681.79
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,17/01038/FUL,,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ORY6F4QB0EL00,ETRS89,1.271002,51.848196,0.07,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-08-16,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJAEN0QB03B00,,8,"Demolition of existing commercial building and erection of new building containing  8 No. flats and 1 No. retail unit (Use Classes A1, A2 and A3), with associated parking, cycle and bin- stores",,,,,,,,2018-01-15,2018-01-15,OSGB36,625264.25,221730.33
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,17/01048/FUL,,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,ETRS89,1.15832,51.841011,0.46,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-09-27,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000F5JQBLI000,,7,Proposed conversion to 8 no. apartments. Change of use from C2 to C3.,,,,,,,,2018-01-15,2018-01-15,OSGB36,617540.76,220588.87
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,16/01358/FUL,,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,ETRS89,1.11836,51.77336,0.02,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-02-02,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000MBIQBLI000,,7,Demolition of existing fire damaged building and erection of new block of flats.,,,,,,,,2018-01-15,2018-01-15,OSGB36,615111.03,212949.37
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,11/01124/FUL,,723 Main Road Harwich Essex ,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,ETRS89,1.245941,51.929875,0.1,Not owned by a public authority,,Not Permissioned,,2012-01-17,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001F68QBLI000,,9,Demolition of existing buildings and construction of 9 one bedroom flats.,,,,,,,Permission granted - expired 17.01.2015. Demolition completed.,2018-01-15,2018-01-15,OSGB36,623133.69,230733.14
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,15/01575/FUL,,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NW7EX1QB0GS00,ETRS89,1.210781,51.926884,0.62,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-06-02,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MBL014QB03B00,,8,Redevelopment of site with eight dwellings.,,,,,,,,2018-01-15,2018-01-15,OSGB36,620731.94,230293.33
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,17/01479/FUL,,"2 High Street, Manningtree, Essex CO11 1AD",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,ETRS89,1.064189,51.944707,0.04,Not owned by a public authority,Yes,Permissioned,Full planning permission,2017-11-10,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001E5JQBLI000,,7,"Alterations and extensions of existing vacant bank premises, to provide a retail unit and change of use to multi-residential accommodation. (1 Retail Unit, 6 Flats and 1 House).",,,,,,,,2018-01-15,2018-01-15,OSGB36,610573.05,231840.07
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,14/00693/FUL,,"70-84A Connaught Avenue, Frinton",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6A5IUQB0G400,ETRS89,1.247233,51.832491,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,2014-07-15,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MM0U3RQB03B01,,8,"Demolition of existing buildings and redevelopment of site to provide retail units (use class A1) at ground floor level, eight two - bedroom residential units (use class C3) at first and second floor level, and associated parking and works.",,,,,,,,2018-01-15,2018-01-15,OSGB36,623705.71,219911.08
http://opendatacommunities.org/id/district-council/tendring,Tendring District Council,15/01791/FUL,,"79 Stour Road, Harwich",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,ETRS89,1.28496,51.940505,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,2016-03-22,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012RFQBLI000,,8,Erection of 8 x one bed flats,,,,,,,,2018-01-15,2018-01-15,OSGB36,625761.82,232035.35
