OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR001,,"""1a Wellington Avenue, Sidcup""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/1a-Wellington-Avenue-Sidcup_0.pdf,ETRS89,51.450165,0.103246,0.02,not owned by a public authority,yes,permissioned,full planning permission,14/07/2015,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027G9BELI000,,5,Demolition of existing office building and erection of a three storey residential building providing five studio apartments with associated bin store and provision of three parking spaces and bike parking area.,,,,,,,15/00999/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR002,,"""1st Floor, 234-236 Broadway, Bexleyheath""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/1st-floor-118-and-120-Welling-High-Street-Welling_0.pdf,ETRS89,51.457821,0.137412,0.02,not owned by a public authority,yes,permissioned,other,31/10/2014,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002BQPBELI000,,5,Prior approval for the change of use of the first floor from Class B1(a) to residential flats Class C3 (dwellinghouses).,,,,,,,14/01611/PRIOR,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR003,,"""The Former Pop In Parlour, Cornelia Place, Erith""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/The-former-Pop-in-Parlour-Cornelia-Place-Erith_0.pdf,ETRS89,51.479028,0.179809,0.03,not owned by a public authority,yes,permissioned,full planning permission,07/10/2016,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00027LBELI000,,5,Erection of a part two/part three storey building to provide 3 x 1 bed and 2 x 2 bed flats.,,,,,,,16/01807/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR004,,"""Ground Floor, 76 & 78 Crayford High Street, Crayford"" ",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Ground-floor-76-and-78-Crayford-High-Street-Crayford_0.pdf,ETRS89,51.453438,0.177654,0.03,not owned by a public authority,yes,permissioned,other,23/05/2017,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002FIKBELI000,,5,Prior notification for the change of use from storage (Class B8) to 5 studio flats (Class C3).,,,,,,,17/00781/PRIOR,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR005,,"""Land to the rear of, 89 Sidcup High Street, Sidcup""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-to-the-rear-of-89-Sidcup-High-Street-Sidcup_0.pdf,ETRS89,51.426664,0.101389,0.05,not owned by a public authority,yes,permissioned,full planning permission,24/06/2014,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JJGRRHBE50001,,5,Roof extension to existing building to form an additional 2 bedroom flat with new glazed openings to existing south elevation.  Erection of one residential block to rear comprising of 3x2 bedroom and 1x1 bedroom flats with communal roof terrace.,,,,,,,09/01442/FUL01,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR006,,"""61-63 Lion Road, Bexleyheath""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/61-to-63-Lion-Road-Bexleyheath_0.pdf,ETRS89,51.456332,0.136162,0.05,not owned by a public authority,yes,permissioned,full planning permission,01/02/2016,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029S0BELI000,,5,"Demolition of existing buildings and erection of two apartment blocks providing 5 apartments comprising 3 x 2 bed and 2 x 1 bed apartments. Provision of 3 car parking spaces, cycle and bin store and amenity areas.",,,,,,,15/02772/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR008,,"""41 Halfway Street, Sidcup""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/41-Halfway-Street-Sidcup_0.pdf,ETRS89,51.437118,0.098618,0.06,not owned by a public authority,yes,permissioned,full planning permission,07/06/2016,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OVYHQ2BE0MU01,,5,Demolition of existing dwelling and erection of a three storey block comprising 2 x 1 bed and 3 x 2 bed apartments with parking and amenity space.,,,,,,,16/00689/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR011,,"""17 Perry Street, Crayford""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/17-Perry-Street-Crayford_0.pdf,ETRS89,51.462491,0.180705,0.08,not owned by a public authority,yes,permissioned,full planning permission,19/04/2017,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0025W5BELI000,,5,Erection of Part 2/Part 3 storey side and rear extension to provide 4 x 2 bed residential units with dormers to the rear and associated works including the provision of off-street parking spaces.,,,,,,,16/01991/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR012,,"""33 Station Road, Sidcup""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/33-Station-Road-Sidcup_0.pdf,ETRS89,51.428997,0.101166,0.1,not owned by a public authority,yes,permissioned,full planning permission,11/11/2016,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001SG0BELI000,,5,Alterations and single storey rear extension to provide 5 units of accommodation comprising 3 x 2 bed and 2 x 1 bed flats with associated amenity space.,,,,,,,16/01910/FUL,07/12/2017,07/12/2017
http://opendatacommunities.org/id/london-borough-council/bexley,London Borough of Bexley,BLR013,,"""48 Iron Mill Lane, Crayford""",http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/48-Iron-Mill-Lane-Crayford_0.pdf,ETRS89,51.454669,0.18062,0.17,not owned by a public authority,yes,permissioned,full planning permission,08/07/2016,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ULNBELI000,,5,"Erection of 5 x 3 bed terraced dwellings with new access, associated parking, landscaping, cycle and refuse storage and ancillary works.",,,,,,,16/00602/FUL,07/12/2017,07/12/2017
