OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H252a,,"Yeo Valley, Axbridge Road",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=344606.27&y=154674.83&zoom=10,OSGB36,344606.27,154674.83,3.41,not owned by a public authority,,not permissioned,,,,,50,Has been promoted for reuse for a mixed use scheme including retaining employment uses as well as an element of residential development to make redevelopment viable. ,A signficiant proportion of the site would be expected to be retained for employment use. ,,,,,,Redevelopment will need to particularly consider the implications of being located within the AONB and the Bat Consultation Zone. ,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H255,,"Land between 21 and 35 Monmouth Street and to the rear of, Church Street, Bridgwater ",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330336.75&y=137233.13&zoom=10,OSGB36,330336.75,137233.13,0.4,not owned by a public authority,yes,permissioned,full planning permission,2015-03-31,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/13/00133,,37,"Erection of 37 dwellings, formation of access, parking and landscaping ",,,,,,,Existing extant consent reference 08/13/00133.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H260b,,"Commercial Building, 93 - 97, Bath Road, Bridgwater, TA64PN ",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330717.81&y=137620.33&zoom=10,OSGB36,330717.81,137620.33,0.04,not owned by a public authority,yes,permissioned,full planning permission,2014-12-19,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/14/00139,,7,"Erection of building to form seven flats, bin and cycle storage areas on site of redundant commercial building (to be demolished)",,,,,,,Existing extant consent reference 08/14/00139.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H262,,"On land at, The Old Tile Works, All Saints Terrace, Bridgwater, TA6 5JQ ",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330774.05&y=136783.13&zoom=10,OSGB36,330774.05,136783.13,0.26,not owned by a public authority,,not permissioned,,,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/11/00244,,6,Erection of six dwellings with associated parking and formation of access,,,,,,,08/11/00244 now expired but site still actively promoted. ,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H265b,,"The Hope Inn, 80-82 Taunton Road, Bridgwater, TA6 6AF",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330112.73&y=136322.8&zoom=10,OSGB36,330112.73,136322.8,0.17,not owned by a public authority,yes,permissioned,full planning permission,2016-09-23,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/15/00196,,22,"Demolition of the existing Public House (Use Class A4) with ancillary dwelling (Use Class C3), with the erection of blocks of 22 apartments (7 one-bedroom and 15 two-bedroom flats) with associated parking, cycle stores, refuse storage and amenity space.",,,,,,,Existing extant consent reference 08/15/00196.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H266a,,"Former Bridgwater Cattle Market, Bath Road, Bridgwater",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330717.35&y=137784.72&zoom=10,OSGB36,330717.35,137784.72,2.01,owned by a public authority,yes,pending decision,,,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/16/00165,,100,Amended proposal for 159 dwellings has resolution to grant subject to section 106 agreement. ,,,,,,https://www.sedgemoor.gov.uk/1247,Application 08/16/00165 for 159 dwellings also includes adjacent areas considered to be greenfield. The brownfield element amounts to approximately 100 dwellings. ,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H266b,,"Former abattoir site, Bath Road, Bridgwater",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330800.45&y=137857.17&zoom=10,OSGB36,330800.45,137857.17,0.5,not owned by a public authority,,not permissioned,,,,,13,Identifed as an area for future residential development in the Council's East of the A38 Development Brief and Design Principles Document. ,,,,,,https://www.sedgemoor.gov.uk/1247,Refer to East of A38 Development Brief for further information.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H268,,"The Mill (formerly Bigwood & Staple), Church Street, Bridgwater",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330183.93&y=137390.1&zoom=10,OSGB36,330183.93,137390.1,0.22,not owned by a public authority,yes,permissioned,full planning permission,2013-09-03,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/08/00006,,86,"Erection of 70 1-bed apartments and 16 2-bed apartments contained within one, part three storey, part four storey building and basement parking.",,,,,,,Existing extant consent reference 08/08/00006.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H271,,"The Old Mill, 118 Chilton Street, Bridgwater, Somerset, TA6 3HY",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=329761.74&y=138104.65&zoom=10,OSGB36,329761.74,138104.65,0.16,not owned by a public authority,yes,permissioned,full planning permission,1995-05-30,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/94/00183,,17,"Demolition of unstable buildings on site, renovation and conversion of existing mill building to 12 one-bed flats and 1 one-bed maisonette and conversion of barn at rear of site to form 4 one-bed maisonettes.",,,,,,,Existing extant consent reference 08/94/00183. Construction underway in latest residential monitoring,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H275,,"Former Bridgwater Community Hospital, Salmon Parade, Bridgwater, TA6 5AH",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=330194.58&y=137004.07&zoom=10,OSGB36,330194.58,137004.07,0.89,owned by a public authority,yes,permissioned,full planning permission,2016-11-08,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=08/16/00009,,3,Conversion and extension of former Dental Surgery to three dwellings,"Wider redevelopment includes hotel, restaurant and day nursery. ",,,,,,Existing extant consent reference 08/16/00009.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H280a,,"Land at, Newtown Road, Highbridge",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=331501.46&y=147395.89&zoom=10,OSGB36,331501.46,147395.89,2.57,not owned by a public authority,yes,permissioned,outline planning permission,2014-12-18,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=11/07/00192,,100,"Residential development, formation of access, parking and landscaping",,,,,,,Existing extant consent reference 11/07/00192.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H280b,,"Land to the west of, 67, Clyce Road, Highbridge, TA9 3DL",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=331375.54&y=147324.86&zoom=10,OSGB36,331375.54,147324.86,1.21,not owned by a public authority,yes,permissioned,outline planning permission,2015-01-27,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=11/11/00131,,85,Erection of 85 houses.,Flood Defence works. ,,,,,,Existing extant consent reference 11/11/00131.,2017-11-27,2017-11-27
http://opendatacommunities.org/id/district-council/sedgemoor,Sedgemoor District Council,H281b,,"Land at, Highbridge Hotel, Huntspill Road, Highbridge, TA9 3DD",http://webmaps.sedgemoor.gov.uk/connect/analyst/mobile/#/main?mapcfg=brownfield_register&x=331807.63&y=147162.14&zoom=10,OSGB36,331807.63,147162.14,0.18,not owned by a public authority,yes,permissioned,full planning permission,2013-12-03,http://www.sedgemoor.gov.uk/Planning_Online/Details.aspx?App=11/13/00028,,22,Redevelopment of former hotel to provide 22 units of affordable accommodation for younger people. ,,,,,,,Existing extant consent reference 11/13/00028. Development has already been commenced with the market element of the wider site already built out. ,2017-11-27,2017-11-27
