OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,OSGB36,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,AB17,,"Former working men's club, New Road, Audley",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,OSGB36,380500.04,350966.03,0.33,owned by a public authority,yes,permissioned,full planning permission,2016-05-27,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?keyVal=NSLI1MBMGW500&activeTab=summary,,12,Erection of 12 houses,,,,,,,15/0692/FUL,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,BL24,,"Land adjacent 31 Banbury Street, Talke",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MZJMHBBM4V000,OSGB36,382763.99,354225.54,0.27,not owned by a public authority,yes,permissioned,full planning permission,2016-03-14,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MZJMHBBM4V000,,13,"Erection of 13 new dwellings with associated access road, parking and landscaping",,,,,,,14/00027/FUL ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,BL25,,"Methodist Church, Chapel Street, Butt Lane",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3VI2EBM4V000,OSGB36,382709.62,354579.04,0.1,not owned by a public authority,,not permissioned,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N3VI2EBM4V000,,10,,,,,,,,Site lapsed residential planning permission 14/00266/FUL ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,BL8,,"Land to the south of West Avenue, Kidsgrove",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,OSGB36,382320.75,354379.67,1.41,not owned by a public authority,yes,permissioned,outline planning permission,2016-09-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNMN7MBMN3F00,,44,"Outline planning application for residential development for 44 dwellings at West Avenue, Kidsgrove (Phase 4) ",,,,,,,15/00368/OUT ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,CH4,,"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,OSGB36,383733.27,347403.55,8.7,not owned by a public authority,yes,permissioned,other,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONOB4WBMK6800,,276,"Development of 276 dwellings, public open space and associated infrastructure works",,,,,,,There is a resolution to grant planning permission 17/00281/FUL,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,CT13,,"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",https://www.newcastle-staffs.gov.uk/sites/default/files/IMCE/Planning/Planning_Policy/NonLocal/CT13.pdf,OSGB36,383261.93,349639.24,0.1,not owned by a public authority,,not permissioned,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JKJST1BM03T00,,5,,,,,,,,Part of lapsed mixed use residential permission 07/00620/OUT ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,CT22,,Ex Servicemens Club Heathcote Street,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,OSGB36,383301.66,349652.16,0.31,not owned by a public authority,,permissioned,full planning permission,2017-09-28,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQ3EWWBMH0G00,,14,Proposed residential development of 14 dwellings,,,,,,,17/00417/FUL,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,CT23,,"Corona Park, Sandford Street, Chesterton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7AIQNBM4V000,OSGB36,383316.01,349573.70,0.3,not owned by a public authority,yes,permissioned,full planning permission,2010-12-07,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?keyVal=L7AIQNBM4V000&activeTab=summary,,8,Erection of 16 terraced dwellings (Amended Description) ,,,,,,,10/00480/FUL - Development commenced 8 completed.,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,HD18,,"London Road, Chesterton (Bennett Arms)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KGT5XUBM06A00,OSGB36,383898.49,348500.06,0.15,not owned by a public authority,,not permissioned,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?keyVal=KGT5XUBM06A00&activeTab=summary,,7,,,,,,,,09/00155/FUL  - lapsed permisison for 7 dwellings ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,HD25,,"Midland House, London Road, Chesterton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OAVL23BMIW400,OSGB36,383429.56,348978.90,0.16,not owned by a public authority,yes,permissioned,reserved matters approval,2016-09-19,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OAVL23BMIW400,,14,Application for approval of the reserved matter of landscaping pursuant to outline planning permission granted on appeal 10th September 2013 for demolition of existing industrial building and erection of 14 dwellings and retail/commercial units ,,,,,,,16/00623/REM ,2017-12-18,2017-12-18
http://opendatacommunities.org/id/district-council/newcastle-staffs,Newcastle-under-Lyme Borough Council,HM3,,"Wrinehill Garage, Main Road, Betley",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=J7L744BMX0000,OSGB36,375406.14,346942.86,0.16,not owned by a public authority,,permissioned,full planning permission,2007-01-15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?keyVal=J7L744BMX0000&activeTab=summary,,7,"
7 residential units ",,,,,,,06/00984/FUL,2017-12-18,2017-12-18
