OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,IDOX_Reference,UPRN,CoordinateReferenceSystem2,GeoX_2,GeoY_2,CoordinateReferenceSystem3,GeoX_3,GeoY_3,SCC_Ward,SCC_Regeneration,SCC_SubArea,SHLAA_CapacityApprox
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,18,,42-45 Nile Street,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.376472,54.906179,0.06,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,09/12/2016,www.sunderland.gov.uk/online-applications,,54,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19101/Strategic-Land-Review-East-2016-/pdf/14D_Strategic_Land_Review_East_(2016).pdf|https://www.sunderland.gov.uk/media/8703/Sunniside-Planning-and-Design-Framework-2008/pdf/Sunniside_Planning_and_Design_Framework_2008.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Permitted application ref. 16/00748/FU4. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,16/00040/SHLAA,,OSGB36,440079,557006,WGS84,-1.376472,54.906179,HENDON,Sunderland East,Sunderland Central,54
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B056,56,"High Usworth School, Well Bank Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.533492,54.918358,0.65,Mixed Ownership,Yes,Permissioned,Full Planning Permission,14/06/2017,www.sunderland.gov.uk/online-applications,,17,,,,,,,https://www.sunderland.gov.uk/media/19093/SHLAA-Appendices-Washington/pdf/13a_SHLAA_Appendices_-_Washington.pdf|https://www.sunderland.gov.uk/media/19102/Strategic-Land-Review-Washington-2016-/pdf/14E_Strategic_Land_Review_Washington_(2016).pdf,"""Permitted application ref. 16/02266/FU4""",30/06/2016,30/11/2017,16/00103/SHLAA,45070316,OSGB36,430002,558283,WGS84,-1.533492,54.918358,WASHINGTON WEST,Washington,Washington,17
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,54,,"Former Eagle Public House, Portsmouth Road",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.441783,54.89645,0.19,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,10/08/2016,www.sunderland.gov.uk/online-applications,,9,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf,"""Permitted application ref. 16/00509/FUL""",30/11/2017,30/11/2017,16/00003/SHLAA,,OSGB36,435900,555888,WGS84,-1.441783,54.89645,ST ANNES,Sunderland West,Sunderland South,9
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B062,62,Ryhope & Cherry Knowle Hospital,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.374281,54.861397,27.67,Mixed Ownership,Yes,Permissioned,Other,26/06/2017,www.sunderland.gov.uk/online-applications,,688,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19101/Strategic-Land-Review-East-2016-/pdf/14D_Strategic_Land_Review_East_(2016).pdf|https://www.sunderland.gov.uk/SSGA,"""Permitted hybrid application ref. 16/01524/HYB - Full Planning Permission for 304 dwellings, with Outline Planning Permission for 496 dwellings and an 80-bed care village. Part of South Sunderland Growth Area masterplan (Cherry Knowle) and draft SPD""",30/11/2017,30/11/2017,16/00044/SHLAA,,OSGB36,440264,552024,WGS84,-1.374281,54.861397,RYHOPE,Sunderland East,Sunderland South,764
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,70,,"Site of Foundry (The Forge, Pallion)",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.411003,54.910395,1.32,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,21/09/2016,www.sunderland.gov.uk/online-applications,,43,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf,"""Permitted application ref. 15/02375/FUL""",30/11/2017,30/11/2017,16/00004/SHLAA,,OSGB36,437861,557456,WGS84,-1.411003,54.910395,PALLION,Sunderland West,Sunderland South,43
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B078,78,Farringdon Row Phases 2-4,https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.393119,54.912014,1.99,Mixed Ownership,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,49,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19101/Strategic-Land-Review-East-2016-/pdf/14D_Strategic_Land_Review_East_(2016).pdf|https://www.sunderland.gov.uk/article/13177/Farringdon-Row-Development-Framework-Adopted-July-2006|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Part of Farringdon Row Development Framework SPD and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,16/00049/SHLAA,,OSGB36,439006,557646,WGS84,-1.393119,54.912014,MILLFIELD,Sunderland East,Sunderland Central,54
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,080A,,"Stadium Village, Sheepfolds Central",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.386383,54.912467,1.25,Mixed Ownership,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,45,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf|https://www.sunderland.gov.uk/media/8707/Stadium-Village-Development-Framework-2010/pdf/Stadium_Village_Development_Framework_2010.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,16/00148/SHLAA,,OSGB36,439438,557633,WGS84,-1.386383,54.912467,SOUTHWICK,Sunderland North,Sunderland Central,50
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,080B,,"Stadium Village, Sheepfolds East",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.38465,54.911954,0.9,Mixed Ownership,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,63,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf|https://www.sunderland.gov.uk/media/8707/Stadium-Village-Development-Framework-2010/pdf/Stadium_Village_Development_Framework_2010.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,16/00148/SHLAA,,OSGB36,439549,557644,WGS84,-1.38465,54.911954,SOUTHWICK,Sunderland North,Sunderland Central,70
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,B080C,080C,"Stadium Village, Sheepfolds Cliff Top",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.385584,54.911051,0.92,Mixed Ownership,Yes,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,54,,,,,,,https://www.sunderland.gov.uk/media/19096/SHLAA-Appendices-Sunderland-Central/pdf/13a_SHLAA_Appendices_-_Sunderland_Central.pdf|https://www.sunderland.gov.uk/media/19090/Strategic-Land-Review-North-2016-/pdf/14B_Strategic_Land_Review_North_(2016).pdf|https://www.sunderland.gov.uk/media/8707/Stadium-Village-Development-Framework-2010/pdf/Stadium_Village_Development_Framework_2010.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf|https://www.sunderland.gov.uk/media/7320/Central-Area-Urban-Design-Strategy-SPD/pdf/cauds_july08.pdf,"""Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD""",30/11/2017,30/11/2017,,,OSGB36,439490,557543,WGS84,-1.385584,54.911051,SOUTHWICK,Sunderland North,Sunderland Central,60
http://www.opendatacommunities.org/id/metropolitan-district-council/sunderland,Sunderland,85,,"Former Groves Site, Woodbine Terrace, Pallion",https://www.sunderland.gov.uk/article/12739/Brownfield-Land-Register,ETRS89,-1.424707,54.914136,31.65,Not owned by a public authority,,Not Permissioned,,,www.sunderland.gov.uk/online-applications,,630,,,,,,,https://www.sunderland.gov.uk/media/19094/SHLAA-Appendices-Sunderland-South/pdf/13a_SHLAA_Appendices_-_Sunderland_South.pdf|https://www.sunderland.gov.uk/media/19089/Strategic-Land-Review-West/pdf/14C_Strategic_Land_Review_West.pdf|https://www.sunderland.gov.uk/article/13180/Groves-Cranes-framework-Adopted-September-2011,"""Part of Groves Development Framework. Intention for developer to submit planning application for 700 dwellings""",30/11/2017,30/11/2017,16/00006/SHLAA,,OSGB36,436979,557865,WGS84,-1.424707,54.914136,PALLION,Sunderland West,Sunderland South,700
