OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0152,,"''Area around Chalfont and Latimer Station, Little Chalfont''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.56,499590.15,197548.8778,0.62,not owned by a public authority,,not permissioned,,,,25,,,25,31,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0153,,"''68 to 78 Elizabeth Avenue, Little Chalfont''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.57,499179.35,197969.1412,0.26,not owned by a public authority,Yes,permissioned,full planning permission,15-Jul-15,,7,Redevelopment of site to provide a terrace of four dwellings and a three storey building comprising two retail units and six flats with associated  vehicular accesses and parking,,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0155,,"''206 White Lion Road, Little Chalfont''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.57,499291.81,197496.8888,0.22,not owned by a public authority,Yes,permissioned,full planning permission,05-Oct-15,,17,Redevelopment of site to provide 18 affordable housing units served by a new vehicular access off Applefields and laying of associated hardstanding,,,,The site is currently under construction,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0156,,"''Rear of St Georges Church, White Lion Road, Little Chalfont''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.58,498511.48,197836.3691,0.41,not owned by a public authority,Yes,pending decision,,,,6,"Hybrid planning application comprising: i) application for full planning permission for single storey front, side and rear extensions, part single storey/part first floor side extension to church building, landscaping and vehicular access: and ii) application for outline planning permission for layout and means of access only for a residential development comprising of 5 houses and 6 flats with all other matters reserved.",,6,10,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0160,,"''67 - 75 Sycamore Road, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.61,496458.01,198655.6455,0.16,not owned by a public authority,Yes,permissioned,full planning permission,05-Aug-16,,34,"Redevelopment of site to facilitate erection of a mixed use building comprising ground floor retail (Use Class A1) with associated access parking, servicing and residential accommodation (Use Class C3) on the first, second and third floors comprising 35 studio, 1 and 2 bed flats, associated access, basement parking and private communal amenity space",,,,The site is currently under construction,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0174,,"''Land Adjoining Chesham Station, Station Road''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.61,496092.96,201659.4228,0.18,not owned by a public authority,,not permissioned,,,,7,,,7,13,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0189,,"''Hillcrest Court, Chesham Road''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.61,496332.19,198390.7464,0.23,not owned by a public authority,Yes,permissioned,full planning permission,08-Jun-15,,14,"Part single storey, part four storey front extension, three storey side extension and roof extension to the Chesham Road part of the building, extension to roof with dormers to Hill Avenue part of building, alterations to fenestration, addition of balconies, refurbishment of buildings and change of use to provide 31 dwellings (Use Class C3)","As well as two retail units (Use Class A1) one restaurant/bar unit (Use Class A3/A4) with use of existing forecourt for outdoor seating area, served by existing access from Chesham Road",,,The site is currently under construction,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0197,,"''Sycamore House, 1 Woodside Road, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.60,496558.42,198649.0083,0.34,not owned by a public authority,Yes,permissioned,full planning permission,13-Apr-15,,8,"Change of use of first and second floor gymnasium (Use Class D2) to provide eight apartments (5x2 bed, 3x1 bed), extension to enclose stairwell, first floor/second floor rear extension and new balconies and associated parking",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0205,,"''Metro House, 37 to 47 Woodside Road, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.60,496649.84,198611.9934,0.07,not owned by a public authority,Yes,permissioned,other,28-May-14,,6,"Prior Notification Under Class J of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) Order 1995, as amended - change of use of first and second floors from office (use class b1(a)) to eleven residential units (use class c3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0206,,"''1st and 2nd Floor Risborough House, 38 - 40 Sycamore Road, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.61,496467.83,198536.2614,0.15,not owned by a public authority,Yes,permissioned,other,13-Mar-15,,6,"Prior Notification Under Class J of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) Order 1995, as amended - change of use of first and second floors from office (Use Class B1(a)) to six residential units (use class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0209,,"''Newland Park, Gorelands Lane, Chalfont St Giles''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.63,-0.54,501172.05,193655.6063,41.56,not owned by a public authority,Yes,permissioned,full planning permission,29-Jul-16,,306,"Redevelopment of site to provide 309 dwellings (Use Class C3), including new build, conversion of existing student housing blocks, Grade II listed manor house and associated buildings","Erection of new fitness centre, sports facilities building (Use Class D1), sports pitches and associated landscaping",,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0211,,"''90 Asheridge Road, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.72,-0.62,495350.90,202773.9505,2.73,not owned by a public authority,Yes,pending decision,,,,80,"Redevelopment of the site comprising demolition of existing substation and provision of 142 residential units (Use Class C3), car parking, landscaping and associated works","Provision of business space within development (Use Class B1),",80,142,The office element of the consented scheme is protected by condition,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0230,,"''28-32 High Street, Great Missenden''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.70,-0.71,489367.44,201380.6475,0.08,not owned by a public authority,Yes,permissioned,full planning permission,28-May-15,,5,Construction of second storey extension and two new stairwells to provide 5 new dwellings and access. External alterations at first floor level and demolition of garage block,,,,The site is currently under construction,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0247,,"''Milton Court, Churchfield Road, Chalfont St Peter''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.56,499894.09,190816.5396,0.02,not owned by a public authority,Yes,permissioned,other,17-Nov-15,,6,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of use from office (use class B1(a)) to eight residential units (use class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0384,,"''Victoria House, Victoria Road, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.61,496178.57,201946.6392,0.01,not owned by a public authority,Yes,permissioned,other,01-Sep-15,,7,"Prior Notification under Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of use from storage or distribution buildings (Use Class B8) to seven residential units (Use Class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0386,,"''66 and 68 Penn Road, Knotty Green''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.62,-0.65,493585.83,192044.429,0.31,not owned by a public authority,Yes,permissioned,outline planning permission,26-Jul-16,,6,"Demolition of existing dwellings and erection of a detached residential building comprising eight flats, basement parking, hardstanding, bin store and entrance gate",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0387,,"''Rear of 64 Whielden Street and 1-3 Alpha Court, Old Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.66,-0.62,495672.08,197027.2539,0.23,not owned by a public authority,Yes,permissioned,full planning permission,03-Oct-16,,6,"Redevelopment of site to facilitate erection of eight dwellings, creation of new vehicular access with associated hardstanding and landscaping",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0390,,"''The Old Exchange, 23 New Pond Road, Holmer Green''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.69,490369.93,197179.7475,0.10,not owned by a public authority,Yes,permissioned,full planning permission,06-Jun-16,,5,"Change of use from Office building Use Class B1(a) to residential Use Class C3, to create four two-bed flats and one single-bed flat, fenestration alterations, extension of porch to provide canopied walkway, hard and soft landscaping",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0391,,"''Churchfield House, Churchfield Road, Chalfont St Peter''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.56,499869.44,190799.7606,0.04,not owned by a public authority,Yes,permissioned,other,30-Nov-15,,6,"Prior Notification Under i) Class O and ii) Class P of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from i) part office (Use Class B1(a)) and from ii) part storage and distribution (use class B8) to a total of six residential units (Use Class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0419,,"''Hillcroft, 72 Penn Road, Knotty Green''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.62,-0.65,493540.34,192124.5074,0.30,not owned by a public authority,Yes,permissioned,full planning permission,19-Aug-16,,6,"Redevelopment of site to provide one building comprising eight apartments, with basement parking, bin store and entrance gates, served by new vehicular access to Penn Road",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0420,,"''7 Station Road, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.61,496052.18,201696.2968,0.03,not owned by a public authority,Yes,permissioned,full planning permission,28-Jul-16,,6,"Demolition of existing building and erection of new three storey building to provide six flats, associated car parking, bin store and security gates",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0422,,"''132 High Street, Chesham, ''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.61,496028.14,201867.4039,0.01,not owned by a public authority,Yes,permissioned,full planning permission,13-Jul-16,,5,Change of use of building from Offices (Use Class B1a) to create five residential units (Use Class C3) and alterations to rear,,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0425,,"''Apex House, 31 Chiltern Avenue, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.60,496692.63,198494.1998,0.06,not owned by a public authority,Yes,permissioned,other,01-Jul-16,,5,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from office (Use Class B1(a)) to five residential units (Use Class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0426,,"''77 Woodside Road, Amersham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.68,-0.60,496729.48,198537.5127,0.17,not owned by a public authority,Yes,permissioned,other,01-Dec-16,,24,"Prior Notification Under Class O of Part 3, Schedule 2 of the Town and Country Planning (General Permitted Development) (England) Order 2015 - Change of Use from Office (Use Class B1(a)) to twenty four residential units (Use Class C3)",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0427,,"''The Rose and Crown Public House, 264 Waterside, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.70,-0.61,496372.59,200969.4026,0.05,not owned by a public authority,Yes,permissioned,full planning permission,04-Nov-15,,6,"Part two storey, part first floor side extensions and alterations to facilitate the change of use of site from a public house to create six residential units, laying of hardstanding and the creation of a new vehicular access",,,,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0429,,"''135 Hivings Hill, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.72,-0.62,495497.78,203057.3026,0.25,not owned by a public authority,Yes,pending decision,,,,7,"Redevelopment of site to provide 8 residential units within two buildings, altered vehicular access, car parking, bin and cycle stores and associated landscaping",,7,9,,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0438,,"''Car Park North of Chesham Station, Station Road''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.61,496110.12,201724.016,0.38,not owned by a public authority,,not permissioned,,,,13,,,13,25,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0439,,"''Chalfont and Latimer Station Car Park, Bedford Avenue''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.67,-0.56,499498.53,197635.1614,2.34,not owned by a public authority,,not permissioned,,,,40,,,40,80,Development proposals of the site should maintain existing levels of public and commuter parking as well as provide parking for any new development,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0440,,"''William Moulder Court, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.72,-0.61,495914.84,203010.4535,0.55,not owned by a public authority,Yes,not permissioned,,,,6,,,6,15,Any future development proposals should address any potential implications on residential parking and highways,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0444,,"''Land West of Mount Nugent, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.72,-0.62,495373.61,203463.7541,0.30,not owned by a public authority,Yes,not permissioned,,,,6,,,6,9,Any future development proposals should address any potential implications on residential parking and highways,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0445,,"''Land off Shelley Road, Chesham''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.72,-0.62,495676.57,202858.4957,0.22,not owned by a public authority,Yes,not permissioned,,,,7,,,7,12,Any future development proposals should address any potential implications on residential parking and highways,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0448,,"''Land on the frontage of Great Missenden Railway Station, ''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.70,-0.71,489325.88,201324.4887,0.53,not owned by a public authority,Yes,not permissioned,,,,10,,,10,20,Development proposals of the site should retain and enhance interchange facilities and the station forecourt. Possible access from the site could be provided to other nearby development opportunities.,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0455,,"''Land at Ballinger Road, Ballinger Road''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.71,-0.68,491027.33,201965.3624,0.90,not owned by a public authority,,not permissioned,,,,5,,,5,6,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0459,,"''Woodlands Farm, The Vale''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.74,-0.61,496015.6447,205054.7979,1.86,not owned by a public authority,Yes,not permissioned,,,,10,,,10,20,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08-Dec-17,
http://opendatacommunities.org/id/district-council/chiltern,Chiltern District Council,CD0460,,"''Tunfield Farm, Hog Lane''",http://www.chiltern.gov.uk/planning/brownfieldregister,ETRS89,51.74,-0.60,496556.7061,205815.8914,0.83,not owned by a public authority,Yes,not permissioned,,,,6,,,6,8,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,08-Dec-17,
