OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,133439,,"""Peacock Hotel, Corringham Road""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.405451,-0.763165,0.8,unknown ownership,yes,permissioned,full planning permission,2016-11-18,,,23,"Planning application for demolition of existing building and erection of 23 dwellings, creation of new access and road with associated parking and landscaping.",,,,,,,,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1217,,"""Tesco Car Park, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.396244,-0.770740,0.36,unknown ownership,yes,not permissioned,,,,,25,,,,25,25,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1244,,"""Site between Wembley/Hickman St, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.397079,-0.775093,0.81,unknown ownership,,not permissioned,,,,,34,,,,34,34,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1246,,"""West of Primrose Street, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.394654,-0.775222,2.22,unknown ownership,,not permissioned,,,,,83,,,,83,83,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1247,,"""Land enclosed by Thornton St, Bridge St, King St and Bridge Rd, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.392871,-0.774943,0.58,unknown ownership,,not permissioned,,,,,25,,,,25,25,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1248,,"""Middlefield School of Technology, Middlefield Lane, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.392046,-0.763748,3.98,unknown ownership,yes,not permissioned,,,,,112,,,,112,112,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1253,,"""Sinclairs, Ropery Road, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.401158,-0.781925,3.03,unknown ownership,yes,not permissioned,,,,,114,,,,114,114,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,125240,CL1271,"""Land north of Northholme, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.404334,-0.773336,0.79,unknown ownership,yes,permissioned,full planning permission,2014-06-27,,,51,"Planning application for proposed residential development, comprising 51 dwellings - includes mini-roundabout on Northolme.",,,,,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL1610,,"""Land between North Street and Church Street, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.403606,-0.775974,0.19,unknown ownership,yes,not permissioned,,,,,48,,,,48,48,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,133393,CL1637,"""Gleadells Wharf, Bridge Street""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.395519,-0.776295,0.16,unknown ownership,yes,permissioned,full planning permission,2016-02-04,,,14,Planning application for the demolition of existing dilapidated warehouse on the site and erect 14no. residential dwellings.,,,,,,,,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,134014,CL4686,"""Gateway Riverside Housing Zone, Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.389880,-0.776051,6.12,unknown ownership,yes,permissioned,outline planning permission,2016-07-19,,,245,Local Development Order (LDO) which grants outline planning permission for up to 245 dwellings.,,,,,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL4687,,"""Town Centre Riverside Housing Zone a,Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.398006,-0.776029,1.73,unknown ownership,,not permissioned,,,,,73,,,,73,73,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
http://opendatacommunities.org/id/district-council/west-lindsey,West Lindsey District Council,CL4688,,"""Town Centre Riverside Housing Zone b,Gainsborough""",https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,ETRS89,53.399133,-0.778132,1.1,unknown ownership,,not permissioned,,,,,55,,,,55,55,,,Allocated in the Central Lincolnshire Local Plan,2017-12-17,2017-12-17
