OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Easting,Northing
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1300,,"""Former Box Factory, South Street, Yeovil""",https://www.southsomerset.gov.uk/media/902236/yeov1300.pdf,ETRS89,-2.928603,50.940345,0.5,owned by public authority,,not permissioned,,,,,20,,50%Town Centre Mixed Uses,,20,20,,,,2017-11-16,2017-11-16,334852,116067
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B001,,"""3, Newtown Road, Yeovil""",https://www.southsomerset.gov.uk/media/902239/yeovb001.pdf,ETRS89,-2.624683,50.942075,0.21,not owned by a public authority,yes,permissioned,full planning permission,2017-03-31,,,85,,,,85,85,,,,2017-11-16,2017-11-16,356207,116034
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1302,,"""Former Cattle Market, Yeovil""",https://www.southsomerset.gov.uk/media/902247/yeov1302.pdf,ETRS89,-2.629254,50.943255,2.1,not owned by a public authority,,not permissioned ,,,,,100,,50% Commercial,,100,120,,,,2017-11-16,2017-11-16,355887,116168
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1303,,"""Petters Way Car Park, Yeovil""",https://www.southsomerset.gov.uk/media/902244/yeov1303.pdf,ETRS89,-2.634503,50.939836,0.6,owned by a public authority,,not permissioned,,,,,9,,50% Commercial,,9,9,,,,2017-11-16,2017-11-16,355515,115791
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B002,,"""108/110 West Coker Road, Yeovil""",https://www.southsomerset.gov.uk/media/902250/yeovb002.pdf,ETRS89,-2.655481,50.928642,0.7,not owned by a public authority,yes,permissioned,full planning permission,2017-08-11,,,9,,,,9,9,,,,2017-11-16,2017-11-16,354030,114559
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/BRYM/0004,,"""Land off George Smith Way, Yeovil""",https://www.southsomerset.gov.uk/media/902254/brym0004.pdf,ETRS89,-2.686249,50.952142,8.9,mixed ownership,yes,not permissioned,,,,,65,,"""17,000sq.m B1,B2,B8""",,65,75,,,,2017-11-16,2017-11-16,351892,117192
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/0019,,"""Land off Boden Street and Silver Street, Chard""",https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,ETRS89,-2.962448,50.871883,1.4,mixed ownership,yes,not permissioned, ,,,,8,,50% Commercial,,8,20,,,,2017-11-16,2017-11-16,332375,108484
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B001,,"""Slades Garage, Touchstone Lane, Chard""",https://www.southsomerset.gov.uk/media/902265/charb001.pdf,ETRS89,-2.970902,50.8772,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-11-23,,,6,,,,6,6,,,,2017-11-16,2017-11-16,331788,109083
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B002,,"""Former Tyre Depot, Silver Street, Chard""",https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,ETRS89,-2.961064,50.87158,0.14,not owned by a public authority,yes,permissioned,full planning permission,2008-10-10,,,22,,,,22,22,,,,2017-11-16,2017-11-16,332472,108449
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B003,,"""Church Hall, East Street, Chard""",https://www.southsomerset.gov.uk/media/902268/charb003.pdf,ETRS89,-2.958842,50.874107,0.09,not owned by a public authority,yes,permissioned,full planning permission,2016-07-22,,,10,,,,10,10,,,,2017-11-16,2017-11-16,332632,108728
