OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/010,,"Meriden Road Depot, Meriden Road, Hampton in Arden",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-010.pdf,OSGB36,421058,281142,5.21,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001R4FOELI000,,5,,,,5,10,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/013,,"Widney Manor House, Widney Manor House, Bentley Heath",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-013.pdf,OSGB36,416053,276835,1,not owned by a public authority,Y,not permissoned,,,No Planning History,,1,,,,1,2,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/014,,"The Glider Yard, Houndsfield Lane, Shirley",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-014.pdf,OSGB36,410143,276649,0.13,not owned by a public authority,Y,permissioned,outline planning permission,12/12/2017,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OJXAJ3OE03G00,,2,Erection of a single dwelling and garage replacing existing storage and workshop buildings.,,,2,4,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/015,,"Land East of 106 - 118 Old Station Road,Old Station Road, Hampton in Arden",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-015.pdf,OSGB36,420241,282078,0.5,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZV0BOETA917,,1,,,,1,2,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/016,,"Pheasant Oak Farm, Hob Lane Balsall Common",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-016.pdf,OSGB36,425157,276222,1.37,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DK8OELI000,,10,,,,10,20,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/017,,"National Motorcycle Museum, Coventry Road, Bickenhill",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-017.pdf,OSGB36,420054,282935,3.6,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000HWGOELI000,,50,,,,50,125,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/018,,"Windmill House, Windmill Lane, Balsall Common",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-018.pdf,OSGB36,424847,275908,0.3,not owned by a public authority,Y,not permissoned,,,No Planning History,,2,,,,2,3,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/020,,"Whitehouse Kennels, Back Lane, Meriden",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-020.pdf,OSGB36,425117,280515,0.83,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DJSOELI000,,2,,,,2,4,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/021,,"Land at and to the rear of 146-152 Tilehouse Lane, Tidbury Green",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-021.pdf,OSGB36,410169,276908,0.87,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000L9QOELI000,,5,,,,5,10,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/024,,"1806 Warwick Road, Knowle",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-024.pdf,OSGB36,418046,275996,3.01,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000R3JOELI000,,1,,,,1,3,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/025,,"1817 Warwick Road, Knowle",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-025.pdf,OSGB36,418199,276163,1.46,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000JMFOELI000,,1,,,,1,3,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/036,,"Service Station & land rear Kenilworth Road, Balsall Common",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-036.pdf,OSGB36,423374,278195,0.66,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000J3ZOELI000,,12,,,,12,18,,,,23/03/2018,23/03/2018
http://opendatacommunities.org/id/metropolitan-district-council/solihull,Solihull Metropolitan Borough Council,BLR/037,,"Trevallion Stud, Wootton Green Lane, Balsall Common",http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-037.pdf,OSGB36,423255,278112,5.81,not owned by a public authority,Y,not permissoned,,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000WX8OELI000,,14,,,,14,16,,,,23/03/2018,23/03/2018
