OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0005,,"''Beaconsfield Garden Centre, London Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.60,-0.65,493562.26,189817.8739,2.50,not owned by a public authority,Yes,permissioned,outline planning permission,27-Apr-16,,9,"Outline application for: Erection of 9 dwellings, formation of new access and associated driveway",Alterations to garden centre carpark.,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0032,,"''Land North of M40 & South of Hedgerley Lane, including Harrias House''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.60,-0.63,495002.87,189499.0932,4.90,not owned by a public authority,,not permissioned,,,,5,,,5,11,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0034,,"''73 High Street and Land to Rear, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.53,-0.66,493094.10,182550.624,0.23,not owned by a public authority,Yes,not permissioned,,,,12,,,12,15,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0043,,"''Thorney Business Park, Thorney Lane South''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.51,-0.51,503397.29,180096.9394,42.95,not owned by a public authority,,not permissioned,,,,130,,,130,320,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies will apply to any future development proposals.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0055,,"''Wilton Park Land Parcel 1, Wilton Park''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.60,-0.62,495923.57,190323.3818,36.89,not owned by a public authority,,not permissioned,,,,350,,,350,350,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0133,,"''Greenacres, 199 Station Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.64,494374.75,190531.648,0.20,not owned by a public authority,Yes,permissioned,full planning permission,22-Oct-12,,10,"Redevelopment of site to provide block comprising of 11 two bed flats with associated car parking. car port, cycle store and bin store.",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0166,,"''Land at Meadow Cottage Saltmarshe and Longridge, Bangors Road South, Iver''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.51,503516.96,181475.7016,0.95,not owned by a public authority,Yes,permissioned,outline planning permission,28-Jun-13,,36,"Redevelopment of site to provide 3 blocks comprising 39 apartments, with basement car park, surface parking, access and highway arrangements incorporating access onto Evreham Road (Outline Application).",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0197,,"''Chopra Manor, Crown Lane, Farnham Royal''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.54,-0.62,495492.26,183100.7903,0.15,not owned by a public authority,Yes,permissioned,full planning permission,22-Jun-15,,7,Change of use from a dwellinghouse to a house of multiple occupation consisting of 7 units including one unit for family occupation.,,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0206,,"''Northfield, 40 Penn Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.62,-0.65,493729.89,191553.4499,0.16,not owned by a public authority,Yes,permissioned,full planning permission,18-Nov-16,,5,"Detached building containing six apartments incorporating basement and roof accommodation, access ramp and associated landscaping.  Single storey concierge/refuse building and alteration to front boundary wall/gates and width of vehicular access.",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0285,,"''4a The Broadway, Farnham Common, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.62,496070.95,184907.3685,0.03,not owned by a public authority,Yes,not permissioned,,,,6,,,6,8,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0320,,"''Bulstrode, Oxford Road, Gerrards Cross, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.58,498526.45,188344.1916,13.55,not owned by a public authority,Yes,not permissioned,,,,8,,,8,11,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0339,,"''53 Huntercombe Lane, Burnham, ''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.66,493048.05,181451.4913,0.08,not owned by a public authority,Yes,not permissioned,,,,5,,,5,10,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0387,,"''77 Stomp Road, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.53,-0.66,492939.30,181819.707,0.27,not owned by a public authority,Yes,permissioned,full planning permission,,,23,"Erection of 23 dwellings (comprising 3 one bedroom, 1 two bedroom apartments and 19 three bedroom houses), car parking, associated landscaping and ancillary works.",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0389,,"''Phil Whitaker Cars, Beaconsfield Road''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.55,-0.61,496142.30,184775.6054,0.22,not owned by a public authority,Yes,not permissioned,,29-Sep-17,,11,,,11,20,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0391,,"''Old Slade Farm, 41 Old Slade Lane, Iver''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.50,-0.51,503517.24,178728.6018,1.28,not owned by a public authority,Yes,permissioned,full planning permission,10-Feb-15,,5,Conversion of existing barn in to five dwellinghouses with associated parking.,,,,Any future development proposals should consider that the site is within the Green Belt. Green Belt policies and the Supplementary Planning Document guidance will apply to any future development proposals.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0394,,"''15 and 17 South Park Crescent, Gerrards Cross''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.55,500658.45,188988.6557,0.43,not owned by a public authority,,permissioned,full planning permission,08-Dec-15,,6,Redevelopment of site to provide 8 dwellings and associated garage blocks.,,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0397,,"''20 to 22 High Street, Iver, Bucks''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.52,-0.50,503835.87,181247.6637,0.15,not owned by a public authority,Yes,permissioned,other,05-Nov-15,,12,"Notification under The Town and Country Planning (General Permitted Development) Order 2015, Part 3 of Schedule 2 Class O for: Change of use from office (Class B1 (a)) to residential (Class C3) to form 12 flats.",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0398,,"''Land At Bridge Cottage, 45A Baring Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.65,493435.62,191182.024,0.07,not owned by a public authority,Yes,permissioned,full planning permission,04-May-16,,5,"Replacement of dwelling with 6 apartments for the over 55's, with associated access, parking, hard and soft landscaping.",,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0399,,"''Natwest Bank, 63 High Street, Burnham''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.53,-0.66,493127.57,182498.6604,0.02,not owned by a public authority,Yes,permissioned,full planning permission,10-Jan-17,,5,Change of use from A2 to C3 (Residential) at first floor creating 3 self contained units. Two storey rear extension creating 2 self contained units.,,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0400,,"''96 Gregories Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.66,493194.11,191056.8968,0.28,not owned by a public authority,Yes,permissioned,full planning permission,02-Jul-15,,5,Replacement building comprising 6 apartments with basement parking.,,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0401,,"''180-182 Maxwell Road, Beaconsfield''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.61,-0.64,493970.96,191058.6447,0.09,not owned by a public authority,Yes,permissioned,full planning permission,06-Oct-16,,8,"Change of use and conversion of first floor from storage to residential (C3), single storey side extension and creation of second floor to provide 8 apartments with associated parking.",,,,It is envisaged that residential development would occur on upper floors on this site.,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0417,,"''34-36 Oak End Way, Gerrards Cross''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.55,500500.12,188738.7616,0.06,not owned by a public authority,Yes,permissioned,full planning permission,07-Sep-15,,8,Redevelopment of site to provide 8 residential units with parking and associated works.,,,,,,
http://opendatacommunities.org/id/district-council/south-bucks,South Bucks District Council,SB0418,,"''Aston House, 62-68 Oak End Way, Gerrards Cross''",http://www.southbucks.gov.uk/planning/brownfieldregister,ETRS89,51.59,-0.55,500583.36,188684.4768,0.12,not owned by a public authority,Yes,permissioned,other,10-Jun-16,,24,"Notification under The Town and Country Planning (General Permitted Development) Order 2015, Part 3 of Schedule 2 Class O for: Change of use from office (Class B1 (a)) to residential (Class C3) to form 24 flats.",,,,,,
