OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01603/FUL,,"""Landata House, Station Road, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.961102501,51.27809437,0.55,Not owned by a public authority,Yes,permissioned,FUL,23/03/2016,,,78,Redevelopment of the site to provide 78 residential flats,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00571/PRIOR 16/03378/FUL,,"""Bartley House, Station Road, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.960689927,51.27731737,0.6,Not owned by a public authority,Yes,permissioned,other,31/05/2016,Prior approval application (16/00571/PRIOR) approved for 53 units. Full application (16/03378/FUL) is pending for 102 units,,53,Change of use from B1(a) to C3,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00883/PRIOR,,"""Providence House, 2 Bartley Way, Hook""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.953759221,51.27884724,1.69,Not owned by a public authority,Yes,permissioned,other,24/05/2016,,,107,Change of use from B1 to C3,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/00720/MAJOR,,"""Winchfield Lodge, Old Potbridge Road""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.917354239,51.28749029,0.98,Not owned by a public authority,Yes,permissioned,FUL,03/12/2013,,,16,Conversion from B1 (office) to 4 residential dwellings plus the erection of 12 additional dwellings,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,13/01215/MAJOR,,"""Lamb Hotel, High Street, Hartley Wintney""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.89921159,51.30738296,0.25,Not owned by a public authority,Yes,permissioned,FUL,23/09/2013,,,11,"Conversion and extension of existing hotel buildings to form offices, retail unit, one 2-bedroom flat, one 4-bedroom house and one 3-bedroom house and the erection of one 3-bedroom house, six 2-bedroom houses and one 1-bedroom flat",Conversion and extension of existing hotel buildings to form B1 offices and A1 retail unit,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/01083/FUL,,"""Rose Court, Rye Common Lane, Crondall""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.878381549,51.24672072,0.3,Not owned by a public authority,Yes,permissioned,FUL,10/09/2015,,,14,"Demolition of office building, car parking and hard standing and erection of new building to create 14 x 2 bed apartments",,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00276/REM,,"""Land rear of 102-108 Fleet Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.840724406,51.28279956,0.09,Not owned by a public authority,Yes,permissioned,REM,01/07/2015,,,12,Reserved Matters (Appearance and Landscaping): Demolition of existing storage buildings and erection of a single block containing 10 x 1 & 2 x 2-bed residential flats. Outline application: 14/00106/MAJOR,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,15/00275/FUL,,"""18 Church Road, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.840015566,51.2824778,0.08,Not owned by a public authority,Yes,permissioned,FUL,19/06/2015,,,10,Demolition of existing office block at 18 Church Road and erection of 10 apartments,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00032/PRIOR,,"""Consort House, 46-48 Albert Street, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.839038527,51.28255804,0.04,Not owned by a public authority,Yes,permissioned,other,15/03/2016,,,6,Change of use from B1 to C3,,,,,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hart,Hart District Council,16/00796/PRIOR,,"""Consort House, 46-48 Albert Street, Fleet""",https://publicaccess.hart.gov.uk/online-applications/,OSGB36,-0.839038301,51.28256703,0.04,Not owned by a public authority,Yes,permissioned,other,26/05/2016,,,7,Change of use from B1 to C3,,,,,,,,22/12/2017,22/12/2017
