OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS86,,"""Units on Arthur Street and Kingsfield Road, Barwell""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,444601,297109,0.8,not owned by a public authority,,not permissioned,,,,,23,,,,23,30,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS911,,"""Industrial Unit and adjacent land, Willowbank Road, Hinckley""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,442388,293389,0.53,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,20,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS477,,"""Land to the rear of Brethren Meeting Hall, Station Road, Ratby""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,451711,305298,0.91,not owned by a public authority,,not permissioned,,,,,23,,,,23,32,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS36,,"""Thornton Nurseries and Land South of Resevoir Road, Thornton""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,447022,307378,0.85,not owned by a public authority,,not permissioned,,,,,21,,,,21,30,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS589,,"""Atherstone Hunt Kennels, Kennel Lane, Witherley""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,432948,297239,0.85,not owned by a public authority,yes,not permissioned,,,,,21,,,,21,30,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS808,,"""Midland Studio College, London Road, Hinckley""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,443284,293968,0.36,not owned by a public authority,,not permissioned,,,,,13,,,,13,16,,,,22/12/2017,22/12/2017
http://opendatacommunities.org/id/district-council/hinckley-and-bosworth,Hinckley and Bosworth,AS977,,"""National Grid Site, Coventry Road, Hinckley""",http://www.hinckley-bosworth.gov.uk/brownfieldregister,OSGB36,441691,293614,1.17,not owned by a public authority,,pending decision,outline planning permission,,,,34,,,,34,43,,,,22/12/2017,22/12/2017
