OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation ,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR1,,"Lancing Manor Filling Station, Old Shoreham Road, Lancing","https://www.adur-worthing.gov.uk/media/media,146438,en.pdf",WGS84,519032,105724,0.21,Not in public ownership,Yes,Permissioned,Outline permission ,11/08/16,https://planning.adur-worthing.gov.uk/online-applications/,,6,Outline application for the errection of 6 three bed dwellings.,,,6,6,,Planning Ref: AWDM/1128/14,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR2,,"Caxton House, Ham Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146439,en.pdf",WGS84,521905,105249,0.08,Not in public ownership,Yes,Permissioned ,Full ,06/07/17,https://planning.adur-worthing.gov.uk/online-applications/,,14,Change of Use of Office B1 and general industrial B2 to 14 residential units comprising 1 no. studio; 2 no. one bedroom; 10 no. two bedroom and 1 no. three bedroom flats. ,,,14,14,,Planning Ref: AWDM/1267/16,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR3,,"Town Hall Chambers, 45/49 High Street, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146440,en.pdf",WGS84,521450,105005,0.03,Not in public ownership,Yes,Permissioned,Full,15/08/14,https://planning.adur-worthing.gov.uk/online-applications/,,6,"Change of use and refurbishment of existing B1(a) office space to create 6no. residential units (4 x 1 bed maisonettes, 1 x 1 bed flat and 1 x 2 bed flat) and 1no. B1(a) office unit ",,,6,6,,Planning Ref: AWDM/0737/14,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR4,,"Riverbank Business Centre/12-18 Old Shoreham Road, shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146441,en.pdf",WGS84,521092,105330,2.4,Not in public ownership,Yes,Permissioned,Reserved Matters approval,24/03/17,https://planning.adur-worthing.gov.uk/online-applications/,,120,"Reserved matters pursuant to outline planning permission AWDM/0935/13 for the comprehensive, mixed use development of general industrial land at the Riverbank Business Centre and nos. 12-18 Old Shoreham Road - including reserved matters relating to details of appearance, layout, scale and landscaping for the delivery of 120 new dwellings.",Retail store (Use Class A1) and café (Use Class A3),,120,120,,Planning Ref: AWDM/1006/16,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR5,,"Garage Block, Britannia House, High Street, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146442,en.pdf",WGS84,521341,105039,0.10.1,Not in public ownership,Yes,Permissioned,Full,16/11/15,https://planning.adur-worthing.gov.uk/online-applications/,,6,Demolition of existing garage block and construction of 4 no. garages and 1 no. studio unit and communal common room and kitchen area on ground floor with an additional 5 no. studio units at first floor (6 no. units in total) for student accommodation; cycle and refuse storage at ground floor level ,,,6,6,,Planning ref: AWDM/0606/15,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR6,,"63/67 Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146443,en.pdf",WGS84,552103,105115,0.03,Not in public ownership,Yes,Permissioned,Full,13/02/17,https://planning.adur-worthing.gov.uk/online-applications/,,14,"Demolition of existing building and mixed use redevelopment to construct 5 storey building to provide  and 14 dwellings comprising 3 studio flats, 7 x 1 bed flats and 4 x 2 bed flats on first to fourth floor.",37sqm of A3 (restaurant/cafe)/A4 (drinking establishment)/B1 (business) use on ground floor,,14,14,,Planning ref:AWDM/1625/16,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR7,,"Queens Parade, North Road, Lancing","https://www.adur-worthing.gov.uk/media/media,146444,en.pdf",WGS84,518268,104662,0.37,Not in public ownership,Yes,Permissioned,Full,15/03/17,https://planning.adur-worthing.gov.uk/online-applications/,,9,"Addition of second floor and part third floor over existing first-floor flats to provide 9 no. new residential units comprising 2 x studio flats, 3 x 2-bedroom flats, 3 x 1-bedroom flats and 1 x 3-bedroom maisonette (with terraced balcony).",,,9,9,,Planning Ref: AWDM/1915/16,,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR8,,"Adur Civic Centre, Ham Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146445,en.pdf",WGS84,522046,105165,0.6,Not in public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,75,,,,75,120,,SHLAA Ref: ADC/059/13,"The Council, as landowner, is actively supporting the redevelopment of this former Civic Office site.  Demolition of the building has been completed.",16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR9,,"Land at 7-27 Albion Street, Southwick","https://www.adur-worthing.gov.uk/media/media,146446,en.pdf",WGS84,523749,104996,0.3,Mixed ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,42,,,,42,42,,SHLAA Ref: ADC/076/13,"Part in public and part in private ownership, a planning application for the delivery of a comprehensive residential scheme on the whole site is anticipated late 2017.",16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR10,,"Laundry,Alma Street, Lancing","https://www.adur-worthing.gov.uk/media/media,146447,en.pdf",WGS84,518177,103839,0.09,Not in public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,13,,,,13,13,,SHLAA Ref: ADC/082/13,A planning application has been received but not yet registered as additional information is required.,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR11,,"Community Buildings, Pond Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146448,en.pdf",WGS84,521604,105241,0.57,In public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,27,,,,27,27,,SHLAA Ref: ADC/086/16,The site is in multiple public ownership.  Significant progress has been made to deliver a mixed use scheme to include approximately 27 dwellings.,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR12,,"Land at Eastbrook Primary School, Manor Hall Road, Southwick","https://www.adur-worthing.gov.uk/media/media,146449,en.pdf",WGS84,524811,105522,0.7,In public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,24,,,,24,24,,SHLAA Ref: ADC/119/13,The site is in public ownership and has been declared surplus to requirements and is vacant.  A planning application for approximately 24 dwellings is anticipated in 2018.,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR13,,"5 Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146450,en.pdf",WGS84,523319,104938,0.47,Not in public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,60,,,,47,90,,SHLAA Ref: SH/001/13,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  Progress is being made to bring this site forward.,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR14,,"Free Wharf, Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146451,en.pdf",WGS84,522229,105059,2.8,Not in public ownership,Yes,Pending a decision,,,https://planning.adur-worthing.gov.uk/online-applications/,,540,"Redevelopment of the site to provide ten buildings, containing 540 new homes (of which two will be studios, 179 x one bed, 323 x two bed and 38 x three bed)","To include 2,707sqm of commercial floorspace at ground floor level within use classes, A1 (retail), A3 (cafes and restaurants), B1 (business) and D1 (non-residential institutions).",,540,540,,Planning Ref: AWDM/1497/17,"This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership.  A planning application has been submitted, but not yet determined, ",16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR15,,"Kingston Wharf, Brighton Road, Shoreham-by-Sea","https://www.adur-worthing.gov.uk/media/media,146452,en.pdf",WGS84,523125,105002,1.5,Not in public ownership,Yes,Not permissioned,,,https://www.adur-worthing.gov.uk/planning-policy/adur-background-studies-and-info/housing/#shlaa,,140,,,,153,292,,SHLAA Ref:SH/008/16,This site lies within the Shoreham Harbour Regeneration Area identified as a broad location for change in the Adur Local Plan 2017.  The regeneration of Shoreham Harbour has been a long term aspiration and the redevelopment of the Western Harbour Arm is recognised as a priority for the Shoreham Harbour Partnership. Progress is being made to bring this site forward. ,16/10/17,
http://opendatacommunities.org/id/district-council/adur,Adur District Council,ADCBR16,,"Luxor Cinema, Staion Parade, Lancing","https://www.adur-worthing.gov.uk/media/media,146453,en.pdf",WGS84,518232,104346,0.05,Not in public ownership,Yes,Pending a decision,,,https://planning.adur-worthing.gov.uk/online-applications/,,12,"Conversion and enlargement (including second- floor roof extension and enlargement of rear tower) to provide 12 no. self-contained flats on rear ground, first, second and third floors including associated elevation alterations, balconies and roof terrace together with rear parking, bin and cycle storage, replacement shopfront and new entrance lobby to flats. ",,,12,12,,Planning Ref:AWDM/0969/17,,16/10/17,
