OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,BP01,,"Land off Bridgeside, St Annes",Provided separately,OSGB36,330941,431694,0.426,not owned by a public authority,Deliverable,Permissioned,Full,,,,22,,,,22,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,BP02,,"Council Car Park & Airport Parking Site, rear 11-63 Westgate Road, St Annes",Provided separately,OSGB36,331213,431629,0.647,unknown ownership,Deliverable,Permissioned,Full,,,,25,,,,25,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,BP03,,"Pontins Holiday Centre, Clifton Drive North, St Annes",Provided separately,OSGB36,330855,431298,15.632,not owned by a public authority,Deliverable,Permissioned,Full,,,,369,,,,369,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,BP05a,,"Former Clock Garage, Preston New Road, Westby",Provided separately,OSGB36,335688,432946,1.576,not owned by a public authority,Deliverable,Permissioned,Out,,,,14,,,,14,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,BP28,,"Spengarth, Cropper Road, Westby",Provided separately,OSGB36,334422,432924,0.67,not owned by a public authority,,Pending decision,,,,,14,,,,14,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,EL03,,"Land adj. Bonds of Elswick, Bonds Lane, Elswick",Provided separately,OSGB36,342262,438585,0.26,not owned by a public authority,Deliverable,Permissioned,Out,,,,8,,,,8,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR04,,"122 Lytham Road, Freckleton",Provided separately,OSGB36,342441,428896,0.26,not owned by a public authority,,Permissioned,Full,,,,7,,,,7,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR05,,"Land off Ruskin Road, Freckleton",Provided separately,OSGB36,342624,428833,0.38,not owned by a public authority,,Permissioned,Full,,,,11,,,,11,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR11a,,"Land to rear 56-64 Preston Old Road, Freckleton",Provided separately,OSGB36,343224,428873,0.27,not owned by a public authority,,Permissioned,Out,,,,9,,,,9,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR41,,"Croft Court, Naze Lane, Freckleton",Provided separately,OSGB36,342957,428751,0.45,owned by a public authority,,Not permissioned,,,,,13,,,,13,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR48,,"Naze Court, Naze Lane, Freckleton",Provided separately,OSGB36,342817,428738,0.33,owned by a public authority,,Not permissioned,,,,,12,,,,12,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR49,,"Whittles, Preston New Road, Warton",Provided separately,OSGB36,343409,429315,0.29,not owned by a public authority,,Permissioned,Out,,,,4,,,,4,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR50,,"197 Kirkham Road, North Bypass, Freckleton",Provided separately,OSGB36,342357,429894,2.6,not owned by a public authority,,Permissioned,Full,,,,12,,,,12,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,FR10,,"Quernmore Trading Estate, Croft Butts Lane, Freckleton",Provided separately,OSGB36,343056,428698,0.48,not owned by a public authority,,Permissioned,Full,,,,10,,,,10,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,KI01,,"Sunnybank Mill, Best Street, Kirkham",Provided separately,OSGB36,341802,432382,1.3,mixed ownership,,Not permissioned,,,,,55,,,,55,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,KI30b,,"Campbells Caravans, Blackpool Road, Kirkham",Provided separately,OSGB36,340497,429315,2.6,not owned by a public authority,,,,,,,30,,,,30,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,KI45,,"Post Office Hotel, 18 Freckleton Street, Kirkham",Provided separately,OSGB36,342622,432067,0.06,not owned by a public authority,,Pending decision,,,,,6,,,,6,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,LE09,,"Sunnydale Nurseries, Garstang Road, Little Eccleston",Provided separately,OSGB36,341756,440388,1,not owned by a public authority,,Permissioned,Full,,,,41,,,,41,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,LY14,,"AXA Data Centre, Westcliffe, Lytham",Provided separately,OSGB36,337053,427356,1,not owned by a public authority,,Permissioned,Full,,,,65,,,,65,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,LY35,,"Ashtons Nursery, Mythop Road, Lytham",Provided separately,OSGB36,337392,427791,0.3,not owned by a public authority,Deliverable,Pending decision,,,,,12,,,,12,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,LY60,,"Hole in One, Forest Drive, Lytham St Annes",Provided separately,OSGB36,335723,427598,0.35,not owned by a public authority,,Pending decision,,,,,5,,,,5,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,LY30,,"Land adj. Land Registry, Preston Road, Lytham",Provided separately,OSGB36,337701,427241,0.481,not owned by a public authority,,Permissioned,Out,,,,14,,,,14,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA103,,"Land adj Keenans Mill, Lord Street, St Annes",Provided separately,OSGB36,331984,429394,0.3,not owned by a public authority,Deliverable,Permissioned,Full,,,,26,,,,26,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA10,,"Fairways Garage, Heeley Road, St Annes",Provided separately,OSGB36,331609,429869,0.44,not owned by a public authority,Deliverable,Not permissioned,,,,,20,,,,20,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA13,,"Public Offices, Clifton Drive South, St Annes",Provided separately,OSGB36,332041,432067,0.3,owned by a public authority,,Not permissioned,,,,,14,,,,14,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA50,,"Electronic Data Systems (EDS), Heyhouses Lane, St Annes",Provided separately,OSGB36,333656,429171,4.6,not owned by a public authority,,Permissioned,Out,,,,88,,,,88,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA50a,,"Electronic Data Systems (EDS), Heyhouses Lane, St
Annes","Provided
separately",OSGB36,333799,429376,7.2,"not owned by a
public authority",,Permissioned,RM,,,,162,,,,162,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA66,,"The Gables, 35-39 Orchard Road, St Annes",Provided separately,OSGB36,332283,428630,0.13,not owned by a public authority,,Permissioned,Full,,,,19,,,,19,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA67,,"CMVU Depot, Heeley Road, St Annes",Provided separately,OSGB36,331719,429825,0.17,not owned by a public authority,Deliverable,Not permissioned,,,,,5,,,,5,,,,,21/12/2017,
http://opendatacommunities.org/id/district-council/fylde,Fylde Council,SA87,,"Kingsway Garage, Kingsway, Lytham St Annes",Provided separately,OSGB36,334544,427634,0.1,not owned by a public authority,Deliverable,Pending decision,11/0667,,,,30,,,,30,,,,,21/12/2017,
