OrganisationURI,OrganisationLabel ,SiteReference ,PreviouslyPartOf ,SiteNameAddress ,SiteplanURL,CoordinateReferenceSystem ,GeoX,GeoY,Hectares ,OwnershipStatus ,Deliverable ,PlanningStatus ,PermissionType ,PermissionDate ,PlanningHistory ,ProposedForPIP,MinNetDwellings ,DevelopmentDescription ,NonHousingDevelopment ,Part2 ,NetDwellingsRangeFrom ,NetDwellingsRangeTo ,HazardousSubstances ,SiteInformation ,Notes ,FirstAddedDate,LastUpdatedDate ,Easting ,Northings
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,4927,,"""Elsterne, Toft Road, Knutsford""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.299969,-2.372584,0.07,not owned by a public authority,Yes ,permissioned,full planning permission,2014-06-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/2081M&query=b70c22cb-64c1-47e2-b7ec-f5d5aacfe07b,,5,"""Alterations, sub-division, part re-construction and extensions of existing semi-detached dwelling to create 5 apartments""",,,,,,,"14/2081M

16/5147M - Variation of Condition 3 (plans) on application 14/2081M - Alterations, sub-division, part re-construction and extensions of existing semi-detached dwelling to create 5 apartments, demolition of existing garage - Approved 21 December 2016  

17/1619M - Removal of condition 8 on application 16/5147M - Alterations, Sub-Division, part re-construction and extensions of existing semi-detached dwelling to create 5 apartments, demolition of existing garage.  This application was registered on the 29 March 2017.  ",2017-10-19,2017-10-19,375266,378176
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5057,,"""The Oaks, Mobberley Road, Knutsford""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.310224,-2.355098,0.17,not owned by a public authority,Yes ,permissioned,full planning permission,2015-12-22,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/3720M&query=75cc4c53-e437-4ce4-9fbe-6a90e24cb115,,13,Demolition of existing Public House to create 13 new apartments and associated parking and landscaping,,,,,,,"14/3720M
",2017-10-19,2017-10-19,376437,379311
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5066,,"""Garages and open land, Tenby Road, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.251503,-2.158901,0.17,owned by a public authority,Yes ,permissioned,full planning permission,2016-03-25,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/2147M&query=bba7d901-926d-49e1-881d-7b55b63c9de3,,10,Demolition of existing garages and erection of new three-storey block of apartments and two-storey houses,,,,,,,"14/2147M
",2017-10-19,2017-10-19,389495,372731
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5118,,"""Manor Way Centre, Manor Way, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.084273,-2.447472,0.39,not owned by a public authority,Yes ,permissioned,full planning permission,2015-02-26,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/4165N&query=692062f3-d29f-4ede-a909-b66b59ea588b,,14,Erection of 14  semi-detached houses and ancilliary works,,,,,,,"14/4165N

17/1477N - 14 new build residential properties.  This application was registered on the 21 March 2017 and is currently pending decision. 
",2017-10-19,2017-10-19,370125,354209
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5164,,"""Cheshire Windows and Glass, Armitt Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.254603,-2.130164,0.11,not owned by a public authority,Yes ,permissioned,outline planning permission ,2015-08-18,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/5635M&query=49aa06f9-004f-4eb2-81e8-f023bed9efa8,,10,"""Demolition of Armitt Street Works and the erection of 10 terraced houses""",,,,,,,"14/5635M
",2017-10-19,2017-10-19,391413,373072
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5231,,"""Land off Redhouse Lane, Disley"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.361068,-2.028960,1.13,not owned by a public authority,Yes ,permissioned,full planning permission,2016-12-16,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=13/2765M&query=4f69bf1e-1261-4554-ae79-0eb047a11ef6,,39,"""Residential development comprising 39 dwellings, access and associated works""",,,,,,,"13/2765M
",2017-10-19,2017-10-19,398170,384909
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5289,,"""35 & 41 , Mablins Lane, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.114668,-2.453898,0.37,not owned by a public authority,Yes ,permissioned,outline planning permission ,2016-07-25,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/0149N&query=18394ae2-fb5a-47e2-a8fc-83536f44ca2b,,17,Demolition of existing properties 35 and 41 Mablins Lane and erection of 17 dwellings,,,,,,,"15/0149N
",2017-10-19,2017-10-19,369716,357593
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5315,,"""Sir Edmund Wright House, Beam Street, Nantwich"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.069071,-2.516742,0.37,not owned by a public authority,Yes ,permissioned,full planning permission,2015-09-29,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3601N&query=5e53d7a3-a793-47b5-be38-fcdffa29dd6d,,6,Listed Building Consent for internal alterations including the amalgamation of 12 bedsit units to form 6 two bedroomed units,,,,,,,"15/3601N
",2017-10-19,2017-10-19,365473,352549
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5316,,"""Crown Inn, 76 Bond Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.256911,-2.131805,0.02,not owned by a public authority,Yes ,permissioned,full planning permission,2015-09-29,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=13/4980M&query=b0c493f1-1b20-4a51-849a-a344f4472fc7,,8,"""Conversion of a public house to 8 residential apartments with rear stairwell extension and alterations to external appearance, including removal of existing external staircase""",,,,,,,"13/4980M
",2017-10-19,2017-10-19,391304,373329
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5317,,"""The Barnfield, 24 Catherine Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.260004,-2.131080,0.01,not owned by a public authority,Yes ,permissioned,full planning permission,2015-09-29,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/0413M&query=749d8167-7a9e-4cd7-9710-3332987c61f5,,5,Conversion of Public House to form 5 flats,,,,,,,"15/0413M
",2017-10-19,2017-10-19,391353,373673
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5332,,"""Corner of Newton Street and Henderson Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.257406,-2.131342,0.06,not owned by a public authority,Yes ,permissioned,full planning permission,2016-12-13,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/4864M&query=5bd879fd-edc9-4b80-bacf-cf68d7102e8d,,6,"""Detailed consent for erection of 6 terraced houses, following outline approval 14/2885M""",,,,,,,"16/4864M - Reserved Matter Application - Approved 13 December 2016
14/2885M - Outline Planning Application - Approved 2 March 2016
",2017-10-19,2017-10-19,391335,373384
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5358,,"""1 Scott Road, Prestbuty""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.292153,-2.149767,0.12,not owned by a public authority,Yes ,permissioned,full planning permission,2015-11-16,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/5148M&query=c2aa100e-aa1a-487d-893d-3a7b7f3d322e,,5,"""Demolition of existing detached house and outbuildings and erection of 5 apartments, together with underground parking and associated landscaping""",,,,,,,"14/5148M
",2017-10-19,2017-10-19,390114,377252
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5364,,"""Land at 48 Wistaston Road, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.094993,-2.446209,0.09,not owned by a public authority,Yes ,permissioned,full planning permission,2016-03-14,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/5627N&query=d9445d74-0d91-4798-a81f-f6e3136e9075,,13,Proposed construction of 13 unit apartment block,,,,,,,"15/5627N
",2017-10-19,2017-10-19,370217,355401
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5419,,"""Field House, 40 Congleton Road, Sandbach""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.146392,-2.361700,0.12,not owned by a public authority,Yes ,permissioned,reserved matters approval,2016-11-23,"http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3537C&query=ba0f7a17-a1b4-49a2-be85-a96afd1c6813
",,9,"""Reserved matters application for appearance and landscaping on outline application 16/3631C for demolition of existing buildings and erection of 7 dwellings and 2 apartments""",,,,,,,"16/3537C - Reserved Matters Application 
16/3631C - Variation of Condition 9 on application 15/3974C - Approved 24 October 2016
15/3974C - Outline application - Approved 11 February 2016
",2017-10-19,2017-10-19,375905,361087
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5430,,"""21 Masons Lane, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.265838,-2.113587,0.18,mixed ownership ,Yes ,permissioned,full planning permission,2016-02-15,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3521M&query=69f8c391-f148-4329-824e-4c9d2afc86ad,,7,"""Erection of 7 dwelling houses, providing a mix of 2 bed 4 person detached and semi-detached properties""",,,,,,,"15/3521M
",2017-10-19,2017-10-19,392521,374320
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5479,,"""Venture House, Cross Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.252005,-2.121583,0.10,not owned by a public authority,Yes ,permissioned,other ,2016-04-19,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0915M&query=230b50e1-dbed-46f2-99c7-88bbe7df2b16,,23,Change of use from office use to residential,,,,,,,"16/0915M
",2017-10-19,2017-10-19,391985,372782
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5493,,"""Land Off Paradise Lane, Church Minshull"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.151136,-2.519865,0.70,not owned by a public authority,Yes ,permissioned,full planning permission,2016-11-16,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3157N&query=f1b8e8cd-6816-48b3-8b9c-eda9856c753b,,11,"""Demolition of existing buildings, erection of 11 dwellings (including 4 affordable dwellings), access roads, garaging, car parking and landscaping""",,,,,,,"15/3157N
",2017-10-19,2017-10-19,365330,361680
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5510,,"""48 Grimshaw Lane, Bollington"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.293397,-2.103400,0.12,not owned by a public authority,Yes ,permissioned,full planning permission,2016-05-13,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/5465M&query=247a96bf-770a-4ec6-8902-bac1d76be4f5,,6,Demolition of  building and construction of 6 dwellings,,,,,,,"15/5465M
",2017-10-19,2017-10-19,393205,377385
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5514,,"""1 Buxton Road West, Disley""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.357900,-2.044269,0.09,not owned by a public authority,Yes ,permissioned,full planning permission,2017-01-09,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/5051M&query=e699ed50-b60a-4a07-ab22-969dcb843caa,,8,"""Conversion of former residential property with side extension, currently used as offices, to 8 residential apartments""",,,,,,,"16/5051M
",2017-10-19,2017-10-19,397151,384557
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5594,,"""Dane Street Garage, Dane Street, Congleton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.165427,-2.219836,0.08,not owned by a public authority ,Yes ,permissioned,outline planning permission ,2016-07-07,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3250C&query=52b6059c-56f5-47c7-8a9d-abc5f9771a23,,7,Conversion of vehicle garage and builders yard to residential development,,,,,,,"15/3250C
",2017-10-19,2017-10-19,385400,363166
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5621,,"""Regency Court, 36-48 High Street, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.095533,-2.441212,0.16,not owned by a public authority ,Yes ,permissioned,other ,2016-08-02,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/2855N&query=219997c3-58fa-4481-a1d2-36ee737eea61,,18,Change of use from office use to 18 apartments ,,,,,,,"16/2855N
",2017-10-19,2017-10-19,370552,355459
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5624,,"""Davenports Arms, Station Road, Calveley""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.126137,-2.612546,0.23,not owned by a public authority ,Yes ,permissioned,full planning permission,2015-07-13,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/5906N&query=09280a3e-5f4b-4fe7-b826-a6a2c6af2d80,,9,Demolition of the existing building and erection of 9 dwellings,,,,,,,14/5906N,2017-10-19,2017-10-19,359108,358948
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5626,,"""Cheshire East Garage Site and Land  at, Park House Lane, Prestbury""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.296675,-2.149078,0.20,owned by a public authority,Yes ,permissioned,full planning permission,2016-08-11,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1166M&query=e9582182-67d9-4d56-a0b9-aaf88b7d3267,,5,Demolition of existing garages and erection of four houses and one bungalow,,,,,,,16/1166M,2017-10-19,2017-10-19,390161,377755
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5642,,"""73 Great King Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.259698,-2.131139,0.05,not owned by a public authority ,Yes ,permissioned,full planning permission,2016-08-18,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0763M&query=a379c8bd-e5d3-4ddd-8115-6b694954bdfb,,10,Demolition of buildings comprising former steel stockholders and building merchants with associated shop and the construction of 10 dwellings,,,,,,,"16/0763M
",2017-10-19,2017-10-19,391349,373639
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5664,,"""Paradise Mill, 1 - 21 Park Lane, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.255535,-2.124816,0.02,not owned by a public authority ,Yes ,permissioned,full planning permission,2016-09-08,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/2997M&query=defbaa67-1a1c-45ef-95f6-1669786a24e0,,10,Conversion of existing offices to create 10 self contained residential apartments,,,,,,,"16/2997M
",2017-10-19,2017-10-19,391770,373175
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5681,,"""Normans Hall Farm, Shrigley Road, Pott Shrigley""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.317933,-2.097140,0.36,not owned by a public authority ,Yes ,permissioned,outline planning permission ,2016-09-20,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0978M&query=aac92329-066d-430d-a0ba-53422b1ff3b6,,10,"""Change of use of commercial buildings to 10 dwellings, extension of unit 1 and demolition of the barn""",,,,,,,"16/0978M
",2017-10-19,2017-10-19,393626,380114
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5685,,"""Land and Garages North of 12, Lowe Drive, Knutsford""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.306996,-2.361735,0.10,owned by a public authority,Yes ,permissioned,full planning permission,2016-09-27,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1165M&query=f67720a5-b1e7-4697-8725-2d3a8df5d702,,5,"""Demolition of existing garages and erection of four, two-storey 2 bedroom houses and one, two-storey 3 bedroom house""",,,,,,,"16/1165M
",2017-10-19,2017-10-19,375993,378954
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5688,,"""Ndi House, Barony Court, Nantwich""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.075831,-2.518853,0.20,not owned by a public authority ,Yes ,permissioned,full planning permission,2016-09-30,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1105N&query=2c69b950-572d-46e5-9b97-273cc79e7880,,14,Proposed conversion and extension of existing office building to form 14 apartments with associated car parking,,,,,,,"16/1105N
",2017-10-19,2017-10-19,365337,353302
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5690,,"""Shakerley Arms, 7-9, Willow Street, Congleton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.164275,-2.205965,0.03,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-01-16,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/5327C&query=9eb58719-c3f2-41f3-93ca-a3d5292edb25,,6,"""Proposed change of use from an existing public house to 4no. proposed dwellings. The demolition of an existing two storey outbuilding & single storey flat roof toilet block to the rear and the erection of a proposed two storey extension providing 2no. two bedroom apartments""",,,,,,,"16/5327C
",2017-10-19,2017-10-19,386327,363035
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5710,,"""Land at Derby Villas, Chatham Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.260438,-2.128683,0.05,not owned by a public authority ,Yes ,permissioned,outline planning permission ,2016-10-21,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1782M&query=8fb57d80-7d03-4f7a-be8f-42b041fd12e9,,5,Erection of 5 dwellings,,,,,,,"16/1782M
",2017-10-19,2017-10-19,391513,373721
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5784,,"""Yesterdays Hotel, Harden Park, Alderley Edge"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.310369,-2.235378,0.55,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-01-13,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/1955M&query=89a71ecc-972e-4764-938e-9f37bcef11c8,,8,"""Demolition of the existing nightclub building and the erection of 12 dwellings, including 4 affordable dwellings, with associated car parking, gardens and landscaping""",,,,,,,"
15/1955M
",2017-10-19,2017-10-19,384414,379294
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5795,,"""Lower Park Garage, Woodford Road, Poynton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.358703,-2.136524,0.25,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-01-20,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/5060M&query=be3af9e8-3e02-4243-95be-12b5fb500c9b,,6,"""Demolition of 3 existing buildings and  the erection of residential comprising of 2 buildings of 2.5 storey, accommodating 6 dwellings in total""",,,,,,,"16/5060M
",2017-10-19,2017-10-19,391011,384654
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5800,,"""Land at North Street, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.111336,-2.441150,0.08,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-01-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/4052N&query=1ad346c9-1b78-4363-b5f7-3e1dc9baec89,,5,Residential development of 5 dwellings,,,,,,,"16/4052N
",2017-10-19,2017-10-19,370567,357217
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5849,,"""Albion Mill, London Road, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.249435,-2.120842,0.09,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-03-03,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3729M&query=91db69bc-c9b5-4a2e-9dc2-3ca39a0585d6,,14,Conversion of existing mill to form 14 apartments ,,,,,,,"15/3729M
",2017-10-19,2017-10-19,392034,372496
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5855,,"""Davenshaw Mill, Bucton Road, Congleton""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.168543,-2.201483,0.22,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-03-09,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3826C&query=d1577d2c-7d61-4dbc-ac87-554b7dadab90,,10,"""Demolition of existing industrial premises, site remediation and development of 10 residential units, associated car parking, landscaping, services and infrastructure""",,,,,,,"16/3826C
",2017-10-19,2017-10-19,386628,363509
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5857,,"""Land Off Meadowbank Avenue, Sandbach""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.130904,-2.373302,0.23,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-03-08,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/5809C&query=80c0b9fa-9433-4ca5-b403-7d7618ee25cf,,5,"""Demolition of existing building and erection of 8 dwellings, associated parking and landscaping""",,,,,,,"
16/5809C
",2017-10-19,2017-10-19,375120,359368
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5867,,"""Kendal House, Kendal Road, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.252012,-2.154797,0.33,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-03-06,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/6189M&query=5e5e35fc-0bc2-4d66-a3f0-2010b14c1944,,14,"""Change of use from Children's Day Nursery to Permanent Residence for Supported Living for 14no. Adults. Alterations to the building consisting of conservatory to rear facing side elevation and ramp access to main front entrance""",,,,,,,"16/6189M
",2017-10-19,2017-10-19,389769,372787
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5877,,"""Inglewood Farm, Middlewich Road, Minshull Vernon""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.149178,-2.476450,0.63,not owned by a public authority ,Yes ,permissioned,outline planning permission ,2017-03-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/4734N&query=7cbbedba-e2b9-4c49-bc04-eef0e86a6738,,8,"""Demolition of all of the existing buildings on the site, the change of use from residential and builders yard and the development of up to 8 residential properties""",,,,,,,"16/4734N
",2017-10-19,2017-10-19,368232,361442
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5881,,"""Pyegreave Farm, Coalpit Lane, Langley""  ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.245746,-2.095461,0.07,not owned by a public authority ,Yes ,permissioned,full planning permission,2017-03-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=17/0743M&query=8a3dfffb-b116-4308-b5eb-d0db27341a5a,,5,Removal of condition 3 of 80919P to allow the use of the holiday lets as permanent residential properties,,,,,,,"17/0743M
",2017-10-19,2017-10-19,393727,372083
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5892,,"""1 George Street, Alderley Edge, Wilmslow""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.300101,-2.236822,0.03,mixed ownership,Yes ,permissioned,full planning permission,2016-10-14,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/0505M&query=db4a0c4f-9c17-4857-acb7-099ad73ef7f2,,6,"""Proposed alterations and extensions to provide five apartments and five car parking spaces, including the change of use of ground and first floor offices to residential and the retention of the shop unit in the London Road frontage""",,,,,,,"16/0505M
",2017-10-19,2017-10-19,384314,378152
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,5899,,"""Elmbank House, Lodge Road, Sandbach""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.140048,-2.386596,1.79,not owned by a public authority ,Yes ,pending decision ,outline planning permission ,,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/2645C&query=e5f3559d-7dbd-4df3-ba2d-16b4ed06b1df,,50,Demolition of all existing on site structures and the redevelopment of the site for 50 residential dwellings with associated landscaping and vehicular access from Lodge Road,,,,,,,"16/2645C
",2017-10-19,2017-10-19,374236,360390
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,LPS 13,,"""South Macclesfield Development Area""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.243690,-2.138298,4.44,mixed ownership,Yes ,permissioned,full planning permission,2017-02-28,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/2010M&query=ef0bef91-9414-4162-8ece-27e497227d5d,,150,"""Demolition of existing buildings and the erection of 150 dwellings with associated car parking, access, internal roads and landscaped open space""",,,,,,,"15/2010M
�
Part of site allocation LPS 13 South Macclesfield Development Area in the Local Plan Strategy. 
http://cheshireeast.gov.uk/planning/spatial_planning/cheshire_east_local_plan/local-plan-strategy/local_plan_strategy.aspx",2017-10-19,2017-10-19,390868,371859
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,LPS 14,,"""Land East of Fence Avenue, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.260812,-2.114998,2.00,not owned by a public authority,Yes,permissioned,outline planning permission ,2017-01-23,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/4287M&query=36e3d6b4-c5ce-4ecb-8c08-4e080d217af3,,80,"""Partial change of use and partial demolition of existing buildings and structures, residential development for up to 300 units, landscaping, supporting infrastructure and means of access""",,,,,,,"15/4287M

Part of site allocation LPS 14 Land East of Fence Avenue, Macclesfield in the Local Plan Strategy 
http://cheshireeast.gov.uk/planning/spatial_planning/cheshire_east_local_plan/local-plan-strategy/local_plan_strategy.aspx",2017-10-19,2017-10-19,392426,373761
