OrganisationURI,OrganisationLabel ,SiteReference ,PreviouslyPartOf ,SiteNameAddress ,SiteplanURL,CoordinateReferenceSystem ,GeoX,GeoY,Hectares ,OwnershipStatus ,Deliverable ,PlanningStatus ,PermissionType ,PermissionDate ,PlanningHistory ,ProposedForPIP,MinNetDwellings ,DevelopmentDescription ,NonHousingDevelopment ,Part2 ,NetDwellingsRangeFrom ,NetDwellingsRangeTo ,HazardousSubstances ,SiteInformation ,Notes ,FirstAddedDate,LastUpdatedDate ,Easting ,Northings
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,2421,,"""Dunwood, Homestead Road, Disley""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.358844,-2.044750,0.24,not owned by a public authority,Yes ,permissioned,full planning permission,2015-11-12,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/3617M&query=b97203e1-3001-4a81-8b1e-598e9c447ee3,,6,Demolition of existing dwelling and erection of 6 apartments ,,,,,,,"15/3617M
",2017-10-19,2017-10-19,397119,384662
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,2728,,"""Paces Garage and Fairfields, Newcastle Road, Arclid"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.154335,-2.318893,0.85,not owned by a public authority,Yes ,permissioned,full planning permission,2015-09-07,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=11/2394C&query=77ea9b74-1158-42a0-99e3-37834e044e79,,18,"""Redevelopment of industrial/commercial premises and two detached garages and erection of 18 dwellings (13market/5 affordable), provision of public open space and formation of replacement access for the dwelling Fairfield"" ",,,,,,,"11/2394C
",2017-10-19,2017-10-19,378772,361957
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,2838,,"""Forge Mill, Forge Lane, Congleton"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.169242,-2.227470,2.43,mixed ownership ,Yes,permissioned,reserved matters approval,2016-10-03,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3859C&query=b6b581d8-5acc-44a6-a3f9-dacfc0f24dea,,45,"""Approval of reserved matters on 16/0836C for the redevelopment of Forge Mill for residential development""

",,,,,,,"16/3859C - Reserved Matters Application - Approved 3 October 2016
16/0836C - Variation of Condition - Approved 5 August 2016 
14/0659C - Outline Planning Application - Allowed at appeal 15 January 2015 
",2017-10-19,2017-10-19,384891,363592
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,2953,,"""Lodge Farm Industrial Estate, Audlem Road, Hankelow""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.006501,-2.490198,0.43,not owned by a public authority,Yes ,permissioned,reserved matters approval,2017-01-20,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/3764N&query=f6051385-c07e-4443-97f2-a8004df6158e,,4,"""Reserved matters application for the approval of appearance, layout and scale for the erection of 19 dwellings""
",,,,,,,"
16/3764N - Reserved Matters Application 
14/4300N - Outline Planning Application - Approved 28 September 2015
",2017-10-19,2017-10-19,367204,345576
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,2971,,"""Grenson Motor Co Ltd, Middlewich Road, Minshull Vernon""  ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.126010,-2.479542,0.37,not owned by a public authority,Yes ,permissioned,outline planning permission ,2016-06-30,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/1249N&query=90ecef0d-1d10-49b3-8b63-1486ad0760e9,,10,"""Construction of 10 dwellings complete with access, associated parking and landscaping""",,,,,,,"15/1249N
",2017-10-19,2017-10-19,368008,358866
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3030,,"""Land at 2 & 4 Heathfield Avenue & 29, 29A & 31 Hightown, Crewe""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.099957,-2.448068,0.17,not owned by a public authority,Yes ,permissioned,full planning permission,2016-12-19,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=15/1545N&query=cb810ab7-eaaa-442a-ad8a-57760c3abf62,,14,Construction of 9 houses and 5 apartments with associated parking and access provision,,,,,,,"15/1545N
",2017-10-19,2017-10-19,370096,355954
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3062,,"""Land off Saville Street, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.254213,-2.116479,0.50,not owned by a public authority,Yes ,pending decision ,full planning permission,,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/1945M&query=3c709110-f7c5-4b4a-9438-bc5c7b11b422,,18,Demolition of existing buildings on site and erection of residential development comprising of 18 two-storey dwellings,,,,,,,"14/1945M
",2017-10-19,2017-10-19,392326,373027
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3075,,"""Land To The North of Park Royal Drive, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.258760,-2.134075,0.14,not owned by a public authority,Yes ,permissioned,outline planning permission ,2015-08-19,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/2777M&query=030b408b-5a30-48c0-aad8-46ba4eb688ff,,10,Erection of 10 terraced houses,,,,,,,"14/2777M
",2017-10-19,2017-10-19,391153,373535
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3126,,"""Land at 151-153 London Road, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.244334,-2.125578,0.05,not owned by a public authority,Yes ,permissioned,outline planning permission ,2015-04-24,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=13/0191M&query=bb15682b-4e10-47f0-8527-6d3e645ca7f5,,8,Demolition of existing shop and vacant dwelling and construction of new 2-storey building incorporating 8 self contained flats,,,,,,,"13/0191M
",2017-10-19,2017-10-19,391717,371929
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3135,,"""Former Depot at Junction of Green Street and Cuckstoolpit Hill, Macclesfield""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.259324,-2.120000,0.18,not owned by a public authority,Yes ,permissioned,full planning permission,2015-11-25,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=14/5316M&query=55054ed4-7acd-4bc5-81ac-9d846f82a162,,15,Construction of 8 one bedroom apartments and 7 two bedroom houses ,,,,,,,"14/5316M
",2017-10-19,2017-10-19,392092,373596
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3140,,"""Hurdsfield Community Centre, Carisbrook Avenue, Macclesfield"" ",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.267644,-2.113802,0.10,not owned by a public authority,,permissioned,full planning permission,2016-06-14,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=16/1898M&query=4ee5f921-d452-4420-8bb3-2ef0f82a4f83,,6,Demolition of Hurdsfield Community Centre and the construction of 6 two-storey dwellings with associated landscaping and car parking,,,,,,,"16/1898M
",2017-10-19,2017-10-19,392507,374521
http://opendatacommunities.org/id/unitary-authority/cheshire-east,Cheshire East Council ,3175,,"""Chelford Cattle Market & Car Park, Dixon Drive, Chelford""",http://cheshireeast.gov.uk/planning/spatial_planning/brownfield-register.aspx,ETRS89,53.271828,-2.279746,3.70,mixed ownership ,Yes ,pending decision ,outline planning permission ,,http://planning.cheshireeast.gov.uk/applicationdetails.aspx?pr=10/3448M&query=14490484-e12c-49b3-a9af-ea0805ec8388,,86,"""Erection of a mixed use development comprising residential, community and employment uses""  ",Community and employment uses,,,,,,"10/3448M
",2017-10-19,2017-10-19,381441,375017
