OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,"OwnershipStatus

",Deliverable,PlanningStatus,PermissionType,PermissionDate ,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,"NonHousingDevelopment
",Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,"FirstAddedDate
",LastUpdatedDate 
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR001,a wider barnwood manor proposed City Plan allocation,"Land at Barnwood Manor, Barnwood Road, Barnwood ",http://www.gloucester.gov.uk/Documents/GLOSBR001%20%20Barnwood%20Manor.pdf,OSGB36,386379,217791,0.7,not owned by a public authority,yes,not permissioned,,,,,20,there are proposals for new residential development replacing existing dwellings,not proposed for non housing development,,,,,,proposal by barnwood trust and city plan proposed allocation,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR002,,"Jordans Brook House, North Upton Lane, Barnwood",http://www.gloucester.gov.uk/Documents/GLOSBR002%20%20Jordans%20Brook%20House.pdf,OSGB36,386243,217705,0.85,owned by a public authority,yes,permissioned,FUL,08/10/2001,http://glcstrplnng12.co.uk/online-applications/simpleSearchResults.do?action=firstPage,,20,county council site proposed for residential development,not proposed for non housing development,,,,,,county council residential care facility site to be vacated early 2018,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR003,,"Norvilles Factory, Tarrington Road, Barton and Tredworth ",http://www.gloucester.gov.uk/Documents/GLOSBR003%20%20Former%20Norville%20Factory.pdf,OSGB36,383970,217124,0.77,not owned by a public authority,yes,permissioned,FUL,10/02/2017,http://glcstrplnng12.co.uk/online-applications/simpleSearchResults.do?action=firstPage,,63,former factory to be converted into affordable dwellings,not proposed for non housing development,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR004,,"Allstone site, off Myers Road, Elmbridge",http://www.gloucester.gov.uk/Documents/GLOSBR004%20%20Allstone%20Site.pdf,OSGB36,384737,218232,5.5,not owned by a public authority,yes,pending decision ,,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFGHMLI000,,200,"outline application for housing and student accommodation 
",not proposed for non housing development,,,,,,"this site has permission for residential and student units but at the point of entry into this register is still operating as a commercial waste transfer station 
",01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR005,,"Cheltenham Surfacing, off Myers Road, Elmbridge",http://www.gloucester.gov.uk/Documents/GLOSBR005%20%20Land%20at%20Cheltenham%20Surfacing.pdf,OSGB36,384430,218300,0.36,not owned by a public authority,yes,not permissioned,,,,,10,proposed for residential development,not proposed for non housing development,,,,,,"residential development on this site would be dependent on a new site being found for the 
existing business ",01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR006,,"Car park at Tuffley Library, off Windsor Drive, Grange ",http://www.gloucester.gov.uk/Documents/GLOSBR006%20%20Land%20at%20Tuffley%20Library.pdf,OSGB36,382114,214708,0.2,owned by a public authority,no,not permissioned,,,,,7,no housing development is currently proposed,not proposed for non housing development,,,,,,county council site,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR007,,"Great Western Road Sidings, Great Western Road, Kingsholm and Wotton",http://www.gloucester.gov.uk/Documents/GLOSBR007%20%20Great%20Western%20Road%20Sidings.pdf,OSGB36,384156,218366,4.5,owned by a public authority,yes,not permissioned,,,,,100,proposed for c.100 dwellings on part of the site  ,university technical college proposed,,,,,,a brownfield site which has been used as an operational siding but which has now been acquired by the homes and communities agency for housing and a university technical college with links to the hospital,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR008,,"Wessex House, Great Western Road, Kingsholm and Wotton",http://www.gloucester.gov.uk/Documents/GLOSBR008%20%20Wessex%20House.pdf,OSGB36,383706,218636,0.3,owned by a public authority,yes,not permissioned,,,,,20,"proposed for residential, employment or for educational use",employment or educational use proposed,,,,,,city council owned site in a strategic location near to the railway station and underpass,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR009,,"Hare Lane Car Park, Hare Lane, Kingsholm and Wotton ",http://www.gloucester.gov.uk/Documents/GLOSBR009%20%20Hare%20Lane%20Car%20Park.pdf,OSGB36,383382,218992,0.32,owned by a public authority,no,not permissioned,,,,,12,no housing development is currently proposed but could potentially come forward at a later date,not proposed for non housing development,,,,,,flood risk is significant on this site but mitigation design may be possible which would mean that housing could be viable ,01/12/2017,01/12/2017
http://opendatacommunities.org/id/district-council/gloucester,Gloucester City Council,GLOSBR010,,"9-11 St Catherine Street, Kingsholm and Wotton  ",http://www.gloucester.gov.uk/Documents/GLOSBR010%20%209-11%20St%20Catherine%20St.pdf,OSGB36,383317,219034,0.06,not owned by a public authority,no,not permissioned,,,,,6,"no housing development is currently proposed, flood risk is an issue that would need to be carefully managed",not proposed for non housing development,,,,,,"flood risk is significant on this site but mitigation design may be possible which would 
mean that housing could be viable ",01/12/2017,01/12/2017
