OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Achievable comment (Reg 4 (1)(d)),Available comment (Reg 4 (1)(c)),Suitable comment (Reg 4 (1)(b))
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BK045,,"""Land at Kirkstall Drive, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/9998/site_plan_bk045_-_land_at_kirkstall_drive_barnoldswick,WGS84,-2.17353,53.9209,0.11,not owned by a public authority,yes,permissioned,full planning permission,2005-06-08,https://publicaccess.pendle.gov.uk/online-applications/,,6,Erection of 6 two-storey houses in three blocks,,,,,,,Development at the site has been started but work has stopped and the developer is no longer on site. The owner of the site has previously suggested that work will recommence once the economic circumstances improve. The site has been stalled for 10 years. Site is still suitable for housing development and may come forward in the future. No Building Control records available. The owner has returned the Housing Land Survey form and indicated that they intend to complete the work within 2-5 years.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BK090,,"""Land to the rear of the Greyhound Pub, Manchester Road, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/9999/site_plan_bk090_-_land_to_rear_of_the_greyhound_pub_manchester_road_barnoldswick,WGS84,-2.18817,53.9126,0.22,not owned by a public authority,yes,permissioned,full planning permission,2015-04-02,https://publicaccess.pendle.gov.uk/online-applications/,,9,"Full: Erection of 9 dwellings with associated access, parking and landscaping.",,,,,,,Work has not started at this site. A further application at the site was dismissed at appeal. It is unclear as to the owners intentions. No Building Control records available. The owner has returned the Housing Land Survey form and indicated that they intend to start development within 1 year and complete it within 2-5 years.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BK110,,"""B Preston Joinery Works, Bank Street, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/10000/site_plan_bk110_-_b_preston_joinery_works_bank_street_barnoldswick,WGS84,-2.18389,53.9178,0.05,not owned by a public authority,yes,permissioned,full planning permission,2015-11-25,https://publicaccess.pendle.gov.uk/online-applications/,,5,"Full: Erection of 5 dwellings with associated curtilages, landscaping and parking area to side.",,,,,,,Development at the site has not yet started. The demolition of the existing workshop building has now been carried out. No Building Control records available.  Owner has returned the Housing Land Survey form indicating they intend to start the development within 1 year and complete it within 2-5 years.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BK115,,"""Briercliffe Lodge, Rainhall Crescent, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/10001/site_plan_bk115_-_briercliffe_lodge_rainhall_crescent_barnoldswick,WGS84,-2.17163,53.9199,0.14,not owned by a public authority,yes,permissioned,outline planning permission,2016-06-13,https://publicaccess.pendle.gov.uk/online-applications/,,5,"Outline: Demolition of existing nursing home and construction of 5 dwelling houses in a terrace row (Access, Layout and Scale).",,,,,,,No work has started at this site - Outline permission only. No Reserved Matters application submitted. No Building Control records available. Owner has returned the Housing Land Survey form indicating that they intend to start and complete the site within 2-5 years. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BK116,,"""St Andrews Methodist Church, Mosley Street, Barnoldswick""",http://www.pendle.gov.uk/downloads/file/10002/site_plan_bk116_-_st_andrews_methodist_church_mosley_street_barnoldswick,WGS84,-2.18512,53.9156,0.14,not owned by a public authority,yes,permissioned,full planning permission,2016-07-06,https://publicaccess.pendle.gov.uk/online-applications/,,6,"Full: Part demolition of school building and conversion to six 1 and 2 bed apartments and erection of two storey extension to rear, erection of single storey extension to rear of church.",,,,,,,No work has started at this site. A Building Control application for the extension has been submitted. Owner did not return the Housing Land Survey form. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BR037,,"""Four Oaks, The Crescent, Brierfield""",http://www.pendle.gov.uk/downloads/file/10003/site_plan_br037_-_four_oaks_the_crescent_brierfield,WGS84,-2.2309,53.8185,0.39,not owned by a public authority,yes,permissioned,full planning permission,2013-09-04,https://publicaccess.pendle.gov.uk/online-applications/,,9,Extension of Time: Extend the time limit of Planning Permission 13/10/0317P for the demolition of an existing dwelling and erection of 9 dwelling houses and two detached garages.,,,,,,,"Development at the site has not yet started, Although Building Control records indicate that some foundations for one of the dwellings has now been laid.  Owner did not return the Housing Land Survey form. ",2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BR053,,"""Marsden Cross, 30 Higher Reedley Road, Brierfield""",http://www.pendle.gov.uk/downloads/file/10004/site_plan_br053_-_marsden_cross_30_higher_reedley_road_brierfield,WGS84,-2.22047,53.8224,0.26,not owned by a public authority,,not permissioned,,,,,4,,,,4,10,,,Development has not started at this site and the permission has now expired. It is unlikely that the site will come forward in the next five years but is still a potentially developable site. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - previous application shows intention to develop the site."" ","""Yes - in the opinion of the local authority the site is appropriate for residential development. A new scheme for the site is expected in the near future."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,BY011,,"""Barley House Farm, Barley Lane, Barley""",http://www.pendle.gov.uk/downloads/file/10005/site_plan_by011_-_barley_house_farm_barley_lane_barley,WGS84,-2.27248,53.8603,0.25,not owned by a public authority,yes,permissioned,outline planning permission,2015-09-15,https://publicaccess.pendle.gov.uk/online-applications/,,5,"Outline: Erection of five dwellings (Access only), demolition of agricultural buildings and formation of access road (Re-Submission).",,,,,,,Work has not started at this site - Outline permission only. A Reserved Matters application has not been submitted. No Building Control records available. Owner did not return the Housing Land Survey form.,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site."" ","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,CE078,,"""Oak Mill, Skipton Road, Colne""",http://www.pendle.gov.uk/downloads/file/10006/site_plan_ce078_-_oak_mill_skipton_road_colne,WGS84,-2.16165,53.8621,0.78,owned by a public authority,yes,permissioned,full planning permission,2016-12-12,https://publicaccess.pendle.gov.uk/online-applications/,,32,"Full: Major: Erection of 32 dwellings with associated works including parking, highways and landscaping.",,,,,,,A new planning permission has been granted at this site. The site is now in the Council's ownership and is being brought forward by the Joint Venture Partnership PEARL. No Building Control records available. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - the owner has expressed an intention to develop the land.""","""Yes - site has planning permission for residential development."""
http://opendatacommunities.org/id/district-council/pendle,Pendle Borough Council,CE143,,"""Former Cement Works, Knotts Lane, Colne""",http://www.pendle.gov.uk/downloads/file/10007/site_plan_ce143_-_former_cement_works_knotts_lane_colne,WGS84,-2.17601,53.8497,0.29,not owned by a public authority,yes,permissioned,full planning permission,2016-02-05,https://publicaccess.pendle.gov.uk/online-applications/,,5,Full: Erection of five detached dwelling houses with garages.,,,,,,,This site is allocated as HMR Reserved Housing Land in the Replacement Pendle Local Plan. Development at the site has not yet started. No Building Control records available for the current planning application. Owner did not return the Housing Land Survey form. ,2017-12-14,2017-12-14,"""Yes - information available indicates that development is likely to take place within 15 years.""","""Yes - through the submission of the planning application the owner has expressed the intention to develop the site."" ","""Yes - site has planning permission for residential development."""
