ORGANISATION URL,ORGANISATION LABEL,SITE REFERENCE,PREVIOUSLY PART OF,SITE NAME ADDRESS,SITE PLAN URL,COORDINATE REFERENCE SYSTEM,GEOX,GEOY,HECTARES,OWNERSHIP STATUS,DELIVERABLE,PLANNING STATUS,PERMISSION TYPE,PERMISSION DATE,PLANNING HISTORY,PROPOSED FOR PIP,MIN NET DWELLINGS,DEVELOPMENT DESCRIPTION,NON HOUSING DEVELOPMENT,PART 2,NET DWELLINGS RANGE FROM,NET DWELLINGS RANGE TO,HAZARDOUS SUBSTANCES,SITE INFORMATION,NOTES,FIRST ADDED DATE,LAST UPDATED DATE,EASTING,NORTHING
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/4140,,13A Derby Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535599&lat=183882,ETRS8,-0.046200371,51.53756399,0.05,unknown,,permissioned,planning permission granted under an order,01/03/2017,,,7,Prior approval for the change of use from storage and distribution (use class B8) to 7 residential units (use class C3),,,,,,,,31/12/2017,,535599,183882
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2017/0873,,238 Stamford Hill,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533710&lat=187880,ETRS8,-0.071913745,51.57394435,0.03,unknown,,permissioned,planning permission granted under an order,25/04/2017,,,6,Prior approval sought for change of use of office floor space  (B1(a) use class) at first floor level to 6no. residential flats (C3 use  class),,,,,,,,31/12/2017,,533710,187880
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/2420,,Cambridge Court Amhurst Park,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533343&lat=187966,ETRS8,-0.077172467,51.57480161,0.29,unknown,,permissioned,full planning permission,24/08/2016,,,5,Conversion of existing storage space to provide five new self-contained residential units.,,,,,,,,31/12/2017,,533343,187966
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2015/4019,,54-54a Clapton Common,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534286&lat=187601,ETRS8,-0.063703396,51.57130164,0.06,unknown,,permissioned,full planning permission,03/08/2017,,,19,"Demolition of existing residential buildings and erection of a seven-storey building at lower ground, ground and first to fifth floor levels to provide 19 self-contained residential units (1 x 1-bed, 9 x 2-bed and 9 x 3-bed); associated landscaping, cyc",,,,,,,,31/12/2017,,534286,187601
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/2345,,"Stamford Lodge, Amhurst Park",https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533555&lat=187805,ETRS8,-0.074166563,51.57330968,0.36,unknown,,permissioned,full planning permission,27/03/2017,,,8,Erection of two storey roof extension above four storey block B of Stamford Lodge and a single storey roof extension above the six storey block A to provide 8 new residential units; provision of balconies/terraces and the partial use of the roof to Bloc,,,,,,,,31/12/2017,,533555,187805
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/1348,,"Lyttleton House, Well Street",https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535373&lat=184449,ETRS8,-0.04924641,51.54271697,0.31,unknown,,permissioned,full planning permission,03/10/2017,,,25,"Demolition of existing buildings and structures and erection of a part 4 and part 5 storey building to creast 25 self-contained dwellings (11 x 1 bed, 8 x 2 bed and 6 x 3 bed); refuse and recycling facilities; cycle storage; landscaping and external wor",,,,,,,,31/12/2017,,535373,184449
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2016/3833,,Land to the R/O 130-134 Richmond Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534094&lat=184429,ETRS8,-0.067686672,51.54283812,0.03,unknown,,permissioned,full planning permission,20/06/2017,,,7,"Erection of a three storey plus lower ground floor building to the end of the existing terrace on 75 Malvern Road to provide seven flats (3 x 1 bed, 2 x 2 bed and 2 x 3 bed).",,,,,,,,31/12/2017,,534094,184429
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0610,,154 Dalston Lane,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534157&lat=184989,ETRS8,-0.066568003,51.54785789,0.04,unknown,,permissioned,full planning permission,20/01/2015,,,7,"Demolition of existing building and construction of a 5-storey building comprising B1 (office) floorspace at ground and first floor levels, and 7 x residential units above, with 3 car parking spaces and covered cycle store in the rear.","B1 Office at ground and first floor, 380sqm",,,,,,,31/12/2017,,534157,184989
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/3457,,34 Englefield Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533107&lat=184424,ETRS8,-0.081915057,51.54303382,0.05,unknown,,permissioned,planning permission granted under an order,12/09/2014,,,9,"Prior notification for change of use from B1 (office) to C3 (residential) to provide 9 x residential units (3 x 3-bed, 4 x 2-bed and 2 x 1-bed).",,,,,,,,31/12/2017,,533107,184424
http://opendatacommunities.org/id/london-borough-council/hackney,Hackney,2014/0727,,231a Graham Road,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534875&lat=184895,ETRS8,-0.05624849,51.54684533,0.04,unknown,,permissioned,full planning permission,22/05/2014,,,9,"Erection of part 3, part 4-storey mixed use development comprising 80sqm of B1 floorspace at ground floor level and 9 x self contained residential units at ground, first, second and third floor level (4x1 bedroom, 2x2 bedroom and 3x3 bedroom); provision","B1 office at ground floor, 80sqm",,,,,,,31/12/2017,,534875,184895
