OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeto,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA51,SHLAA,"Former Goods Yard, London Road Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,341180,555002,1.99,not owned by a public authority,,not permissioned,,,,,50,,,,,,yes,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA25,SHLAA,"South Western Terrace, Carlisle",http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,340140,554546,3.11,not owned by a public authority,,not permissioned,,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_53082,,90,Authority to issue permission on site for 7 years. Contamination issues. Not deliverable in 5 years,,,,,yes,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA12,SHLAA,Site of Morton Primary School Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338217,554486,1.67,owned by a public authority,Yes,permissioned,other,30/03/2010,https://cloud2.atriumsoft.com/ePlanningCMB/loadFullDetails.do?aplId=45192,,54,Permission for 60 bed care home,Permission for 60 bed care home,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA49,SHLAA,Nelson Street Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339526,555309,2.84,not owned by a public authority,,permissioned,outline planning permission,,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_56003,,80,"Outline permission for residential development on site since 2004, regularly renewed.",,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA42,SHLAA,Hollywell Crescent Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,342266,555073,1.51,not owned by a public authority,,decision pending,outline planning permission,26/03/2014,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_70305,,66,outline permission for 66 dwellings. RM pending.,,,,,yes,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA31,SHLAA,Dalston Road Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339291,555539,1.12,not owned by a public authority,,not permissioned,,,,,30,,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA75,SHLAA,Caxton Rd Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338085,556280,1.4,not owned by a public authority,Yes,permissioned,outline planning permission,11/08/2016,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activhttp://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_71165,,40,outline permission for 63 dwellings. Reserved matters currently being considered.,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,OC23,SHLAA,Harker Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,338952,560768,10.59,not owned by a public authority,,not permissioned,,,http://publicaccess.carlisle.gov.uk/online-applications/simpleSearchResults.do;jsessionid=DEDBAF9DA529115979CC5176DAB07EF4?action=firstPage,,300,,,,,,,,,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,CA100,SHLAA,Edgehill Road Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,342708,554541,3.46,not owned by a public authority,,permissioned,other,14/07/2016,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_67551,,103,,Temporary permission for porta-cabin classrooms in response to flood,,,,,,Land to be used for temporary relocation of school until 2021,31/12/2017,31/12/2017
http://opendatacommunities.org/id/district-council/carlisle,Carlisle City Council,17/0232,,Former KSS Factory Constable St Carlisle,http://www.carlisle.gov.uk/planning-policy/Evidence-Base/Brownfield-Register,OSGB36,339595,554730,0.59,not owned by a public authority,,permissioned,full planning permission,02/06/2017,http://publicaccess.carlisle.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_CARLI_DCAPR_70255,,44,,,,,,,,,31/12/2017,31/12/2017
