OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Settlement
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H02,,"""Former Sewage Works, South of Harbury Lane""",http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=5000&location=431001.677083333^262658.5625&layersidentifier=cb22aef6dd3841d8874328867f1020a1&backgroundmap=MapDefaultLayerNames,OSGB36,430909,262649,13.10,not owned by a public authority,,not permissioned,,,,,196,,,,196,327,,,Local plan allocation for 215 dwellings. Policy DS13 allocation of land for a country park also applies,2017-12-31,2017-12-31,Warwick 
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H09,,"""Kenilworth School Site, Leyes Lane""",http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=430067.458333334^272012.03125&layersidentifier=d819a8db892d401c8210a05600e9e43d&backgroundmap=MapDefaultLayerNames,OSGB36,430041,272016,9.41,owned by a public authority,,not permissioned,,,,,189,,,,189,315,,,Local plan allocation for 250 dwellings,2017-12-31,2017-12-31,Kenilworth
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H11,,Land at Montague Road,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=429036.942916667^266045.81875&layersidentifier=464781f95ca048058421ee4e0673e54e&backgroundmap=MapDefaultLayerNames,OSGB36,428989,266044,3.49,owned by a public authority,,not permissioned,,,,,140,,,,140,140,,,Local plan allocation for 140 dwellings,2017-12-31,2017-12-31,Warwick
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H12,,"""Kenilworth VI Form College, Rouncil Lane""",http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=5000&location=428853.722916667^270408.022916667&layersidentifier=3cdb1478153847d38e57cebb9f217ff8&backgroundmap=MapDefaultLayerNames,OSGB36,428700,270521,5.20,owned by a public authority,,not permissioned,,,,,112,,,,112,187,,,Local plan allocation for 130 dwellings,2017-12-31,2017-12-31,Kenilworth
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H14,,Riverside House,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=750&location=431268.8%5e265771.54&layersidentifier=6dd444fe69f5435b893f99067cec2a75&backgroundmap=MapDefaultLayerNames,OSGB36,431243,265777,1.75,owned by a public authority,,pending decision,outline planning permission,,https://planningdocuments.warwickdc.gov.uk/online-applications/simpleSearchResults.do?action=firstPage&searchType=Application&searchCriteria.reference=W/17/1701,,32,"""Demolition of Riverside House and the redevelopment of the site to provide new buildings ranging from 2.5 to 6 storeys for up to 170 residential dwellings."" ",,,,,,,Local plan allocation  for 100 dwellings ,2017-12-31,2017-12-31,Leamington Spa
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,H16    ,,Court Street,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=432126.135770833^265105.173270833&layersidentifier=87a283ab94d540a49a4c4c3b7b86f4cb&backgroundmap=MapDefaultLayerNames,OSGB36,432120,265095,1.48,owned by a public authority,,not permissioned,,,,,30,,,,30,75,,,Local plan allocation for 75 dwellings,2017-12-31,2017-12-31,Leamington Spa
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,L35,,Station Approach,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=431500.4205^265335.947&layersidentifier=1d83ccfb80114bf8a6b9968e98d83bba&backgroundmap=MapDefaultLayerNames,OSGB36,431574,265322,4.70,not owned by a public authority,,permissioned,full planning permission,2016-02-04,https://planningdocuments.warwickdc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WARWI_DCAPR_73167,,212,"'''Demolition of the existing bus depot, car sales lot and disused building between the lower and upper portions of Station Approach and changes to existing Warwick District Council car park reducing spaces from 300 down to 100. Construction of 212 homes consisting of 118 flats and 94 houses with ancillary parking, open space and associated highway alterations to Station Approach.'''' ",,,,,,,SHLAA allocation ,2017-12-31,2017-12-31,Leamington Spa
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,L55,,"""Land at Hazelmere, Golf Lane""",http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=750&location=432998^262562&layersidentifier=1c85868b3aac4a1892b3abf3d0130d53&backgroundmap=MapDefaultLayerNames,OSGB36,432998,262562,0.57,not owned by a public authority,,not permissioned,,,,,10,,,,10,22,,,SHLAA allocation,2017-12-31,2017-12-31,Whitnash
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,L56,,"""Land at Little Acre, Golf Lane""",http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=433131.217708333^262487.850520834&layersidentifier=2900f8f471fe4c938e652fe02f61f9fe&backgroundmap=MapDefaultLayerNames,OSGB36,433085,262519,2.78,not owned by a public authority,,not permissioned,,,,,56,,,,56,93,,,SHLAA allocation,2017-12-31,2017-12-31,Whitnash
http://opendatacommunities.org/id/district-council/warwick,Warwick District Council,L58,,Lillington Free Church,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=500&location=432773.45^267497.008&layersidentifier=1add1a511bfb493ab61014d271395b33&backgroundmap=MapDefaultLayerNames,OSGB36,432771,267496,0.41,not owned by a public authority,yes,permissioned,full planning permission,2017-09-15,https://planningdocuments.warwickdc.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_WARWI_DCAPR_78384,,25,"""""Erection of a church/cummunity hall and 25no affordable dwellings with associated landscaping, parking, access and infrastructure.""""",,,,,,,SHLAA allocation ,2017-12-31,2017-12-31,Leamington Spa
