OrganisationURI,Organisation Label,Site Reference,Previously Part Of,Site Name Address,Site plan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date,Location
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR1,-,"The Tally Ho Inn, 45 Ploughley Road, Arncott",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,461025,218018,0.4,Not owned by a public authority,yes,Permissioned,outline planning permission,2017-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,17,13/01576/OUT - Conversion of 3 no bedroom blocks to form 17 one bedroom retirement dwellings.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Arncott
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR2,-,1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445507,240613,0.12,Not owned by a public authority,yes,Permissioned,full planning permission,2016-11-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,8,16/01932/F - Retention of ground floor retail units and conversion of first floor over shops to form eight flats - re-submission of 16/00815/F,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR3,-,"15 - 16 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445345,240259,0.02,Not owned by a public authority,yes,Permissioned,full planning permission,2014-11-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,5,14/01016/F - Change of use/conversion from offices to 5 apartments and a single storey rear extension and replacement two storey extension.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR4,-,"27 Park Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,444776,240472,0.07,Not owned by a public authority,yes,Permissioned,full planning permission,2015-12-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,6,15/01555/F - Conversion of the existing building to form 6 no. self contained flats with associated car parking.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR5,-,"3 West Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445179,240322,0.14,Not owned by a public authority,yes,Permissioned,full planning permission,2016-12-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,12,16/00037/F - Conversion and change of use of existing offices to create 12 no. new apartments. Works including: new 2.5 storey extension (previously approved); replacement of existing single storey element with 2.5 storey extension (previously approved 2 storey extension); associated landscaping and parking (amended scheme to 08/01665/F).,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR6,-,"60 - 62 Broad Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445688,240512,0.06,Not owned by a public authority,yes,Permissioned,full planning permission,2014-10-01,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,8,14/00859/F - Alterations and minor extensions to the front and rear facades and change of use to accommodate 2 retail units at ground floor level| 2 mews houses with integral parking to the rear and 6 self-contained flats.,2 retail units at ground floor (346 sqm),-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR7,-,"Admiral Holland, Woodgreen Avenue, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,444442,240624,0.4,Owned by a public authority,yes,Not permissioned,-,-,-,-,16,2017 HELAA site - HELAA253. Demolition of the public house took place in Spring 2017. A planning application for 16 dwellings is expected.,-,-,-,-,-,-,This is a council owned site. Planning permission for the demolition of the public house has already been granted.,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR8,-,"Ambulance Station, Cope Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445168,240971,0.15,Owned by a public authority,yes,Permissioned,full planning permission,2015-03-20,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,6,14/02149/CDC - Redevelopment to provide 6 dwellings of shared accommodation including 2 self-contained units for staff.,-,-,-,-,-,-,,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR9,-,"Canalside, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446105,240254,26,Mixed ownership,-,Not permissioned,-,-,-,-,700,"Local Plan strategic allocation - Banbury 1. Proposes 700 dwellings and 15,000 sqm of commercial uses (only limited new B1a office use classes)",Commercial uses - only limited new B1a office use (15000 sqm),-,-,-,-,-,2017 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared.,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR10,-,"Car Park Edmunds House, 40 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445258,240190,0.08,Not owned by a public authority,yes,Permissioned,full planning permission,2014-07-03,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,5,14/00074/F - 5 dwellings.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR11,-,"Land at Bolton Road, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445482,240714,2,Unknown ownership,-,Not permissioned,-,-,-,-,200,"Local Plan strategic allocation - Banbury 8. Proposes 200 dwellings and retail, hotel, leisure and car parking.","Retail, hotel, leisure and car parking (commensurate scale)",-,-,-,-,-,2017 HELAA site - HELAA257. A Bolton Road Supplementary Planning Document is programmed in the Local Development Scheme.,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR12,-,"Land at Higham Way, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,446500,240186,3,Not owned by a public authority,yes,Not permissioned,-,-,-,-,150,Local Plan strategic allocation - Banbury 19. Proposes 150 dwellings.,-,-,-,-,-,-,2017 HELAA site - HELAA254.,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR13,-,"Mercia House, 51 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445276,240337,0.14,Not owned by a public authority,yes,Permissioned,full planning permission,2017-02-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,10,"16/02363/F - Conversion of existing office building to form 10 No residential apartments; new aluminium windowsto rear building; painting existing East facade off white; internal modifications and some minor alterations to
existing windows on South and West elevations; bin storage and cycle storage areas.",-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR14,-,"Morrison Property Consultants, 24 Horse Fair, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445370,240512,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2017-03-31,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,8,17/00225/F - Change of Use from Single Residential Use to 8 No. Residential Apartments and Associated Internal Alterations and Refurbishment,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR15,-,"P R Alcock And Sons Ltd, Castle Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445571,240807,0.16,Not owned by a public authority,yes,Permissioned,full planning permission,2015-11-26,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,5,15/01788/F - Redevelopment of the existing builders yard buildings to create 4 No dwellings and the extension of the existing terrace of dwellings to create 1 No further dwelling.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR16,-,"Poundland, 1 - 6 Malthouse Walk, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445797,240546,0.07,Not owned by a public authority,yes,Permissioned,full planning permission,2015-11-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,20,15/01691/O56 - Change of use of building (first and second floors) from class B1(a) offices to class C3 dwelling houses (20 No one bedroom flats).,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR17,-,"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445346,240268,0.03,Not owned by a public authority,yes,Permissioned,full planning permission,2015-03-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,7,14/01709/F - Partial demolition of ground floor rear extension| conversion and alterations to property to provide 7 No. self contained residential units with class A1 retail unit to ground floor frontage.,A1 retail unit (52 sqm),-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR18,-,"The Unicorn, Market Place, Banbury",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,445612,240640,0.04,Not owned by a public authority,yes,Permissioned,full planning permission,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,7,16/01661/F - Conversion of Unicorn Inn and coach house to residential use (7 flats).  Internal and external alterations.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Banbury
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR19,-,"Bessemer Close/Launton Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,459145,222696,1.18,Not owned by a public authority,yes,Permissioned,outline planning permission,2017-08-25,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,70,"15/02074/OUT - Demolition of existing industrial buildings and erection of 21 affordable dwellings and 49 open market dwellings, with associated new access, open space and landscaping.",-,-,-,-,-,-,-,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR20,-,"Former Bicester Library, Old Place Yard, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458354,222208,0.04,Owned by a public authority,yes,Not permissioned,-,-,-,-,6,2017 HELAA site - HELAA080. The site could accommodate 6 dwellings.,-,-,-,-,-,-,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR21,-,"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,457893,223267,0.1,Not owned by a public authority,yes,Permissioned,full planning permission,2016-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,6,16/01421/F - Demolition of existing garage. Development of 4 apartments (2 x 1 bed units and 2 x 2 bed units). Provision of associated external areas to include parking| bin and cycle stores.,-,-,-,-,-,-,-,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR22,-,"McKay Trading Estate, Station Approach, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458622,222054,1.2,Not owned by a public authority,yes,Not permissioned,-,-,-,-,60,2017 HELAA site - HELAA070.  The site could accommodate 60 dwellings as part of a mixed-use scheme.,Employment - B use class (commensurate scale),-,-,-,-,-,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR23,-,"St Edburg's School, Cemetery Road, Bicester",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,458143,222246,0.37,Not owned by a public authority,yes,Not permissioned,-,-,-,-,10,2017 HELAA site - HELAA262. The site could accommodate 14 dwellings.,-,-,-,-,-,-,Development principles approved in October 2008 for re-use of school buildings. ,2017-12-04,2017-12-04,Bicester
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR24,-,"B Line Business Centre, Station Road, Enslow",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,448324,218178,0.61,Not owned by a public authority,yes,Permissioned,full planning permission,2016-11-21,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,14,"15/00822/F - Erection of office building and 14 no. dwellings together with associated car parking, cycle parking, garages, public amenity spaces and new footway link.",B1a office (170 sqm),-,-,-,-,-,-,2017-12-04,2017-12-04,Bletchingdon
http://opendatacommunities.org/id/district-council/cherwell,Cherwell District Council,BLR25,-,"The George And Dragon, 15 East Street, Fritwell",https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,OSGB36,452817,229340,0.22,Not owned by a public authority,-,Permissioned,full planning permission,2016-05-25,https://www.publicaccess.cherwell.gov.uk/online-applications/,-,7,16/00023/F - George and Dragon site - Erection of a terrace of 4 no. 3 bed cottages with parking. Erection of single storey village hall reusing existing village car park and access. Village Hall site - Demolition of existing village Hall and erection of 7 no. 3 bed houses with through access to surface parking.,D2 village hall (135 sqm),-,-,-,-,-,A new planning application is expected for 7 dwellings on only the George and Dragon site.,2017-12-04,2017-12-04,Fritwell
