OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPiP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,AlternativeReference,AlternativeReference
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0011,,"""The Wickford Education Centre, Alderney Gardens, Wickford"" ",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7740&p=0,WGS84,0.518163,51.620044,0.84,owned by a public authority,yes,not permissioned,,,,,17,,,,17,23,,,"""Deliverable within 4 years. Site is within approx 4.3km of SAC, SPA and Ramsar. 21/07/17.""",21/07/2017,21/07/2017,SS0164,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0012,,"""Land at 157-167 Nevendon Road, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7741&p=0,WGS84,0.516439,51.604306,0.54,owned by a public authority,yes,permissioned,full planning permission,24/04/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,6,"""Re-development of disused community hall, car parking areas and surrounding land, including removal of highway rights, to provide 4 no. two-bedroom houses and 2 no. two-bedroom flats with associated parking provision.""",,,6,6,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Permission for housing granted on part of the site, works commenced. Only to be removed once completed. Deliverable within 2 years. Site is within approx 4.9km of SAC, SPA and Ramsar. 21/07/17.""",21/07/2017,21/07/2017,SS0177,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0013,,"""Laindon Town Centre/shopping centre, Laindon High Road"" ",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7742&p=0,WGS84,0.423021,51.574086,5.78,ownership unknown,yes,permissioned,full planning permission,04/10/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,224,"""Redevelopment for residential, food store, business, retail, financial & professional service, restaurants/cafés, drinking establishments, hot food takeaways, non-residential institutions & assembly & leisure with associated parking, access, servicing, landscaping & open spaces.""",,,224,224,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Site area amended to match pp. Planning Permission granted, expires 04/10/2020. Only to be removed once expired or completed. Deliverable within 6 years. 24/10/17.""",21/07/2017,21/07/2017,SS0181,16/01594/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0014,,"""Alpha Garden Centre, London Road, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7743&p=0,WGS84,0.49708,51.611033,1.94,not owned by a public authority,yes,not permissioned,,,,,8,,,,8,11,,,	Site area from HELAA reduced to Brownfield land only. 	Deliverable within 7 years. 21/07/17.,21/07/2017,21/07/2017,SS0197,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0015,,"""Basildon zoo site, London road, Vange""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7744&p=0,WGS84,0.471136,51.554592,0.88,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,Site area from HELAA reduced to Brownfield land only.  Deliverable within 6 years. No current enf case. 25/07/17.,25/07/2017,25/07/2017,SS0236,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0016,,"""St Mary's and Sirocoby Kennels, Newhouse Avenue, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7745&p=0,WGS84,0.495242,51.611747,0.28,not owned by a public authority,yes,not permissioned,,,,,2,,,,2,2,,,Deliverable within 6 years. No relevant enf history. 25/07/17.,25/07/2017,25/07/2017,SS0298,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0017,,"""Land at junction of Pound Land and Clarence Road, Basildon""  ",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7746&p=0,WGS84,0.53321,51.547007,0.53,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,,Within approx 4.5km of SPA and Ramsar. Deliverable within 6 years. 1no. existing dwelling. No current enf history. 26/07/17.,26/07/2017,26/07/2017,SS0445,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0018,,"""Land south of Clarence Road, Bowers Gifford, Basildon"" ",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7747&p=0,WGS84,0.533816,51.574012,0.31,not owned by a public authority,yes,not permissioned,,,,,1,,,,1,1,,,Within approx 4.5km of SPA and Ramsar. Deliverable within 6 years. 1no. existing dwelling. No current enf history. 31/07/17.,31/07/2017,31/07/2017,SS0526,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0019,,"""Land at The Elms, Cranfield Park Road, Wickford, SS12 9EP""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7748&p=0,WGS84,0.526544,51.597983,1.89,not owned by a public authority,yes,not permissioned,,,,,8,,,,8,8,,,Deliverable within 6 years. 1no. existing dwelling. No enf history. 02/08/17.,02/08/2017,02/08/2017,SS0592,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0020,,"""Gifford House, London Road, Basildon. SS13 2EY""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7749&p=0,WGS84,0.529141,51.565704,1.02,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,18,,,"""Within approx 4.2km of SSSI, SPA and Ramsar.  Deliverable within 7 years. 02/08/17.""",02/08/2017,02/08/2017,SS0624,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0021,,"""245 Pound Lane, Bowers Gifford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7750&p=0,WGS84,0.531807,51.576807,0.38,not owned by a public authority,yes,not permissioned,,,,,2,,,,2,2,,,Deliverable within 6 years. 1no. existing dwelling. Within approx 4.9km of an SPA and Ramsar. LDC granted for land use. 07/08/17.,07/08/2017,07/08/2017,SS0670,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0022,,"""Land at Long Lynderswood, Basildon. SS15 5UN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7751&p=0,WGS84,0.451101,51.569959,0.42,owned by a public authority,yes,permissioned,full planning permission,24/01/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,20,"""Redevelopment of vacant community club building/parking area and surrounding land,  including change of use of highway land, in the form of a part three/part four storey block to provide 20 x two bedroom flats with car/cycle parking provision.""",,,20,20,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, expires 24/01/2020. Only to be removed once expired or completed. Within approx 4.5km of SSSI. Deliverable within 2 years. 07/08/17.""",07/08/2017,07/08/2017,SS0675,16/01134/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0023,,"""Roman Way, Billericay. CM12 9LJ""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7752&p=0,WGS84,0.418258,51.619195,0.51,owned by a public authority,yes,permissioned,full planning permission,15/02/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,-15,"""Construction of 15 no. houses comprising 9 no. two-bedroom, 2 no. three-bedroom and 4 no. four-bedroom homes, with associated parking, boundary walls and fences, landscaping, removal of highway rights and creation of a one-way access road together with parking for two coaches for use by the adjacent school.""",,,-15,-15,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, works have not commenced, permission expires 15/02/2020. Only to be removed once completed or expired. 30no. existing dwellings. Deliverable within 2 years. 07/08/17.""",07/08/2017,07/08/2017,SS0676,16/01226/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0024,,"""Cedar Avenue, Wickford""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7753&p=0,WGS84,0.518132,51.603317,0.16,owned by a public authority,yes,permissioned,full planning permission,24/04/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,4,"""Re-development of Thackeray Row garage site, to provide 4 no. two-bedroom houses with private amenity space and car parking provision, including the removal of highway rights.""",,,4,4,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, works have not commenced, permission expires 24/04/2020. Only to be removed once completed or expired. Deliverable within 1 year. 07/08/17.""",07/08/2017,07/08/2017,SS0677,16/01165/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0025,,"""Glenmere, Basildon. SS16 4QR""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7754&p=0,WGS84,0.479708,51.554915,0.13,owned by a public authority,yes,permissioned,full planning permission,08/11/2017,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Demolition of the existing community hall and garages, and erection of four x two-bedroom dwellings and one x three-bedroom dwelling, with associated parking, boundary walls and hard landscaping; together with resurfacing of the hardstandings and creation of 10 additional parking bays on land between 33 and 37; 80 and 82; and 88 and 90 Glenmere.""",,,5,5,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning permission granted, expires 8/11/20. Deliverable within 1 year. 09/11/17.""",07/08/2017,09/11/2017,SS0680,17/01267/FULL
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0026,,"""Littlethorpe, Basildon. SS16 4LH""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7755&p=0,WGS84,0.489406,51.56132,0.51,owned by a public authority,yes,not permissioned,,,,,7,,,,7,16,,,Deliverable within 4 years. With approx 0.5km of SSSI. 7no. existing dwellings. 07/08/17.,07/08/2017,07/08/2017,SS0681,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0027,,"""Pitsea Housing Office/The Place, Northlands Pavement, Basildon. SS13 3DU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7756&p=0,WGS84,0.503796,51.566913,0.71,owned by a public authority,yes,not permissioned,,,,,18,,,,18,32,,,Deliverable within 4 years. 07/08/17.,07/08/2017,07/08/2017,SS0682,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0028,,"""Swan Mead Centre, Church Road, Basildon. SS16 4AG""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7757&p=0,WGS84,0.474641,51.568143,0.32,owned by a public authority,yes,not permissioned,,,,,9,,,,9,11,,,	Site area from HELAA reduced to Brownfield land only. Deliverable within 4 years. 07/08/17.,07/08/2017,07/08/2017,SS0684,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0029,,"""St Chad's Church, Clay Hill Road, Basildon""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7758&p=0,WGS84,0.486281,51.56031,0.42,owned by a public authority,yes,not permissioned,,,,,12,,,,12,19,,,Deliverable within 4 years. 07/08/17.,07/08/2017,07/08/2017,SS0689,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0030,,"""Garages located at Downey Close, Basildon. SS14 2NF""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7759&p=0,WGS84,0.47199,51.574863,0.17,owned by a public authority,yes,not permissioned,,,,,5,,,,5,6,,,Deliverable within 3 years. 07/08/17.,07/08/2017,07/08/2017,SS0695,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0031,,"""Garages located at Great Knightleys and Swan Close, Basildon. SS15 5GE""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7760&p=0,WGS84,0.441382,51.573058,0.22,owned by a public authority,yes,not permissioned,,,,,6,,,,6,7,,,Deliverable within 3 years. 07/08/17.,07/08/2017,07/08/2017,SS0696,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0032,,"""Garages to the south of 13 Falstones, Basildon. SS15 5BU""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7761&p=0,WGS84,0.445631,51.571018,0.19,owned by a public authority,yes,not permissioned,,,,,5,,,,5,6,,,Deliverable within 3 years. Within approx 1.8km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0698,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0033,,"""Garages to the north of 84 Falstones, Basildon. SS15 5BX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7762&p=0,WGS84,0.443531,51.571421,0.15,owned by a public authority,yes,not permissioned,,,,,4,,,,4,5,,,Deliverable within 3 years. Within approx 1.9km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0699,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0034,,"""Garages to the north of 108 Falstones, Basildon. SS15 5DF""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7763&p=0,WGS84,0.442107,51.570956,0.3,owned by a public authority,yes,not permissioned,,,,,8,,,,8,10,,,Deliverable within 3 years. Within approx 1.9km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0700,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0035,,"""Garages to the north of 86 Paprills, Basildon. SS16 5QX""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7764&p=0,WGS84,0.441623,51.565975,0.28,owned by a public authority,yes,not permissioned,,,,,4,,,,4,10,,,Deliverable within 3 years. Within approx 1.5km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0701,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0036,,"""Garages north and west of 1 Cadogan Terrace, Basildon. SS13 2BD""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7765&p=0,WGS84,0.515851,51.573544,0.17,owned by a public authority,yes,not permissioned,,,,,5,,,,5,9,,,Deliverable within 3 years. Within approx 1.6km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0704,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0037,,"""Garages to the south of 11 Culverdown, Basildon. SS14 2AL""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7766&p=0,WGS84,0.458822,51.573161,0.21,owned by a public authority,yes,not permissioned,,,,,6,,,,6,7,,,Deliverable within 3 years. Within approx 1.8km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0705,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0038,,"""Garages to the west of 85 Great Mistley, Basildon. SS16 4BE""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7767&p=0,WGS84,0.471276,51.565435,0.17,owned by a public authority,yes,not permissioned,,,,,6,,,,6,9,,,Deliverable within 3 years. Within approx 1.3km of SSSI. 07/08/17.,07/08/2017,07/08/2017,SS0707,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0039,,"""1A Bruce Grove, Wickford, Essex.""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7768&p=0,WGS84,0.539203,51.608493,0.94,not owned by a public authority,yes,pending decision,reserved matters approval,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,49,"""Reserved Matters application to approve appearance, landscaping, layout and scale pursuant to planning consent 13/00372/OUT  (Appeal Ref: APP/V1505/A/14/221175).""",,,49,49,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Outline permission  granted through appeal for housing. Reserved matters pending consideration. Only to be removed once expired or completed. Within approx 3400m of a SPA, SAC and Ramsar. Deliverable within 4 years. 05/09/17.""",05/09/2017,05/09/2017,13/00372/OUT,17/01319/REM
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0040,,"""The Bull , London Road, Pitsea, Basildon. SS13 2DD""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7769&p=0,WGS84,0.518368,51.566349,0.63,not owned by a public authority,yes,permissioned,full planning permission,04/11/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,24,"""Demolition of existing public house, and the erection of 24 dwellings (3 x 1bed; 2 x 2 bed; 16 x 3 bed, and 3 x 4 bed), with access roads, parking, amenity space and landscaping.""",,,24,24,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, works commenced. Only to be removed once completed. Within approx 0.8km of SSSI and 4.7km of a SPA and Ramsar. Deliverable within 2 years. 06/09/17.""",06/09/2017,06/09/2017,14/00041/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0041,,"""58 Laindon Road, Billericay, Essex. CM12 9LD""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7770&p=0,WGS84,0.415654,51.619123,0.16,not owned by a public authority,yes,permissioned,full planning permission,03/11/2014,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,"""Demolish existing surgery building and erect 5 no. detached dwellings.""",,,5,5,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, expires 03/11/2017. Only to be removed once expired or completed. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,14/00760/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0042,,"""Formerly Tower Radio, High Road, Vange, Essex. SS16 4TG""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7771&p=0,WGS84,0.493912,51.561925,0.1,not owned by a public authority,yes,permissioned,full planning permission,24/08/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,10,"""Demolition of existing building and erection of 10 no. residential apartments, with associated parking, refuse and cycle storage.""",,,10,10,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, works commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,15/00189/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0043,,"""Black Horse House, Bentalls, Basildon, Essex. SS14 3BY""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7772&p=0,WGS84,0.456473,51.582069,0.03,not owned by a public authority,yes,permissioned,other,10/04/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,28,"""Prior Notification of proposed development under GPDO Class J for: Change of use from B1(A) Offices to Class C3 (Dwellinghouses) of former offices at Black Horse House to 28 residential flats (use Class C3).""",,,28,28,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Prior approval granted, works have not commenced. Only to be removed once completed or expired 04/10/2020. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,15/00227/PACU,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0044,,"""2 Sun Street, Billericay, Essex. CM12 9LN""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7773&p=0,WGS84,0.41638,51.621914,0.12,not owned by a public authority,yes,permissioned,full planning permission,08/02/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,13,"""Demolition of outbuildings and partial demolition of the rear of the pub, retaining the front portion.  Construction of a 2.5 storey (3 floors) extension to the rear of the pub and conversion to 8 residential flats.  Construction of 2 storey building with accommodation in mansard roof to provide 5 residential flats, 16 car parking spaces and landscaping (total of 7 x 2 bed flats and 6 x 1 bed flats).""",,,13,13,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission  granted, works commenced. Only to be removed once completed. Deliverable within 1 year. 20/09/17.""",20/09/2017,20/09/2017,15/00456/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0045,,"""Barn Farm, Cranfield Park Road, Wickford, Essex. SS12 9ES""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7774&p=0,WGS84,0.529371,51.597922,0.47,not owned by a public authority,yes,permissioned,full planning permission,06/11/2015,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,4,"""Removal of established use of site for motor repairs, including demolition of all outbuildings, and construction of 4 no. detached houses at land adjacent to Barn Farm.""",,,4,4,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Planning Permission granted, works commenced. Only to be removed once completed. Within approx 4.6km of SSSI and 4.7km of a SPA and Ramsar. Deliverable within 1 year. 06/09/17.""",06/09/2017,06/09/2017,15/00554/FULL,
http://opendatacommunities.org/id/district-council/basildon,Basildon Borough Council,BAS0046,,"""Northgate House, High Pavement, Basildon, Essex. SS14 1EA""",http://www.basildon.gov.uk/CHttpHandler.ashx?id=7775&p=0,WGS84,0.4573,51.57036,0.12,not owned by a public authority,yes,permissioned,other,16/03/2016,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,,87,"""Prior Notification of proposed development under GPDO Class O for: Change of use from B1(A) Offices to Class C3 (Dwellinghouses) of former offices on top 3 floors at Northgate House to 87 residential flats (use Class C3).""",,,87,87,,http://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,"""Prior approval granted, works have not commenced. Only to be removed once completed or expired 16/03/2021. Deliverable within 4 years. 20/09/17.""",20/09/2017,20/09/2017,15/00611/PACU,
