APGRECNO,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EAST,NORTH,Deliverable
1,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,29,,"Wheatfield Mill, Wheatfield Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.412,53.77,0.9,not owned by a public authority,Permissioned,full planning permission,23/05/2016,http://planning.hyndburnbc.gov.uk/WAM/findCaseFile.do?appNumber=11%2F15%2F0399&appType=Planning&action=Search,,27,15/0399 Full Major Erection of 75 No dwellings with garages and/or parking spaces together with the provision of open space and associated roads and sewers A/C  23/05/2016_,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Planning permission 11/15/0399 is for this site and # 29 on register (Wheatfield Mill).
Further applications for discharge of conds. ",22/06/2016,04/12/2017,372912.031,430508.983,Yes
2,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,31,,"Land off Knowles Road, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.416,53.766,1.03,not owned by a public authority,Pending decision,outline planning permission,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,30,11/17/0401 MAJOR:  APPLICATION FOR OUTLINE (INCLUDING ACCESS AND LAYOUT) DEVELOPMENT OF 43NO DWELLINGS WITH ASSOCIATED HARD AND SOFT LANDSCAPING FOLLOWING DEMOLITION OF EXISTING STRUCTURES ,,,30,51,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Application 11/17/0401 is for a larger site including the nearby playground to the East.",22/06/2016,04/12/2017,372708.788,430065.91,Yes
3,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,30,,"Parker Street, Rishton BB1 4JD",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.412,53.769,1.2,not owned by a public authority,Permissioned,full planning permission,23/05/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,35,15/0399 Full Major Erection of 75 No dwellings with garages and/or parking spaces together with the provision of open space and associated roads and sewers A/C  23/05/2016_,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Planning permission 11/15/0399 is for this site and # 29 on register (Wheatfield Mill).
Further applications for discharge of conds. ",22/06/2016,04/12/2017,372950.141,430408.93,Yes
4,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,43,,"Coronation Mill, Victoria Street, (bounded by Commercial St,Victoria St, and John St) Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.399,53.741,1.12,not owned by a public authority,Permissioned,outline planning permission ,17/09/2017,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,43,15/0353 MAJOR OUTLINE: DEMOLITION OF FORMER MILL AND ERECTION OF 43 NO. DWELLINGS WITH ALL MATTERS EXCEPT ACCESS RESERVED A/C 12/05/2016,,,,,yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",27/06/2016,06/12/2017,373785.107,427202.644,Yes
5,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,58,,"Rhoden Road, Builders Compound, Roe Greave Road, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.399,53.737,0.31,not owned by a public authority,Not permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,9,,,,9,12,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
Site is partly vacant PDL land and partially a commercial services use. The site would make a logical site for residential development and if developed would enhance the surrounding amenity.",27/06/2016,06/12/2017,373766.396,426837.473,
6,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,98,,"4 Elton Road, Belthorn",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.425,53.718,0.48,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,14,,,,14,19,yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,Deliverable - No - SHLAA C2,27/06/2016,06/12/2017,372078.319,424688.185,
7,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,102,,"Land off Spring Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.414,53.772,1.02,not owned by a public authority,Permissioned,full planning permission,27/10/2017,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,42,"11/17/0282 FULL MAJOR: RESUBMISSION OF PLANNING APPLICATION 11/15/0347:  ERECTION OF 42 NO HOUSES, 8 NO APARTMENTS WITH ASSOCIATED ACCESS AND LANDSCAPING (FOLLOWING DEMOLITION OF EXISTING STRUCTURES) A/C 27/10/2017",,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Potentially constaminated site:Former cotton mills Spring Street",27/02/2016,04/12/2017,372802.244,430737.247,Yes
8,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,104,,"Former Service Station, Land off Manchester Road, Baxenden",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.343,53.732,0.4,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,12,,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
",27/06/2016,06/12/2017,377453.009,426283.461,
9,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,105,,"Chapel Street garage site, Abbey Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.361,53.75,0.3,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,9,,,,9,15,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
Flood Zone 2 -  not sufficient reason to exclude (i.e. Zone 3) as mitigation possible at technical consent stage. Coal Authority:DEVELOPMENT_HIGH_RISK_AREA",22/06/2016,04/12/2017,376278.835,428267.951,
10,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,108,,"Land to NW of 64 New Lane, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.405,53.739,0.26,not owned by a public authority,Permissioned,outline planning permission ,07/03/2017,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,8,"11/16/0481 MAJOR:  OUTLINE APPLICATION FOR RESIDENTIAL DEVELOPMENT OF LAND ADJOINING NO 64 NEW LANE, OSWALDTWISTLE (WITH ALL MATTERS RESERVED). A/C 07/03/2017",,,8,11,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS

06/0027 OUTLINE APPLICATION FOR RESIDENTIAL DEVELOPMENT. A/C 04.10.2006 (Outline refers to 11 houses)",27/06/2016,06/12/2017,373405.667,427080.283,Yes
