APGRECNO,OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,EAST,NORTH,Deliverable
11,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,115,,"Site off Oak Street, Clayton-le-Moors",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.384,53.77,0.28,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,7,,,,7,11,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
Site has a Listed Building occupying approx. 0.044 ha.11/10/0511 PP granted as part of larger scheme Clayton Triangle. Permission lapsed 10/05/2016",27/06/2016,04/12/2017,374772.236,430475.938,
12,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,152,,"Union Works and Union Garage, Back Cotton Street, Accrington. BB5 3EX",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.366,53.75,0.37,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,10,,,,10,18,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
Site identified through submission process - therefore assume willing owner.Constraints include: Previously Contaminated Land-Broad Oak Mills, CA DEVELOPMENT_LOW_RISK_AREA",28/06/2016,04/12/2017,375934.854,428192.87,
13,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,183,,"Water Street, Great Harwood. BB6 7QR",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.403,53.788,0.37,not owned by a public authority,Permissioned,full planning permission,20/04/2017,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,12,11/15/0432 MAJOR FULL:  ERECTION OF 12 NO DWELLINGS. A/C 20.04.2016.,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Constraints include:  Potentially contaminated site Former Cotton Mills Central Great HarwoodCA High Risk Area",28/06/2016,04/12/2017,373521.473,432467.03,Yes
14,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,199,,"Steiner St, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.375,53.755,0.59,owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,17,,,,17,29,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Owned by Hyndburn Borough Council.
",30/06/2016,04/12/2017,375383.847,428789.167,Yes
15,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,200,,"York Street, Rishton",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.418,53.77,0.55,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,16,,,,16,27,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",12/10/2017,04/12/2017,372527.608,430509.298,Yes
16,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,201,,"land at Brookside Industrial Estate, Brookside Lane, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.409,53.741,4.09,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,122,,,,122,204,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
",12/10/2017,06/12/2017,373103.111,427219.657,
17,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,202,,"1-11 Black Abbey Street & 104-108 Abbey Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.361,53.751,0.16,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,4,,,,4,8,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,Deliverable - No - SHLAA C4,11/10/2017,04/12/2017,376263.644,428331.26,
18,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,203,,"Turkey Red Industrial Estate, Manchester Road, Baxenden",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.341,53.73,1.71,not owned by a public authority,Not permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,51,,,,51,85,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C3
",11/10/2017,06/12/2017,377585.422,425972.047,
19,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,204,,"Former factory site, Wood Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.393,53.787,2.22,mixed ownership,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,66,,,,66,88,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C3
Land registry ref:LAN78281 Small section of site in HBC ownership",11/10/2017,04/12/2017,374178.25,432413.054,
20,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,205,,"Land to the north and south of Britannia Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.405,53.787,1.39,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,41,,,,41,69,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable Yes - part of 5YHLS
",11/10/2017,04/12/2017,373384.606,432388.608,Yes
21,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,206,,"Springfield Garage, Blackburn Road, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.41,53.751,0.71,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,21,,,,21,28,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - No - SHLAA C2
Site has since had further permissions for 2 houses on sub divided site, but is now in full commercial use as bus depot. (Oct. 2017)",11/10/2017,06/12/2017,373057.265,428384.313,
22,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,207,,"Land at Pollard Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.362,53.759,0.19,not owned by a public authority,Permissioned,full planning permission,14/03/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,12,11/15/0391. ERECTION OF 12 NO. ONE BEDROOM SUPPORTED LIVING UNITS COMPRISING 8 NO. APARTMENTS AND 4 NO. BUNGALOWS WITH ASSOCIATED ACCESS ARRANGEMENTS. A/C 14/03/2016._,,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Construction almost complete Dec.2017
",11/10/2017,04/12/2017,376209.278,429187.856,Yes
23,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,208,,"Grand Social Club, Blackburn Road, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.41,53.784,0.06,not owned by a public authority,Permissioned,full planning permission,12/12/2014,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,8,14/0326.  DEMOLITION OF EXISTING SOCIAL CLUB AND ERECTION OF PART TWO-STOREY PART THREE-STOREY BLOCK OF APARTMENTS CREATING 8 NO APARTMENTS (RESUBMISSION OF 11/14/0127). A/C 12.12.2014,,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Social Club demolished.
",11/10/2017,04/12/2017,373113.747,432011.101,Yes
24,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,209,,"The Lomax Hotel, Blackburn Road, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.41,53.784,0.06,not owned by a public authority,Permissioned,full planning permission,02/06/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,7,16/0089 CHANGE OF USE OF PUBLIC HOUSE (A4) TO RESIDENTIAL (C3) AND FORMATION OF 7NO APARTMENTS. A/C 02.06.2016,,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Further apps for discharge of conditions. Conversion almost complete Nov. 2017",11/10/2017,04/12/2017,373110.538,432038.483,Yes
25,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,210,,"Waverledge Business Park, Waverledge Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.412,53.783,0.92,not owned by a public authority,Permissioned,full planning permission,18/07/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,42,16/0013 FULL MAJOR:  ERECTION OF 42 NO DWELLINGS AND ASSOCIATED INFRASTRUCTURE (INCLUDING DEMOLITION OF EXISTING BUILDING) A/C 18/07/2016,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,372954.293,431899.365,Yes
26,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,211,,"Accrington Old Band Club, Carter Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.368,53.747,0.03,not owned by a public authority,Permissioned,full planning permission,15/12/2015,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,7,"15/0372 FULL:  CHANGE OF USE FROM WORKING MEN'S CLUB (D2) TO CREATE 7 NO APARTMENTS (C3) A/C 15/12/15
",,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,375837.918,427951.953,Yes
27,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,212,,"Woodnook Works, Bath Street/Mount Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.366,53.746,1.89,not owned by a public authority,Not permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,56,,,,56,94,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,06/12/2017,375949.923,427794.622,Yes
28,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,213,,"West End Works, Norman Road, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.409,53.75,0.5,not owned by a public authority,permissioned,full planning permission,22/01/2015,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,25,"14/0364 ERECTION OF 25 DWELLING HOUSES. A/C 22/01/2015 
Latest 11/15/0378 Discharge of condition application partially discharged 01.03.2016",,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,06/12/2017,373114.092,428211.25,Yes
29,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,214,,"Cannon Street Baptist Church, 14 Cannon Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.367,53.752,0.15,not owned by a public authority,Permissioned,full planning permission,16/11/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,11,"16/0243 MAJOR FULL:  CHANGE OF USE FROM CHURCH TO 11 NO APARTMENTS, 1 NO 9 BED HMO WITH ASSOCIATED EXTERNAL CHANGES A/C 16/11/2016",,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,375880.347,428511.549,Yes
30,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,215,,"Land adjacent to 30 Richmond Hill Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.374,53.75,0.08,not owned by a public authority,Permissioned,outline planning permission,30/11/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,5,"16/0392 OUTLINE:  ERECTION OF 5 NO RESIDENTIAL PROPERTIES - ALL MATTERS RESERVED. A/C 30/11/2016
",,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,375446.853,428224.133,Yes
31,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,216,,"Church Bank Works, Kirk Road, Church",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.393,53.758,1.4,not owned by a public authority,Permissioned,full planning permission,02/02/2017,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,48,"16/0406 ERECTION OF 48NO DWELLING HOUSES AND ASSOCIATED INFRASTRUCTURE. A/C 02/02/2017
",,,48,69,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Further discharge of condition applications.
",11/10/2017,04/12/2017,374197.401,429145.516,Yes
32,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,217,,"Hibberts Farm, Broadfield, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.381,53.736,0.29,not owned by a public authority,Permissioned,full planning permission,09/10/2015,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,7,11/15/0291 ERECTION OF 3NO TERRACED HOUSES AND 4NO DETACHED BUNGALOWS. A/C 09/10/2015,,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,06/12/2017,374941.35,426668.576,Yes
33,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,218,,"Land at Broadfield Garage, Broadfield, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.383,53.736,0.33,not owned by a public authority,Permissioned,full planning permission,10/11/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,12,11/16/0126 FULL MAJOR: ERECTION OF 12 NO DWELLINGS. A/C 10.11.2016,,,,,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,06/12/2017,374806.739,426732.589,Yes
34,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,219,,"58-60 Stanley Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.359,53.754,0.05,not owned by a public authority,Permissioned,full planning permission,26/08/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,5,"11/16/0258 CHANGE OF USE OF PUBLIC HOUSE (A4), FOLLOWING DEMOLITION TO THE REAR AND ERECTION OF SINGLE STOREY REAR EXTENSION, TO CREATE 5NO DWELLLING HOUSES (C3) (RESUBMISSION OF 11/16/0083). A/C 26.08.2016",,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,376444.394,428731.299,Yes
35,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,220,,"St Andrews Works, Kay Street, Oswaldtwistle",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.397,53.744,0.09,not owned by a public authority,Permissioned,full planning permission,16/12/2016,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,8,Full: Erection of 8 No 3 bed semi-detached properties (Resubmission of 11/16/0327),,,,,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,06/12/2017,373906.842,427562.88,Yes
36,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,221,,"Phoenix 1 (unimplemented), Harrison Street / Savoy Street, Accrington",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.387,53.751,1.32,mixed ownership,Permissioned,full planning permission,22/10/2007,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,39,11/07/0524  ERECTION OF 168 NO DWELLINGS TOGETHER WITH ASSOCIATED PARKING AND LANDSCAPING.  A/C 22/10/07,,,39,65,,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Bulk of site in public ownership Oct.2017 (See Land Registry records)
PP is still extant because part of full application site has been developed.",11/10/2017,04/12/2017,374603.381,428385.693,Yes
37,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,222,,"Clayton Triangle, Whalley Road / Blackburn Rd, Clayton-le-Moors",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.383,53.771,2.7,mixed ownership,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,80,,,,80,134,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
Parts of site in public ownership Oct.2017 (See Land Registry records)",11/10/2017,04/12/2017,374825.721,430639.456,Yes
38,http://opendatacommunities.org/id/district-council/hyndburn,Hyndburn Borough Council,223,,"Commercial St & Back Queen Street, Great Harwood",https://www.hyndburnbc.gov.uk/download-package/brownfield-register-siteplans/,WGS84,-2.405,53.786,0.1,not owned by a public authority,Not Permissioned,,,http://planning.hyndburnbc.gov.uk/WAM/searchsubmit/performOption.do?action=search&appType=Planning,,3,,,,3,5,Yes,https://www.hyndburnbc.gov.uk/search-for-planning-information-using-online-mapping-2/11/,"Deliverable - Yes - part of 5YHLS
",11/10/2017,04/12/2017,373386.391,432243.096,Yes
