OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_041,,"""Finance House, Park Street, Guildford """,https://www.guildford.gov.uk/media/26717/Finance-House-Park-Street-Guildford-/pdf/BFLR2017_041,ETRS89,4001506.755,-40391.7248,499349,149381,0.04,Not owned by a public authority,,Not permissioned,,,,,6,,,,6,6,,,,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_042,,"""Stadium Works, Oxenden Road, Tongham""",https://www.guildford.gov.uk/media/26718/Stadium-Works-Oxenden-Road-Tongham/pdf/BFLR2017_042,ETRS89,4000914.163,-51325.6719,488403,149780,0.1,Not owned by a public authority,Yes,Permissioned,Full planning permission,20/09/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177211,,6,"""Erection of a two storey detached building comprising of four x two bedroom flats and two x one bedroom flats with associated parking and landscaping following demolition of existing building.""",,,,,,,,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_043,,"""White Lion Walk, High Street, Guildford""",https://www.guildford.gov.uk/media/26719/White-Lion-Walk-High-Street-Guildford/pdf/BFLR2017_043,ETRS89,4001444.893,-40183.406,499555,149467,0.39,Not owned by a public authority,,Not permissioned,,,,,50,,,,50,50,,,,20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_044,,"""111 Epsom Road, Guildford""",https://www.guildford.gov.uk/media/26720/111-Epsom-Road-Guildford/pdf/BFLR2017_044,ETRS89,4000996.978,-38316.3549,501405,150101,0.14,Not owned by a public authority,Yes,Not permissioned,,,,,6,,,,6,6,,,,20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_045,,"""Land off Easington Place, Guildford""",https://www.guildford.gov.uk/media/26721/Land-off-Easington-Place-Guildford/pdf/BFLR2017_045,ETRS89,4001139.556,-38886.7583,500840,149900,0.51,Not owned by a public authority,Yes,Not permissioned,,,,,10,,,,10,10,,,,20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_046,,"""Land at Guildford Fire Station, 14a to 18 Ladymead, Guildford, GU1 1DL""",https://www.guildford.gov.uk/media/26722/Land-at-Guildford-Fire-Station-14a-to-18-Ladymead-Guildford-GU1-1DL/pdf/BFLR2017_046,ETRS89,4000398.771,-40049.8149,499652,150812,0.13,Owned by a public authority,Yes,Pending decision,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_177096,,6,,,,6,6,,,"""Application 17/P/00724 pending decision - application proposes 12 dwellings gross (6 net)""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_047,,"""13, Lower Edgeborough Road, Guildford, GU1 2DX""",https://www.guildford.gov.uk/media/26723/13-Lower-Edgeborough-Road-Guildford-GU1-2DX/pdf/BFLR2017_047,ETRS89,4001132.048,-38968.5589,500758,149907,0.13,Not owned by a public authority,Yes,Not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_173761,,10,,,,10,10,,,"""Application 16/P/02070 dismissed at appeal (ref. APP/Y3615/W/17/3169598) - Erection of 14 flats (Decision issued 7 July 2017).""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_048,,"""Garage, 92 Send Road, Send, GU23 7EZ""",https://www.guildford.gov.uk/media/26724/Garage-92-Send-Road-Send-GU23-7EZ/pdf/BFLR2017_048,ETRS89,3996690.764,-36963.1365,502607,155661,0.16,Not owned by a public authority,Yes,Not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_176826,,20,,,,20,20,,,"""Application 17/P/00566 refused on 27 June  2017 - Demolition of existing buildings and erection of 8 x dwellings. Site is PDL in the Green Belt""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_049,,"""HM Prison Send, Ripley Road, Send, GU23 7LJ""",https://www.guildford.gov.uk/media/26725/HM-Prison-Send-Ripley-Road-Send-GU23-7LJ/pdf/BFLR2017_049,ETRS89,3998141.155,-34286.7411,505332,153888,8.24,Not owned by a public authority,,Not permissioned,,,,,150,,,,150,150,,,"""Site is PDL in the Green Belt""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_050,,"""Land at Oak Hill, Wood Street Village""",https://www.guildford.gov.uk/media/26726/Land-at-Oak-Hill-Wood-Street-Village/pdf/BFLR2017_050,ETRS89,3999980.229,-43846.176,495844,151225,4.4,Not owned by a public authority,Yes,Not permissioned,,,,,22,,,,22,22,,,"""Part of site is PDL in the Green Belt; remainder is PDL within the current village inset boundary.""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_051,,"""Dryden Court, Lower Edgeborough Road, Guildford""",https://www.guildford.gov.uk/media/26727/Dryden-Court-Lower-Edgeborough-Road-Guildford/pdf/BFLR2017_051,ETRS89,4001111.653,-39159.9941,500566,149927,0.12,Not owned by a public authority,Yes,Not permissioned,,,,,6,,,,6,6,,,,20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_052,,"""Guildford Adult Education Centre, Sydenham Road, Guildford""",https://www.guildford.gov.uk/media/26728/Guildford-Adult-Education-Centre-Sydenham-Road-Guildford/pdf/BFLR2017_052,ETRS89,4001412.859,-39656.8832,500080,149525,0.41,Owned by a public authority,,Not permissioned,,,,,15,,,,15,15,,,"""Site is owned by Surrey County Council which has indicated it is likely to become available within the period covered by the 2017 Submission Local Plan.""",20/10/2017,20/10/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_053,,"""Pewley Hill Centre, Guildford""",https://www.guildford.gov.uk/media/26729/Pewley-Hill-Centre-Guildford/pdf/BFLR2017_053,ETRS89,4001567.393,-39841.4162,499901,149321,0.22,Owned by a public authority,,Not permissioned,,,,,6,,,,6,6,,,"""Site is owned by Surrey County Council which has indicated it is likely to become available within the period covered by the 2017 Submission Local Plan.""",20/10/2017,20/10/2017
