OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC104b,,Welwyn Garden City - Broadwater Road West SPD Site (North),http://www.welhat.gov.uk/map?getmap=true&scale=5000&location=524150.149902344^212847.925292969&layersidentifier=74d2efc25f844257adb95fa251a8692e&menuconfig=Live,ETRS89,-0.201087,51.800701,9.09,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,18/08/2017,Permission reference N6/2015/0294/PP | http://planning.welhat.gov.uk/plandisp.aspx?recno=17483,,850,,"Up to 80 Class C2 care dwellings and/or Class C3 assisted living dwellings, 570sqm Class A1 shop floorspace, 1,930sqm Class A3/A4 restaurant/bar floorspace, 6,370sqm Class B1a office floorspace, 2,550sqm Class C1 hotel floorspace, 760sqm Class D1 community facility floorspace, 830sqm Class D1 healthcare floorspace, 650sqm Class D1 childcare floorspace, 700sqm Class D2 leisure floorspace",,850,850,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC104c,,Welwyn Garden City - Broadwater Road West SPD Site (West),http://www.welhat.gov.uk/map?getmap=true&scale=2500&location=523981.846191406^212683.924804688&layersidentifier=05292fc5fe42439f86024e5469b9ed2d&menuconfig=Live,ETRS89,-0.203185,51.799349,2.07,Not owned by a public authority,,Not permissioned,,,Assessed in 2016 HELAA - Site Pea02c | Proposed allocation in Submission Local Plan - Site SDS4,,171,,"Approximately 11,250sqm net new Class B1a office floorspace",,171,171,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC120a,,"Welwyn Garden City - Former QEII Hospital, Howlands",http://www.welhat.gov.uk/map?getmap=true&scale=2500&location=525215.892089844^210892.827636719&layersidentifier=fd85754ac9224bd1810113f5c2306c8a&menuconfig=Live ,ETRS89,-0.186303,51.782724,4.92,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,15/02/2016,Permission reference 6/2015/1901/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=63027,,163,,,,163,163,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC135e,,"Welwyn Garden City - Xerox Campus, Bessemer Road (New build - West, Blocks X2 and X3)",http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524223.416015625^213477.096679688&layersidentifier=812f7789c1874fbe942ce44d2ad7d0d0&menuconfig=Live ?,ETRS89,-0.19958,51.806137,1.2,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,16/12/2016,Permission reference 6/2016/1975/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=65660,,125,,,,125,125,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC109,,"Welwyn Garden City - Ratcliff Tail Lift Site, Bessemer Road",http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524806.500488281^213966.249511719&layersidentifier=a02f29fad5424163be58c996cba74e66&menuconfig=Live ?,ETRS89,-0.191128,51.81035,2.19,Not owned by a public authority,Yes,Not permissioned,,,Assessed in 2016 HELAA - Site Hal03| Proposed allocation in Submission Local Plan - Site HS4,,110,,,,110,110,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC135d,,"Welwyn Garden City - Xerox Campus, Bessemer Road (New build - East, Blocks X1 and X4)",http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524438.274902344^213443.649902344&layersidentifier=5b88f43fbce445c98bcb50e7ec8aa677&menuconfig=Live,ETRS89,-0.196909,51.805799,1.25,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,16/12/2016,Permission reference 6/2016/1176/RM | http://planning.welhat.gov.uk/plandisp.aspx?recno=64862,,110,,,,110,110,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC135a,,"Welwyn Garden City - Xerox Campus, Bessemer Road (Bus/Entp/Devt Centre - Prior approval)",http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=524344.780761719^213483.504394531&layersidentifier=f3a8e153a84e449d82cad0859ff02735&menuconfig=Live,ETRS89,-0.197862,51.806272,1.51,Not owned by a public authority,Yes,Permissioned,Other,09/07/2015,Permission reference N6/2015/1049/OR | http://planning.welhat.gov.uk/plandisp.aspx?recno=28608,,105,,,,105,105,,,105 dwellings already completed as of 31 March 2017 (Total site capacity therefore 210),15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,WGC123,,Welwyn Garden City - Town Centre North SPD Site,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=523815.785644531^213104.564453125&layersidentifier=0bc9e26dc8604233843af4ea0c0221f7&menuconfig=Live,ETRS89,-0.2056,51.802839,1.42,Mixed ownership,,Not permissioned,,,Assessed in 2016 HELAA - Site Han40 | Proposed allocation in Submission Local Plan - Site MUS1,,100,,"Approximately 5,800sqm net new Class A1-A5 retail floorspace",,100,100,,,"The majority of the site is owned by a public authority, but parts are privately owned.",15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,Hat102,,Hatfield - Highview (Hilltop) SPD Site,http://www.welhat.gov.uk/map?getmap=true&scale=1250&location=521998.476074219^207011.575195313&layersidentifier=1e3316a76dc2431d85c2f1ff8716fdf8&menuconfig=Live,ETRS89,-0.234075,51.748552,1.85,Owned by a public authority,Yes,Not permissioned,,,Assessed in 2016 HELAA - Site HW100 | Proposed allocation in Submission Local Plan - Site MUS3,,87,,Reprovision of existing neighbourhood centre,,87,87,,,,15/12/2017,15/12/2017
http://opendatacommunities.org/id/district-council/welwyn-hatfield,Welwyn Hatfield Borough Council,Wel007d,,Welwyn - The Frythe (Phase 4 - West),http://www.welhat.gov.uk/map?getmap=true&scale=2500&location=522530.536621094^214996.601074219&layersidentifier=2102a57e06f84e9da22b9f2ed853484d&menuconfig=Live,ETRS89,-0.223975,51.820221,5.92,Not owned by a public authority,Yes,Permissioned,Reserved Matters Approval,14/10/2014,Permission reference N6/2014/0208/DE | http://planning.welhat.gov.uk/plandisp.aspx?recno=57341,,68,,,,68,68,,,37 dwellings already completed as of 31 March 2017 (Total site capacity therefore 104),15/12/2017,15/12/2017
